,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,HOU,W,29-7,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,TEN,L,37-16,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,BAL,W,7-44,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,NYJ,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,PIT,W,30-9,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Home,LAR,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,IND,W,27-0,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Home,CIN,W,7-23,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,LAC,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,CLE,W,19-7,3,6,35,11.7,28,0,0,0,0,0,0,1,0
10,2017,12,Away,ARI,L,24-27,6,10,41,6.8,10,0,0,0,0,0,0,0,0
11,2017,13,Home,IND,W,10-30,6,9,78,13,22,0,0,0,0,0,0,0,0
12,2017,14,Home,SEA,W,24-30,5,8,81,16.2,29,1,0,0,0,0,0,0,0
13,2017,15,Home,HOU,W,7-45,2,2,21,10.5,14,0,0,0,0,0,0,0,0
14,2017,16,Away,SF,L,33-44,4,7,74,18.5,23,0,0,0,0,0,0,0,0
15,2017,17,Away,TEN,L,10-15,1,9,9,9,9,0,0,0,0,0,0,0,0
0,2018,1,Away,NYG,W,20-15,5,6,51,10.2,20,0,0,0,0,0,0,0,0
1,2018,2,Home,NE,W,20-31,4,5,82,20.5,61,1,1,-6,-6,-6,0,1,0
2,2018,3,Home,TEN,L,9-6,3,4,31,10.3,15,0,0,0,0,0,0,0,0
3,2018,4,Home,NYJ,W,12-31,9,13,130,14.4,27,0,1,11,11,11,0,1,1
4,2018,5,Away,KC,L,14-30,3,5,55,18.3,30,0,0,0,0,0,0,0,0
5,2018,6,Away,DAL,L,7-40,3,5,38,12.7,34,1,0,0,0,0,0,0,0
6,2018,7,Home,HOU,L,20-7,4,4,17,4.3,6,0,0,0,0,0,0,0,0
7,2018,8,Home,PHI,L,24-18,2,6,31,15.5,20,1,1,9,9,9,0,0,0
8,2018,10,Away,IND,L,26-29,5,10,30,6,11,0,2,13,6.5,13,0,0,0
9,2018,11,Home,PIT,L,20-16,2,4,19,9.5,14,0,0,0,0,0,0,0,0
10,2018,12,Away,BUF,L,21-24,3,4,44,14.7,25,1,1,43,43,43,0,0,0
11,2018,13,Home,IND,W,0-6,3,5,25,8.3,23,0,1,-1,-1,-1,0,0,0
12,2018,14,Away,TEN,L,9-30,7,10,88,12.6,23,1,0,0,0,0,0,0,0
13,2018,15,Home,WAS,L,16-13,3,5,21,7,8,0,1,20,20,20,0,0,0
14,2018,16,Away,MIA,W,17-7,7,8,45,6.4,22,0,1,9,9,9,0,0,0
15,2018,17,Away,HOU,L,3-20,3,7,10,3.3,6,0,0,0,0,0,0,1,1
0,2019,1,Home,KC,L,40-26,5,6,30,6,15,1,1,2,2,2,0,0,0
1,2019,2,Away,HOU,L,12-13,1,5,3,3,3,0,0,0,0,0,0,0,0
2,2019,3,Home,TEN,W,7-20,5,9,46,9.2,28,0,1,4,4,4,0,0,0
3,2019,4,Away,DEN,W,26-24,5,6,66,13.2,32,0,0,0,0,0,0,0,0
4,2019,5,Away,CAR,L,27-34,7,11,82,11.7,30,0,0,0,0,0,0,0,0
5,2019,6,Home,NO,L,13-6,3,8,53,17.7,23,0,0,0,0,0,0,0,0
6,2019,7,Away,CIN,W,27-17,6,9,103,17.2,33,0,2,14,7,8,0,0,0
7,2019,8,Home,NYJ,W,15-29,0,1,0,0,0,0,0,0,0,0,0,1,0
8,2019,9,Home,HOU,L,26-3,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,IND,L,13-33,4,6,32,8,15,0,0,0,0,0,0,0,0
10,2019,12,Away,TEN,L,20-42,8,9,69,8.6,22,0,0,0,0,0,0,0,0
11,2019,13,Home,TB,L,28-11,5,8,60,12,39,1,0,0,0,0,0,0,0
12,2019,14,Home,LAC,L,45-10,6,7,25,4.2,7,0,0,0,0,0,0,0,0
13,2019,15,Away,OAK,W,20-16,2,4,14,7,11,0,1,7,7,7,0,0,0
14,2019,16,Away,ATL,L,12-24,2,4,5,2.5,3,0,0,0,0,0,0,0,0
15,2019,17,Home,IND,W,20-38,7,8,72,10.3,18,1,0,0,0,0,0,0,0
