,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,TB,W,31-17,3,3,17,5.7,14,0,0,0,0,0,0,1,1
1,2019,2,Away,CIN,W,41-17,5,7,86,17.2,39,1,2,7,3.5,5,0,0,0
2,2019,3,Home,PIT,W,20-24,3,4,44,14.7,20,0,0,0,0,0,0,0,0
3,2019,5,Home,CLE,W,3-31,1,3,3,3,3,0,0,0,0,0,0,0,0
4,2019,6,Away,LAR,W,20-7,3,5,18,6,14,0,1,1,1,1,0,0,0
5,2019,7,Away,WAS,W,9-0,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,CAR,W,13-51,3,3,19,6.3,9,0,2,29,14.5,20,1,0,0
7,2019,9,Away,ARI,W,28-25,4,7,40,10,17,0,0,0,0,0,0,0,0
8,2019,10,Home,SEA,L,27-24,8,11,112,14,30,0,0,0,0,0,0,0,0
9,2019,11,Home,ARI,W,26-36,8,10,134,16.8,26,0,0,0,0,0,0,0,0
10,2019,12,Home,GB,W,8-37,2,2,50,25,42,1,0,0,0,0,0,0,0
11,2019,13,Away,BAL,L,17-20,2,4,41,20.5,33,1,1,20,20,20,0,0,0
12,2019,14,Away,NO,W,48-46,5,8,76,15.2,25,0,2,33,16.5,31,0,0,0
13,2019,15,Home,ATL,L,29-22,1,3,29,29,29,0,1,8,8,8,0,0,0
14,2019,16,Home,LAR,W,31-34,4,6,31,7.8,18,0,3,28,9.3,19,1,0,0
15,2019,17,Away,SEA,W,26-21,5,5,102,20.4,30,0,2,33,16.5,30,1,1,0
