,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,DET,W,48-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,NYJ,L,20-12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,CLE,L,17-21,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,JAC,L,12-31,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NYJ,W,16-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NYJ,W,34-42,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,MIN,L,37-17,1,2,9,9,9,0,0,0,0,0,0,0,0
7,2018,8,Away,CHI,L,10-24,4,4,61,15.3,29,0,0,0,0,0,0,0,0
8,2018,9,Away,MIA,L,6-13,0,2,0,0,0,0,0,0,0,0,0,0,0
9,2018,10,Away,NYJ,L,41-10,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,NYJ,L,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,TEN,L,22-26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,BUF,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,NYJ,L,29-22,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Home,GB,L,44-38,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,NE,L,3-38,5,5,73,14.6,25,0,0,0,0,0,0,0,0
0,2019,1,Home,BUF,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,17,Away,NYG,W,34-17,2,4,48,24,41,0,0,0,0,0,0,0,0
