,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,HOU,W,28-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,LAR,L,9-27,1,1,-7,-7,-7,0,0,0,0,0,0,0,0
2,2019,3,Away,SEA,W,33-27,0,0,0,0,0,0,0,0,0,0,0,1,1
3,2019,4,Home,DAL,W,10-12,0,0,0,0,0,0,1,10,10,10,0,0,0
4,2019,5,Home,TB,W,24-31,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2019,6,Away,JAC,W,13-6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,CHI,W,36-25,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Home,ARI,W,9-31,2,2,17,8.5,9,0,0,0,0,0,0,0,0
8,2019,10,Home,ATL,L,26-9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,TB,W,34-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,CAR,W,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,ATL,W,26-18,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,SF,L,48-46,1,1,13,13,13,0,1,8,8,8,0,0,0
13,2019,15,Home,IND,W,7-34,1,1,1,1,1,0,0,0,0,0,0,0,0
14,2019,16,Away,TEN,W,38-28,1,1,0,0,0,0,0,0,0,0,0,1,0
15,2019,17,Away,CAR,W,42-10,0,0,0,0,0,0,2,13,6.5,7,0,0,0
