,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,JAC,W,20-9,1,2,9,9,9,0,0,0,0,0,0,0,0
1,2015,2,Home,HOU,W,17-24,1,4,15,15,15,0,0,0,0,0,0,0,0
2,2015,3,Home,NO,W,22-27,1,4,14,14,14,0,0,0,0,0,0,0,0
3,2015,4,Away,TB,W,37-23,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2015,6,Away,SEA,W,27-23,2,6,24,12,16,0,0,0,0,0,0,0,0
5,2015,7,Home,PHI,W,16-27,1,2,20,20,20,0,0,0,0,0,0,0,0
6,2015,8,Home,IND,W,26-29,1,1,8,8,8,0,0,0,0,0,0,0,0
7,2015,9,Home,GB,W,29-37,3,4,71,23.7,52,1,0,0,0,0,0,0,0
8,2015,10,Away,TEN,W,27-10,2,2,41,20.5,27,0,0,0,0,0,0,0,0
9,2015,11,Home,WAS,W,16-44,4,8,64,16,35,1,0,0,0,0,0,0,0
10,2015,12,Away,DAL,W,33-14,2,4,19,9.5,15,0,0,0,0,0,0,0,0
11,2015,13,Away,NO,W,41-38,1,3,13,13,13,1,0,0,0,0,0,0,0
12,2015,14,Home,ATL,W,0-38,3,5,25,8.3,11,0,0,0,0,0,0,0,0
13,2015,15,Away,NYG,W,38-35,2,7,30,15,16,1,0,0,0,0,0,0,0
14,2015,16,Away,ATL,L,13-20,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,TB,W,10-38,7,8,120,17.1,41,1,0,0,0,0,0,1,1
0,2016,1,Away,DEN,L,20-21,1,4,9,9,9,0,0,0,0,0,0,0,0
1,2016,2,Home,SF,W,27-46,2,4,19,9.5,16,1,0,0,0,0,0,0,0
2,2016,3,Home,MIN,L,22-10,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,ATL,L,33-48,2,3,56,28,48,0,0,0,0,0,0,0,0
4,2016,5,Home,TB,L,17-14,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,NO,L,38-41,2,6,28,14,17,1,0,0,0,0,0,0,0
6,2016,8,Home,ARI,W,20-30,3,4,38,12.7,22,0,0,0,0,0,0,0,0
7,2016,9,Away,LAR,W,13-10,1,5,28,28,28,0,0,0,0,0,0,0,0
8,2016,10,Home,KC,L,20-17,3,4,56,18.7,38,1,0,0,0,0,0,0,0
9,2016,11,Home,NO,W,20-23,2,7,32,16,20,0,0,0,0,0,0,0,0
10,2016,12,Away,OAK,L,32-35,2,2,19,9.5,11,0,0,0,0,0,0,0,0
11,2016,13,Away,SEA,L,7-40,2,4,44,22,24,0,0,0,0,0,0,0,0
12,2016,14,Home,SD,W,16-28,2,5,33,16.5,27,1,0,0,0,0,0,0,0
13,2016,15,Away,WAS,W,26-15,0,3,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Home,ATL,L,33-16,1,5,9,9,9,0,0,0,0,0,0,0,0
15,2016,17,Away,TB,L,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,SF,W,23-3,2,2,20,10,16,0,0,0,0,0,0,0,0
1,2017,2,Home,BUF,W,3-9,4,6,68,17,24,0,0,0,0,0,0,0,0
2,2017,3,Home,NO,L,34-13,4,10,58,14.5,21,0,0,0,0,0,0,0,0
3,2017,4,Away,NE,W,33-30,7,9,70,10,16,2,0,0,0,0,0,0,0
4,2017,5,Away,DET,W,27-24,7,8,53,7.6,15,1,0,0,0,0,0,0,0
5,2017,6,Home,PHI,L,28-23,3,9,36,12,20,0,0,0,0,0,0,0,0
6,2017,7,Away,CHI,L,3-17,4,8,41,10.3,20,0,0,0,0,0,0,0,0
7,2017,8,Away,TB,W,17-3,2,6,11,5.5,9,0,0,0,0,0,0,0,0
8,2017,9,Home,ATL,W,17-20,5,7,86,17.2,33,0,0,0,0,0,0,0,0
9,2017,10,Home,MIA,W,21-45,5,6,92,18.4,32,2,0,0,0,0,0,0,0
10,2017,12,Away,NYJ,W,35-27,7,12,108,15.4,35,0,0,0,0,0,0,0,0
11,2017,13,Away,NO,L,21-31,4,7,60,15,24,1,0,0,0,0,0,0,0
12,2017,14,Home,MIN,W,24-31,3,7,59,19.7,22,1,0,0,0,0,0,0,0
13,2017,15,Home,GB,W,24-31,1,4,19,19,19,0,0,0,0,0,0,0,0
14,2017,16,Home,TB,W,19-22,3,4,11,3.7,5,0,0,0,0,0,0,0,0
15,2017,17,Away,ATL,L,10-22,2,6,48,24,44,1,0,0,0,0,0,0,0
0,2018,1,Home,DAL,W,8-16,3,5,41,13.7,15,0,0,0,0,0,0,0,0
1,2018,2,Away,ATL,L,24-31,7,9,77,11,27,0,0,0,0,0,0,0,0
2,2018,3,Home,CIN,W,21-31,4,7,67,16.8,27,1,0,0,0,0,0,0,0
3,2018,5,Home,NYG,W,31-33,4,7,53,13.3,21,0,0,0,0,0,0,0,0
4,2018,6,Away,WAS,L,17-23,5,8,74,14.8,23,1,0,0,0,0,0,0,0
5,2018,7,Away,PHI,W,21-17,6,11,62,10.3,18,1,0,0,0,0,0,0,0
6,2018,8,Home,BAL,W,21-36,3,3,27,9,18,0,0,0,0,0,0,0,0
7,2018,9,Home,TB,W,28-42,4,5,44,11,23,0,0,0,0,0,0,0,0
8,2018,10,Away,PIT,L,21-52,3,5,32,10.7,15,0,0,0,0,0,0,0,0
9,2018,11,Away,DET,L,19-20,2,8,39,19.5,23,0,0,0,0,0,0,0,0
10,2018,12,Away,CAR,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,TB,L,17-24,1,3,10,10,10,1,0,0,0,0,0,0,0
12,2018,14,Away,CLE,L,20-26,0,3,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Home,NO,L,12-9,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,ATL,L,24-10,2,4,23,11.5,13,0,0,0,0,0,0,0,0
15,2018,17,Away,NO,W,33-14,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,LAC,L,24-30,3,5,32,10.7,16,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,IND,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,IND,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,KC,W,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,IND,W,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,IND,W,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,PIT,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,IND,L,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,IND,W,13-33,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,HOU,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,IND,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,TB,L,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NO,L,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,IND,W,6-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,JAC,L,20-38,-,-,-,-,-,-,-,-,-,-,-,-,-
