,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,NYJ,W,10-31,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,IND,W,20-7,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Home,PHI,L,24-17,3,9,39,13,16,0,0,0,0,0,0,0,0
3,2015,4,Away,MIA,W,27-14,2,6,14,7,7,0,0,0,0,0,0,0,0
4,2015,6,Home,WAS,W,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2015,7,Away,NE,L,23-30,1,2,7,7,7,0,0,0,0,0,0,0,0
6,2015,8,Away,OAK,L,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,9,Home,JAC,W,23-28,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,10,Home,BUF,L,22-17,1,1,22,22,22,0,0,0,0,0,0,1,1
9,2015,11,Away,HOU,L,17-24,0,4,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Home,MIA,W,20-38,2,3,33,16.5,17,1,0,0,0,0,0,0,0
11,2015,13,Away,NYG,W,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,TEN,W,8-30,0,3,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Home,NYJ,W,19-16,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,NYJ,W,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,BUF,L,17-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2016,1,Home,NYG,L,20-19,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,WAS,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Home,CHI,W,17-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,SF,W,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Home,CIN,W,14-28,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,GB,W,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Home,PHI,W,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Away,CLE,W,35-10,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,10,Away,PIT,W,35-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Home,BAL,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Home,WAS,W,26-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,MIN,W,17-15,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,NYG,L,7-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,DAL,W,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Away,DAL,W,21-42,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,PHI,L,13-27,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,NYG,W,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,WAS,W,31-21,3,3,74,24.7,51,1,0,0,0,0,0,0,0
2,2019,3,Home,MIA,W,6-31,2,5,39,19.5,33,0,0,0,0,0,0,0,0
3,2019,4,Away,NO,L,10-12,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,GB,L,34-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,NYJ,L,22-24,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,PHI,W,10-37,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,NYG,W,37-18,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,MIN,L,28-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,DET,W,35-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,NE,L,9-13,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,BUF,L,26-15,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,CHI,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,LAR,W,21-44,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,PHI,L,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,WAS,W,16-47,-,-,-,-,-,-,-,-,-,-,-,-,-
