,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,NE,L,3-33,3,5,25,8.3,9,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,L,28-26,1,4,17,17,17,0,0,0,0,0,0,0,0
2,2019,3,Away,SF,L,20-24,3,6,52,17.3,39,1,1,6,6,6,0,0,0
3,2019,4,Home,CIN,W,3-27,6,6,77,12.8,43,1,0,0,0,0,0,1,1
4,2019,5,Home,BAL,L,26-23,5,8,27,5.4,13,0,0,0,0,0,0,1,0
5,2019,6,Away,LAC,W,24-17,2,2,14,7,7,0,0,0,0,0,0,0,0
6,2019,8,Home,MIA,W,14-27,5,7,84,16.8,45,1,0,0,0,0,0,0,0
7,2019,9,Home,IND,W,24-26,1,2,3,3,3,0,1,2,2,2,0,0,0
8,2019,10,Home,LAR,W,12-17,4,6,64,16,30,0,0,0,0,0,0,1,0
9,2019,11,Away,CLE,L,7-21,2,4,17,8.5,13,0,0,0,0,0,0,0,0
10,2019,12,Away,CIN,W,16-10,3,6,29,9.7,14,0,0,0,0,0,0,0,0
11,2019,13,Home,CLE,W,13-20,1,5,14,14,14,0,1,17,17,17,0,0,0
12,2019,14,Away,ARI,W,23-17,6,8,60,10,18,1,1,16,16,16,0,0,0
13,2019,15,Home,BUF,L,17-10,5,7,62,12.4,29,0,0,0,0,0,0,2,1
14,2019,16,Away,NYJ,L,10-16,8,9,81,10.1,29,1,0,0,0,0,0,0,0
15,2019,17,Away,BAL,L,10-28,4,7,54,13.5,21,0,0,0,0,0,0,0,0
