,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,DEN,L,24-31,1,1,9,9,9,0,0,0,0,0,0,0,0
1,2014,2,Home,PHI,L,30-27,1,1,16,16,16,0,0,0,0,0,0,0,0
2,2014,3,Away,JAC,W,44-17,4,5,55,13.8,22,0,1,7,7,7,0,0,0
3,2014,4,Home,TEN,W,17-41,2,2,14,7,10,0,0,0,0,0,0,0,0
4,2014,5,Home,BAL,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,6,Away,HOU,W,33-28,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Home,CIN,W,0-27,1,2,9,9,9,0,1,0,0,0,0,0,0
7,2014,8,Away,PIT,L,34-51,7,12,113,16.1,52,1,0,0,0,0,0,0,0
8,2014,9,Away,NYG,W,40-24,1,1,2,2,2,0,0,0,0,0,0,0,0
9,2014,11,Home,NE,L,42-20,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Home,JAC,W,3-23,4,4,38,9.5,16,0,1,4,4,4,0,0,0
11,2014,13,Home,WAS,W,27-49,3,4,134,44.7,79,2,1,6,6,6,0,0,0
12,2014,14,Away,CLE,W,25-24,3,4,33,11,27,0,0,0,0,0,0,0,0
13,2014,15,Home,HOU,W,10-17,0,4,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,DAL,L,7-42,2,3,5,2.5,5,0,0,0,0,0,0,0,0
15,2014,17,Away,TEN,W,27-10,3,5,16,5.3,9,0,0,0,0,0,0,0,0
0,2015,1,Away,BUF,L,14-27,6,11,46,7.7,15,1,0,0,0,0,0,0,0
1,2015,2,Home,NYJ,L,20-7,7,8,122,17.4,30,1,0,0,0,0,0,0,0
2,2015,3,Away,TEN,W,35-33,4,7,32,8,11,1,0,0,0,0,0,0,0
3,2015,4,Home,JAC,W,13-16,6,9,75,12.5,21,0,0,0,0,0,0,0,0
4,2015,5,Away,HOU,W,27-20,1,3,3,3,3,0,0,0,0,0,0,0,0
5,2015,6,Home,NE,L,34-27,6,11,69,11.5,20,1,0,0,0,0,0,0,0
6,2015,7,Home,NO,L,27-21,4,6,34,8.5,12,1,0,0,0,0,0,0,0
7,2015,8,Away,CAR,L,26-29,2,7,18,9,13,0,0,0,0,0,0,0,0
8,2015,9,Home,DEN,W,24-27,3,4,30,10,15,0,0,0,0,0,0,0,0
9,2015,11,Away,ATL,W,24-21,5,8,41,8.2,11,0,0,0,0,0,0,0,0
10,2015,12,Home,TB,W,12-25,8,9,114,14.3,31,0,0,0,0,0,0,0,0
11,2015,13,Away,PIT,L,10-45,1,1,33,33,33,0,0,0,0,0,0,0,0
12,2015,14,Away,JAC,L,16-51,3,10,52,17.3,33,0,0,0,0,0,0,0,0
13,2015,15,Home,HOU,L,16-10,5,7,51,10.2,21,1,0,0,0,0,0,0,0
14,2015,16,Away,MIA,W,18-12,2,2,15,7.5,8,0,0,0,0,0,0,0,0
15,2015,17,Home,TEN,W,24-30,1,2,-2,-2,-2,0,0,0,0,0,0,0,0
0,2016,1,Home,DET,L,39-35,6,7,64,10.7,32,1,0,0,0,0,0,0,0
1,2016,2,Away,DEN,L,20-34,1,3,9,9,9,0,0,0,0,0,0,0,0
2,2016,3,Away,IND,W,22-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,JAC,L,27-30,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,IND,W,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,HOU,L,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,TEN,W,34-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Home,KC,L,30-14,4,9,41,10.3,15,1,1,-1,-1,-1,0,0,0
8,2016,9,Away,GB,W,31-26,3,6,55,18.3,39,1,0,0,0,0,0,0,0
9,2016,11,Home,TEN,W,17-24,4,7,37,9.3,17,1,0,0,0,0,0,0,0
10,2016,12,Home,PIT,L,28-7,6,11,45,7.5,12,1,0,0,0,0,0,0,0
11,2016,13,Away,NYJ,W,41-10,4,6,26,6.5,10,1,0,0,0,0,0,0,0
12,2016,14,Home,HOU,L,22-17,0,4,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,MIN,W,34-6,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,OAK,L,25-33,2,3,30,15,24,1,0,0,0,0,0,0,0
15,2016,17,Away,IND,W,20-24,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,LAR,L,9-46,1,4,50,50,50,0,0,0,0,0,0,0,0
1,2017,2,Home,ARI,L,16-13,2,8,18,9,15,0,0,0,0,0,0,0,0
2,2017,3,Home,CLE,W,28-31,2,3,44,22,34,0,0,0,0,0,0,0,0
3,2017,4,Away,SEA,L,18-46,3,3,30,10,18,1,0,0,0,0,0,0,0
4,2017,5,Home,SF,W,23-26,3,3,32,10.7,15,0,0,0,0,0,0,0,0
5,2017,6,Away,TEN,L,22-36,5,7,67,13.4,23,0,0,0,0,0,0,0,0
6,2017,7,Home,JAC,L,27-0,2,4,30,15,22,0,0,0,0,0,0,0,0
7,2017,8,Away,CIN,L,23-24,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2017,9,Away,HOU,W,20-14,1,2,7,7,7,0,0,0,0,0,0,0,0
9,2017,10,Home,PIT,L,20-17,1,1,60,60,60,1,0,0,0,0,0,0,0
10,2017,12,Home,TEN,L,20-16,1,3,16,16,16,0,0,0,0,0,0,0,0
11,2017,13,Away,JAC,L,10-30,5,8,37,7.4,9,0,0,0,0,0,0,0,0
12,2017,14,Away,BUF,L,7-13,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,IND,L,25-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,BAL,L,16-23,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,IND,W,13-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,NYG,W,20-15,1,5,14,14,14,0,0,0,0,0,0,0,0
1,2018,2,Home,NE,W,20-31,4,9,34,8.5,14,1,0,0,0,0,0,0,0
2,2018,3,Home,TEN,L,9-6,2,3,16,8,13,0,0,0,0,0,0,1,1
3,2018,4,Home,NYJ,W,12-31,5,5,109,21.8,67,1,0,0,0,0,0,0,0
4,2018,5,Away,KC,L,14-30,6,15,76,12.7,25,0,0,0,0,0,0,0,0
5,2018,6,Away,DAL,L,7-40,0,3,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,HOU,L,20-7,7,10,76,10.9,24,0,0,0,0,0,0,0,0
7,2018,8,Home,PHI,L,24-18,4,7,54,13.5,24,0,0,0,0,0,0,0,0
8,2018,10,Away,IND,L,26-29,3,4,98,32.7,80,1,0,0,0,0,0,0,0
9,2018,11,Home,PIT,L,20-16,1,2,11,11,11,0,0,0,0,0,0,0,0
10,2018,12,Away,BUF,L,21-24,1,4,29,29,29,0,0,0,0,0,0,0,0
11,2018,13,Home,IND,W,0-6,3,4,40,13.3,18,0,0,0,0,0,0,0,0
12,2018,14,Away,TEN,L,9-30,5,10,47,9.4,12,0,0,0,0,0,0,0,0
13,2018,15,Home,WAS,L,16-13,0,2,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,MIA,W,17-7,4,4,43,10.8,19,0,0,0,0,0,0,0,0
15,2018,17,Away,HOU,L,3-20,2,3,21,10.5,22,0,0,0,0,0,0,0,0
0,2019,1,Away,NE,W,3-33,3,10,7,2.3,3,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,W,28-26,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,4,Home,CIN,W,3-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,6,Away,LAC,W,24-17,1,2,11,11,11,0,0,0,0,0,0,0,0
4,2019,8,Home,MIA,W,14-27,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2019,11,Home,ATL,W,29-3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,12,Away,NO,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,13,Home,WAS,W,29-21,0,0,0,0,0,0,0,0,0,0,0,0,0
