,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,2,Home,MIA,W,19-17,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2017,3,Home,KC,W,24-10,1,1,2,2,2,0,0,0,0,0,0,0,0
2,2017,4,Home,PHI,W,26-24,1,1,7,7,7,0,0,0,0,0,0,0,0
3,2017,5,Away,NYG,W,27-22,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,10,Home,GB,W,23-16,6,8,88,14.7,26,0,0,0,0,0,0,0,0
5,2017,11,Home,DET,W,27-24,3,5,43,14.3,17,0,0,0,0,0,0,0,0
6,2017,12,Away,PHI,W,3-31,4,9,64,16,19,0,0,0,0,0,0,0,0
7,2017,13,Home,SF,W,15-14,2,2,21,10.5,13,1,0,0,0,0,0,0,0
8,2017,14,Away,CIN,W,33-7,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,15,Away,DET,W,10-20,1,2,5,5,5,0,0,0,0,0,0,0,0
10,2017,16,Home,CLE,W,3-20,2,4,19,9.5,13,0,0,0,0,0,0,0,0
11,2017,17,Away,MIN,W,10-23,5,10,94,18.8,23,0,0,0,0,0,0,0,0
0,2018,1,Home,CIN,L,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,WAS,W,21-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,PHI,L,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,HOU,L,37-34,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,NE,L,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,NYJ,L,34-42,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,BUF,W,5-37,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,OAK,W,42-28,6,7,52,8.7,16,0,0,0,0,0,0,0,0
8,2018,10,Home,JAC,W,26-29,4,4,41,10.3,16,0,0,0,0,0,0,0,0
9,2018,11,Home,TEN,W,10-38,4,6,34,8.5,12,1,0,0,0,0,0,0,0
10,2018,12,Home,MIA,W,24-27,3,4,40,13.3,22,0,0,0,0,0,0,0,0
11,2018,13,Away,JAC,L,0-6,2,6,14,7,8,0,0,0,0,0,0,0,0
12,2018,14,Away,HOU,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Home,DAL,W,0-23,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,NYG,W,27-28,4,5,46,11.5,29,1,0,0,0,0,0,0,0
15,2018,17,Away,TEN,W,33-17,5,6,77,15.4,29,1,0,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,1,1,5,5,5,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,W,10-13,1,2,28,28,28,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,W,27-20,1,3,23,23,23,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,5,7,76,15.2,25,0,0,0,0,0,0,0,0
4,2019,15,Away,NO,W,7-34,2,3,25,12.5,22,0,0,0,0,0,0,0,0
5,2019,16,Home,CAR,W,6-38,1,2,18,18,18,0,0,0,0,0,0,0,0
6,2019,17,Away,JAC,W,20-38,1,3,6,6,6,0,0,0,0,0,0,0,0
