,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,DAL,L,26-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Home,ATL,L,24-20,1,1,5,5,5,0,0,0,0,0,0,0,0
2,2015,3,Home,WAS,W,21-32,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,BUF,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Home,SF,W,27-30,1,1,16,16,16,0,0,0,0,0,0,0,0
5,2015,6,Away,PHI,L,7-27,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Home,DAL,W,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Away,NO,L,49-52,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2015,9,Away,TB,W,32-18,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2015,10,Home,NE,L,27-26,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2015,12,Away,WAS,L,14-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,NYG,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,MIA,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,NYG,L,38-35,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2015,16,Away,MIN,L,17-49,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Away,NYG,L,35-30,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,DEN,L,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,LAC,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,LAC,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,LAC,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,NYG,W,27-22,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,OAK,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,LAC,W,0-21,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,NE,L,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,JAC,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,LAC,W,24-54,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,DAL,W,28-6,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,CLE,W,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,LAC,W,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,KC,L,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,NYJ,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,LAC,W,10-30,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,LAC,L,38-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,BUF,W,31-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,LAR,L,23-35,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,SF,W,27-29,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,CLE,W,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,TEN,W,19-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Home,DEN,L,23-22,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,BAL,L,22-10,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,DEN,W,23-9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,2,2,25,12.5,19,0,0,0,0,0,0,0,0
4,2019,5,Home,DEN,L,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,1,1,13,13,13,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Away,LAC,W,11-26,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,OAK,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,LAC,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,DEN,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,JAC,W,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,LAC,L,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,LAC,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,KC,L,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
