,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,JAC,W,27-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,MIN,L,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,GB,W,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,5,Away,GB,W,16-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,6,Away,GB,L,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,GB,W,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,8,Away,ATL,L,32-33,2,4,21,10.5,17,1,0,0,0,0,0,0,0
7,2016,9,Home,IND,L,31-26,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2016,10,Away,TEN,L,25-47,1,2,17,17,17,0,0,0,0,0,0,0,0
9,2016,11,Away,WAS,L,24-42,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,PHI,W,27-13,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Home,HOU,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Home,SEA,W,10-38,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,CHI,W,30-27,1,1,7,7,7,0,0,0,0,0,0,0,0
14,2016,16,Home,MIN,W,25-38,4,7,66,16.5,32,0,0,0,0,0,0,0,0
15,2016,17,Away,DET,W,31-24,4,6,91,22.8,39,1,0,0,0,0,0,0,0
0,2017,1,Away,GB,W,9-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,ATL,L,23-34,3,5,24,8,13,0,0,0,0,0,0,0,0
2,2017,3,Home,CIN,W,24-27,6,8,122,20.3,72,0,0,0,0,0,0,0,0
3,2017,4,Home,CHI,W,14-35,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Away,DAL,W,35-31,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,MIN,L,10-23,1,2,7,7,7,0,0,0,0,0,0,0,0
6,2017,7,Home,NO,L,26-17,1,2,14,14,14,0,0,0,0,0,0,0,0
7,2017,9,Home,DET,L,30-17,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,CHI,W,23-16,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,BAL,L,23-0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2017,12,Away,PIT,L,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,TB,W,20-26,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,CLE,W,27-21,4,4,29,7.3,9,0,0,0,0,0,0,0,0
13,2017,15,Away,CAR,L,24-31,5,8,33,6.6,10,0,0,0,0,0,0,1,1
14,2017,16,Home,MIN,L,16-0,1,3,9,9,9,0,0,0,0,0,0,0,0
15,2017,17,Away,DET,L,11-35,2,3,15,7.5,9,0,0,0,0,0,0,0,0
0,2018,1,Home,CHI,W,23-24,5,8,69,13.8,39,1,0,0,0,0,0,0,0
1,2018,2,Home,MIN,T,29-29,6,6,64,10.7,22,0,0,0,0,0,0,0,0
2,2018,3,Away,WAS,L,17-31,2,4,76,38,64,1,0,0,0,0,0,0,0
