,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,LAC,W,21-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,DAL,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,BUF,L,16-26,0,0,0,0,0,0,1,4,4,4,0,0,0
3,2017,4,Home,OAK,W,10-16,0,2,0,0,0,0,0,0,0,0,0,2,0
4,2017,6,Home,NYG,L,23-10,1,2,0,0,0,0,0,0,0,0,0,1,0
5,2017,7,Away,LAC,L,0-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,KC,L,19-29,0,1,0,0,0,0,0,0,0,0,0,1,1
7,2017,9,Away,PHI,L,23-51,1,3,14,14,14,0,0,0,0,0,0,0,0
8,2017,10,Home,NE,L,41-16,0,0,0,0,0,0,0,0,0,0,0,1,1
9,2017,11,Away,DEN,L,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,OAK,L,14-21,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,MIA,L,9-35,0,0,0,0,0,0,0,0,0,0,0,1,0
12,2017,14,Away,DEN,W,0-23,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,IND,W,25-13,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,WAS,L,11-27,1,2,8,8,8,0,0,0,0,0,0,0,0
15,2017,17,Home,KC,L,27-24,1,3,7,7,7,0,0,0,0,0,0,0,0
0,2018,8,Away,KC,W,23-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,10,Away,NYJ,W,41-10,1,1,14,14,14,0,3,32,10.7,15,0,0,0
2,2018,12,Home,JAC,W,21-24,2,3,11,5.5,6,0,2,8,4,6,1,1,0
3,2018,13,Away,MIA,W,17-21,4,4,46,11.5,23,0,0,0,0,0,0,1,1
4,2018,14,Home,NYJ,W,27-23,4,7,47,11.8,19,0,4,22,5.5,15,1,0,0
5,2018,15,Home,DET,W,13-14,6,7,53,8.8,16,0,1,4,4,4,0,0,0
6,2018,16,Away,NE,W,12-24,1,8,8,8,8,0,0,0,0,0,0,0,0
7,2018,17,Home,MIA,W,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NYJ,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,NYG,W,28-14,2,2,40,20,26,1,1,4,4,4,0,0,0
2,2019,3,Home,CIN,W,17-21,1,1,9,9,9,0,3,10,3.3,8,0,0,0
3,2019,4,Home,NE,L,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,TEN,W,14-7,2,2,52,26,46,0,0,0,0,0,0,0,0
5,2019,7,Home,MIA,W,21-31,2,3,11,5.5,10,0,0,0,0,0,0,0,0
6,2019,8,Home,PHI,L,31-13,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,WAS,W,9-24,3,3,12,4,11,0,0,0,0,0,0,0,0
8,2019,10,Away,CLE,L,16-19,2,4,19,9.5,11,0,0,0,0,0,0,0,0
9,2019,11,Away,MIA,W,37-20,3,6,21,7,16,0,1,10,10,10,0,0,0
10,2019,12,Home,DEN,W,3-20,2,3,13,6.5,8,0,1,-5,-5,-5,0,0,0
11,2019,13,Away,DAL,W,26-15,3,3,34,11.3,18,0,0,0,0,0,0,0,0
12,2019,14,Home,BAL,L,24-17,3,5,25,8.3,24,0,0,0,0,0,0,0,0
13,2019,15,Away,PIT,W,17-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,NE,L,17-24,2,2,11,5.5,8,0,0,0,0,0,0,0,0
15,2019,17,Home,NYJ,L,13-6,2,5,7,3.5,12,0,2,30,15,16,0,0,0
