,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,WAS,W,27-32,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,ATL,L,20-24,1,4,4,4,4,0,0,0,0,0,0,0,0
2,2019,3,Home,DET,L,27-24,1,3,10,10,10,0,0,0,0,0,0,0,0
3,2019,4,Away,GB,W,34-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,NYJ,W,6-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,MIN,L,20-38,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,DAL,L,10-37,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,BUF,W,31-13,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,CHI,W,14-22,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,NE,L,17-10,1,1,29,29,29,0,0,0,0,0,0,0,0
10,2019,12,Home,SEA,L,17-9,2,5,43,21.5,30,0,0,0,0,0,0,0,0
11,2019,13,Away,MIA,L,31-37,1,2,15,15,15,1,0,0,0,0,0,0,0
12,2019,14,Home,NYG,W,17-23,2,3,29,14.5,22,0,0,0,0,0,0,0,0
13,2019,15,Away,WAS,W,37-27,0,2,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,DAL,W,9-17,2,2,39,19.5,27,0,0,0,0,0,0,0,0
15,2019,17,Away,NYG,W,34-17,0,0,0,0,0,0,0,0,0,0,0,0,0
