,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Home,NO,W,19-31,0,3,0,0,0,0,0,0,0,0,0,0,0
1,2015,2,Away,CHI,W,48-23,0,1,0,0,0,0,0,0,0,0,0,1,1
2,2015,3,Away,ARI,W,7-47,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,ARI,L,24-22,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,DET,W,42-17,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,PIT,L,13-25,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Home,BAL,W,18-26,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Away,CLE,W,34-20,3,4,70,23.3,38,0,1,0,0,0,0,0,0
8,2015,10,Away,SEA,W,39-32,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Home,CIN,W,31-34,4,6,142,35.5,64,1,0,0,0,0,0,0,0
10,2015,12,Away,SF,W,19-13,2,5,53,26.5,34,0,0,0,0,0,0,0,0
11,2015,13,Away,STL,W,27-3,2,3,34,17,22,1,0,0,0,0,0,0,0
12,2015,14,Home,MIN,W,20-23,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Away,PHI,W,40-17,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,GB,W,8-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,SEA,L,36-6,0,3,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Home,NE,L,23-21,1,2,11,11,11,0,0,0,0,0,0,0,0
1,2016,2,Away,ARI,W,7-40,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,BUF,L,18-33,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Home,LAR,L,17-13,1,1,24,24,24,0,0,0,0,0,0,0,0
4,2016,5,Away,SF,W,33-21,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Home,NYJ,W,3-28,2,2,16,8,11,0,2,23,11.5,14,0,0,0
6,2016,7,Home,SEA,T,6-6,3,7,84,28,40,0,1,4,4,4,0,0,0
7,2016,8,Away,CAR,L,20-30,8,12,79,9.9,19,2,0,0,0,0,0,0,0
8,2016,10,Home,SF,W,20-23,2,6,29,14.5,17,0,0,0,0,0,0,1,1
9,2016,11,Away,MIN,L,24-30,1,5,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,ATL,L,19-38,2,4,30,15,17,0,0,0,0,0,0,0,0
11,2016,13,Home,WAS,W,23-31,1,2,42,42,42,1,0,0,0,0,0,0,0
12,2016,14,Away,MIA,L,23-26,1,2,8,8,8,1,1,56,56,56,1,0,0
13,2016,15,Home,NO,L,48-41,5,11,38,7.6,11,1,0,0,0,0,0,0,0
14,2016,16,Away,SEA,W,34-31,3,7,132,44,80,1,0,0,0,0,0,0,0
15,2016,17,Away,LAR,W,44-6,4,12,75,18.8,32,0,0,0,0,0,0,0,0
0,2017,1,Away,DET,L,23-35,5,6,43,8.6,14,1,0,0,0,0,0,0,0
1,2017,2,Away,IND,W,16-13,5,7,120,24,45,1,0,0,0,0,0,0,0
2,2017,3,Home,DAL,L,28-17,0,3,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,SF,W,15-18,3,4,34,11.3,17,0,0,0,0,0,0,0,0
4,2017,5,Away,PHI,L,7-34,4,6,80,20,28,0,1,14,14,14,0,1,1
5,2017,6,Home,TB,W,33-38,0,1,0,0,0,0,1,16,16,16,0,0,0
6,2017,7,Away,LAR,L,0-33,2,5,39,19.5,27,0,0,0,0,0,0,0,0
7,2017,9,Away,SF,W,20-10,1,2,15,15,15,0,0,0,0,0,0,0,0
8,2017,10,Home,SEA,L,22-16,1,4,17,17,17,0,0,0,0,0,0,0,0
9,2017,11,Away,HOU,L,21-31,1,3,14,14,14,0,0,0,0,0,0,0,0
10,2017,12,Home,JAC,W,24-27,1,4,14,14,14,0,0,0,0,0,0,0,0
11,2017,13,Home,LAR,L,32-16,2,8,42,21,26,0,0,0,0,0,0,0,0
12,2017,14,Home,TEN,W,7-12,2,3,26,13,14,0,0,0,0,0,0,0,0
13,2017,15,Away,WAS,L,15-20,1,3,46,46,46,0,1,7,7,7,0,0,0
14,2017,16,Home,NYG,W,0-23,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,SEA,W,26-24,1,1,18,18,18,0,0,0,0,0,0,0,0
0,2018,1,Home,WAS,L,24-6,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,LAR,L,0-34,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,CHI,L,16-14,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,SEA,L,20-17,1,1,4,4,4,0,0,0,0,0,0,0,0
4,2018,5,Away,SF,W,28-18,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,MIN,L,17-27,1,2,9,9,9,0,0,0,0,0,0,0,0
6,2018,7,Home,DEN,L,45-10,2,4,8,4,5,0,1,7,7,7,0,0,0
7,2018,8,Home,SF,W,15-18,0,1,0,0,0,0,1,8,8,8,0,0,0
8,2018,10,Away,KC,L,14-26,0,1,0,0,0,0,1,-10,-10,-10,0,0,0
9,2018,11,Home,OAK,L,23-21,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,LAC,L,10-45,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,GB,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Home,DET,L,17-3,3,7,43,14.3,17,0,1,-5,-5,-5,0,0,0
