,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,PIT,W,3-33,1,1,22,22,22,0,0,0,0,0,0,0,0
1,2019,2,Away,MIA,W,43-0,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,NYJ,W,14-30,2,3,38,19,20,0,0,0,0,0,0,0,0
3,2019,4,Away,BUF,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,WAS,W,33-7,1,2,6,6,6,0,0,0,0,0,0,0,0
5,2019,6,Home,NYG,W,14-35,4,4,54,13.5,23,0,0,0,0,0,0,0,0
6,2019,7,Away,NYJ,W,33-0,5,5,47,9.4,23,0,0,0,0,0,0,0,0
7,2019,8,Home,CLE,W,13-27,1,2,5,5,5,0,0,0,0,0,0,0,0
8,2019,9,Away,BAL,L,20-37,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,PHI,W,17-10,1,2,7,7,7,0,0,0,0,0,0,0,0
10,2019,12,Home,DAL,W,9-13,4,9,74,18.5,32,0,0,0,0,0,0,0,0
11,2019,13,Away,HOU,L,22-28,3,7,46,15.3,21,0,0,0,0,0,0,0,0
12,2019,14,Home,KC,L,23-16,1,3,35,35,35,0,0,0,0,0,0,0,0
13,2019,15,Away,CIN,W,34-13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,BUF,W,17-24,3,3,25,8.3,15,0,0,0,0,0,0,0,0
15,2019,17,Home,MIA,L,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
