,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Home,MIA,L,17-10,1,1,0,0,0,0,1,2,2,2,0,0,0
1,2015,2,Home,STL,W,10-24,1,1,7,7,7,0,0,0,0,0,0,0,0
2,2015,3,Away,NYG,L,21-32,6,6,45,7.5,15,0,0,0,0,0,0,0,0
3,2015,4,Home,PHI,W,20-23,7,12,65,9.3,22,0,0,0,0,0,0,0,0
4,2015,5,Away,ATL,L,19-25,8,8,87,10.9,26,0,1,0,0,0,0,1,0
5,2015,6,Away,NYJ,L,20-34,4,9,40,10,18,0,0,0,0,0,0,0,0
6,2015,7,Home,TB,W,30-31,5,5,48,9.6,18,0,0,0,0,0,0,0,0
7,2015,9,Away,NE,L,10-27,6,8,50,8.3,16,0,0,0,0,0,0,1,0
8,2015,10,Home,NO,W,14-47,4,5,60,15,31,1,0,0,0,0,0,1,0
9,2015,11,Away,CAR,L,16-44,1,1,5,5,5,0,0,0,0,0,0,0,0
10,2015,12,Home,NYG,W,14-20,2,4,12,6,9,0,0,0,0,0,0,0,0
11,2015,13,Home,DAL,L,19-16,3,4,29,9.7,20,0,0,0,0,0,0,0,0
12,2015,14,Away,CHI,W,24-21,1,1,13,13,13,0,0,0,0,0,0,0,0
13,2015,15,Home,BUF,W,25-35,3,3,21,7,12,0,0,0,0,0,0,1,1
14,2015,16,Away,PHI,W,38-24,2,3,13,6.5,7,0,0,0,0,0,0,0,0
15,2015,17,Away,DAL,W,34-23,5,7,109,21.8,44,1,0,0,0,0,0,0,0
0,2016,1,Home,PIT,L,38-16,6,10,58,9.7,16,0,0,0,0,0,0,1,0
1,2016,2,Home,DAL,L,27-23,6,8,39,6.5,11,1,0,0,0,0,0,0,0
2,2016,3,Away,NYG,W,29-27,4,7,78,19.5,55,1,0,0,0,0,0,0,0
3,2016,4,Home,CLE,W,20-31,2,3,21,10.5,15,0,0,0,0,0,0,0,0
4,2016,5,Away,BAL,W,16-10,3,3,35,11.7,23,0,0,0,0,0,0,0,0
5,2016,6,Home,PHI,W,20-27,3,4,52,17.3,21,1,1,-9,-9,-9,0,0,0
6,2016,7,Away,DET,L,17-20,7,9,108,15.4,26,0,0,0,0,0,0,0,0
7,2016,8,Away,CIN,T,27-27,9,13,107,11.9,33,1,0,0,0,0,0,0,0
8,2016,10,Home,MIN,W,20-26,4,6,37,9.3,14,1,1,7,7,7,0,0,0
9,2016,11,Home,GB,W,24-42,3,3,102,34,53,1,0,0,0,0,0,0,0
10,2016,12,Away,DAL,L,26-31,8,10,88,11,38,0,0,0,0,0,0,0,0
11,2016,13,Away,ARI,L,23-31,3,8,42,14,26,1,0,0,0,0,0,0,0
12,2016,14,Away,PHI,W,27-22,2,5,37,18.5,33,0,0,0,0,0,0,0,0
13,2016,15,Home,CAR,L,26-15,4,5,24,6,8,0,0,0,0,0,0,1,1
14,2016,16,Away,CHI,W,41-21,1,2,3,3,3,0,0,0,0,0,0,0,0
15,2016,17,Home,NYG,L,19-10,2,3,16,8,11,0,0,0,0,0,0,0,0
0,2017,1,Home,PHI,L,30-17,3,7,14,4.7,7,0,0,0,0,0,0,1,1
1,2017,2,Away,LAR,W,27-20,4,5,47,11.8,21,0,0,0,0,0,0,0,0
2,2017,3,Home,OAK,W,10-27,6,6,52,8.7,30,0,0,0,0,0,0,1,1
3,2017,4,Away,KC,L,20-29,1,1,-7,-7,-7,0,0,0,0,0,0,1,0
4,2017,6,Home,SF,W,24-26,3,5,15,5,8,0,1,11,11,11,0,0,0
5,2017,7,Away,PHI,L,24-34,2,6,28,14,20,0,1,3,3,3,0,1,0
6,2017,8,Home,DAL,L,33-19,9,13,123,13.7,41,0,2,12,6,6,0,1,0
7,2017,9,Away,SEA,W,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,MIN,L,38-30,4,11,76,19,36,0,1,5,5,5,0,0,0
9,2017,11,Away,NO,L,31-34,7,8,72,10.3,19,0,1,4,4,4,0,0,0
10,2017,12,Home,NYG,W,10-20,7,10,141,20.1,38,1,0,0,0,0,0,0,0
11,2017,13,Away,DAL,L,14-38,5,7,67,13.4,33,0,0,0,0,0,0,1,1
12,2017,14,Away,LAC,L,13-30,3,6,34,11.3,18,0,0,0,0,0,0,0,0
13,2017,15,Home,ARI,W,15-20,5,7,55,11,24,1,0,0,0,0,0,0,0
14,2017,16,Home,DEN,W,11-27,4,4,47,11.8,15,1,0,0,0,0,0,0,0
15,2017,17,Away,NYG,L,10-18,3,7,25,8.3,11,0,1,-1,-1,-1,0,0,0
0,2018,1,Away,ARI,W,24-6,3,4,32,10.7,17,0,0,0,0,0,0,0,0
1,2018,2,Home,IND,L,21-9,2,4,8,4,8,0,2,29,14.5,25,0,0,0
2,2018,3,Home,GB,W,17-31,4,4,39,9.8,18,1,1,6,6,6,0,0,0
3,2018,5,Away,NO,L,19-43,4,8,55,13.8,24,0,0,0,0,0,0,0,0
4,2018,6,Away,WAS,W,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Away,WAS,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,NYG,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,WAS,L,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,TB,W,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,WAS,L,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DAL,L,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,PHI,L,13-28,4,4,36,9,11,0,1,-5,-5,-5,0,0,0
12,2018,14,Home,NYG,L,40-16,2,7,87,43.5,79,1,0,0,0,0,0,0,0
13,2018,15,Away,JAC,W,16-13,4,4,46,11.5,33,0,0,0,0,0,0,0,0
14,2018,16,Away,TEN,L,16-25,5,7,78,15.6,30,0,0,0,0,0,0,0,0
15,2018,17,Home,PHI,L,24-0,1,8,7,7,7,0,0,0,0,0,0,0,0
