,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,BUF,L,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Away,BUF,W,23-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Away,NYJ,L,20-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Away,BUF,W,20-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,5,Away,CLE,L,24-37,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Away,BUF,L,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,7,Away,MIA,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Away,NO,L,17-35,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,9,Home,KC,L,23-13,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,10,Away,PIT,L,10-23,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,11,Away,BUF,W,14-37,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Away,BUF,L,34-31,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Away,TB,L,6-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Away,JAC,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Away,BUF,W,0-19,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2013,17,Away,NE,L,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2014,1,Home,SD,W,17-18,2,5,29,14.5,16,1,0,0,0,0,0,0,0
1,2014,2,Away,NYG,W,25-14,3,4,28,9.3,20,0,1,2,2,2,0,0,0
2,2014,3,Home,SF,W,14-23,4,6,52,13,24,2,0,0,0,0,0,0,0
3,2014,5,Away,DEN,L,20-41,2,7,4,2,2,0,0,0,0,0,0,0,0
4,2014,6,Home,WAS,W,20-30,4,6,43,10.8,15,0,0,0,0,0,0,0,0
5,2014,7,Away,OAK,W,24-13,2,5,41,20.5,22,0,1,-5,-5,-5,0,0,0
6,2014,8,Home,PHI,W,20-24,5,10,119,23.8,75,1,0,0,0,0,0,0,0
7,2014,9,Away,DAL,W,28-17,2,5,10,5,10,0,1,-3,-3,-3,0,0,0
8,2014,10,Home,STL,W,14-31,5,9,73,14.6,48,1,0,0,0,0,0,0,0
9,2014,11,Home,DET,W,6-14,5,9,69,13.8,30,0,0,0,0,0,0,0,0
10,2014,12,Away,SEA,L,3-19,3,5,61,20.3,33,0,0,0,0,0,0,0,0
11,2014,13,Away,ATL,L,18-29,2,5,40,20,27,0,0,0,0,0,0,0,0
12,2014,14,Home,KC,W,14-17,0,4,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,STL,W,12-6,2,6,22,11,14,0,0,0,0,0,0,0,0
14,2014,16,Home,SEA,L,35-6,3,8,54,18,24,0,0,0,0,0,0,0,0
15,2014,17,Away,SF,L,17-20,4,9,51,12.8,19,0,0,0,0,0,0,0,0
0,2015,1,Home,NO,W,19-31,4,7,46,11.5,14,1,0,0,0,0,0,0,0
1,2015,2,Away,CHI,W,48-23,5,5,45,9,13,0,0,0,0,0,0,0,0
2,2015,3,Home,SF,W,7-47,3,5,62,20.7,27,0,0,0,0,0,0,0,0
3,2015,4,Home,STL,L,24-22,7,10,75,10.7,14,0,1,13,13,13,0,0,0
4,2015,5,Away,DET,W,42-17,4,4,73,18.3,49,1,0,0,0,0,0,0,0
5,2015,6,Away,PIT,L,13-25,10,14,196,19.6,45,0,0,0,0,0,0,1,1
6,2015,7,Home,BAL,W,18-26,4,6,65,16.3,35,1,0,0,0,0,0,0,0
7,2015,8,Away,CLE,W,34-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,SEA,W,39-32,0,3,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Home,CIN,W,31-34,3,3,43,14.3,18,1,2,9,4.5,6,0,0,0
10,2015,12,Away,SF,W,19-13,5,7,99,19.8,48,0,0,0,0,0,0,0,0
11,2015,13,Away,STL,W,27-3,6,8,113,18.8,68,0,0,0,0,0,0,0,0
12,2015,14,Home,MIN,W,20-23,4,5,78,19.5,65,1,0,0,0,0,0,0,0
13,2015,15,Away,PHI,W,40-17,3,9,38,12.7,19,1,0,0,0,0,0,0,0
14,2015,16,Home,GB,W,8-38,3,4,25,8.3,14,1,0,0,0,0,0,0,0
15,2015,17,Home,SEA,L,36-6,4,11,45,11.3,14,0,0,0,0,0,0,0,0
0,2016,1,Home,NE,L,23-21,1,4,8,8,8,0,0,0,0,0,0,0,0
1,2016,2,Home,TB,W,7-40,1,3,14,14,14,0,0,0,0,0,0,0,0
2,2016,3,Away,BUF,L,18-33,6,11,70,11.7,19,0,0,0,0,0,0,0,0
3,2016,4,Home,LAR,L,17-13,10,16,144,14.4,29,0,0,0,0,0,0,0,0
4,2016,5,Away,SF,W,33-21,1,5,11,11,11,0,0,0,0,0,0,1,0
5,2016,6,Home,NYJ,W,3-28,5,7,54,10.8,13,0,0,0,0,0,0,0,0
6,2016,7,Away,ARI,T,6-6,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,CAR,L,20-30,4,4,49,12.3,17,1,0,0,0,0,0,0,0
8,2016,10,Home,SF,W,20-23,2,4,30,15,21,0,1,10,10,10,0,0,0
9,2016,11,Away,MIN,L,24-30,0,4,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,ATL,L,19-38,1,2,19,19,19,0,0,0,0,0,0,0,0
11,2016,13,Home,WAS,W,23-31,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,MIA,L,23-26,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Home,NO,L,48-41,5,6,81,16.2,30,1,0,0,0,0,0,0,0
14,2016,16,Away,SEA,W,34-31,1,2,12,12,12,0,0,0,0,0,0,0,0
15,2016,17,Away,LAR,W,44-6,2,4,25,12.5,16,0,0,0,0,0,0,0,0
0,2017,1,Away,DET,L,23-35,4,9,32,8,12,0,1,10,10,10,0,0,0
1,2017,2,Away,IND,W,16-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,ARI,L,28-17,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Home,SF,W,15-18,3,7,47,15.7,18,0,0,0,0,0,0,0,0
4,2017,5,Away,PHI,L,7-34,2,7,26,13,13,1,0,0,0,0,0,0,0
5,2017,6,Home,TB,W,33-38,3,4,63,21,31,1,0,0,0,0,0,0,0
6,2017,7,Away,LAR,L,0-33,1,4,6,6,6,0,0,0,0,0,0,0,0
7,2017,9,Away,SF,W,20-10,1,4,52,52,52,0,0,0,0,0,0,0,0
8,2017,10,Home,SEA,L,22-16,2,6,27,13.5,18,0,0,0,0,0,0,0,0
9,2017,11,Away,HOU,L,21-31,3,6,18,6,9,0,0,0,0,0,0,0,0
10,2017,12,Away,ARI,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,ARI,L,32-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,ARI,W,7-12,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,WAS,L,15-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,NYG,W,0-23,2,4,28,14,15,1,0,0,0,0,0,0,0
15,2017,17,Away,SEA,W,26-24,0,4,0,0,0,0,0,0,0,0,0,0,0
0,2018,1,Home,BUF,W,3-47,3,4,44,14.7,29,1,1,1,1,1,0,0,0
1,2018,2,Away,CIN,L,23-34,4,10,92,23,45,1,0,0,0,0,0,0,0
2,2018,3,Home,DEN,W,14-27,5,9,86,17.2,44,0,0,0,0,0,0,0,0
