,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,BAL,L,20-0,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,HOU,L,13-9,0,0,0,0,0,0,1,12,12,12,0,1,1
2,2017,3,Away,GB,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,CLE,W,31-7,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Home,BUF,W,16-20,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,PIT,L,14-29,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Home,IND,W,23-24,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,JAC,L,7-23,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,TEN,L,20-24,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,DEN,W,20-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Home,CLE,W,16-30,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,PIT,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Home,CHI,L,33-7,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,MIN,L,7-34,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,DET,W,17-26,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,BAL,W,31-27,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,IND,W,34-23,1,2,3,3,3,1,0,0,0,0,0,0,0
1,2018,2,Home,BAL,W,23-34,1,4,8,8,8,0,1,-3,-3,-3,0,0,0
2,2018,3,Away,CAR,L,21-31,3,7,16,5.3,9,0,0,0,0,0,0,0,0
3,2018,4,Away,ATL,W,37-36,2,2,52,26,39,1,0,0,0,0,0,0,0
4,2018,5,Home,MIA,W,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Home,PIT,L,28-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,KC,L,10-45,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Home,TB,W,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Home,NO,L,51-14,2,6,39,19.5,37,1,0,0,0,0,0,0,0
9,2018,11,Away,BAL,L,21-24,2,7,27,13.5,22,1,0,0,0,0,0,0,0
10,2018,12,Home,CLE,L,35-20,3,7,31,10.3,17,1,0,0,0,0,0,0,0
11,2018,13,Home,DEN,L,24-10,2,3,13,6.5,11,0,1,2,2,2,0,0,0
12,2018,14,Away,LAC,L,21-26,2,4,11,5.5,6,1,0,0,0,0,0,0,0
13,2018,15,Home,OAK,W,16-30,1,5,6,6,6,0,1,3,3,3,0,0,0
14,2018,16,Away,CLE,L,18-26,1,5,3,3,3,1,1,7,7,7,0,0,0
15,2018,17,Away,PIT,L,13-16,1,5,1,1,1,0,0,0,0,0,0,0,0
0,2019,1,Away,SEA,L,20-21,7,12,158,22.6,55,2,0,0,0,0,0,0,0
1,2019,2,Home,SF,L,41-17,4,8,112,28,66,1,0,0,0,0,0,0,0
2,2019,3,Away,BUF,L,17-21,2,6,22,11,15,0,0,0,0,0,0,1,1
3,2019,4,Away,PIT,L,3-27,3,6,36,12,14,0,0,0,0,0,0,0,0
4,2019,5,Home,ARI,L,26-23,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,BAL,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,JAC,L,27-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,LAR,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,BAL,L,49-13,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,OAK,L,10-17,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,PIT,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,NYJ,W,6-22,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,CLE,L,19-27,2,3,28,14,24,0,0,0,0,0,0,0,0
13,2019,15,Home,NE,L,34-13,2,3,24,12,20,0,0,0,0,0,0,0,0
14,2019,16,Away,MIA,L,35-38,6,13,84,14,34,0,2,6,3,5,0,0,0
15,2019,17,Home,CLE,W,23-33,2,5,42,21,28,0,1,-2,-2,-2,0,0,0
