,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,NO,W,35-34,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,ATL,L,35-28,1,1,4,4,4,0,1,14,14,14,0,0,0
2,2016,3,Away,TEN,W,17-10,0,0,0,0,0,0,1,2,2,2,0,0,0
3,2016,4,Away,BAL,W,28-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,SD,W,31-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Home,KC,L,26-10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Away,JAC,W,33-16,0,0,0,0,0,0,2,25,12.5,29,0,0,0
7,2016,8,Away,TB,W,30-24,0,0,0,0,0,0,1,2,2,2,0,0,0
8,2016,9,Home,DEN,W,20-30,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Away,OAK,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Home,CAR,W,32-35,1,1,30,30,30,0,0,0,0,0,0,0,0
11,2016,13,Home,BUF,W,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,KC,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,SD,W,19-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Home,IND,W,25-33,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,DEN,L,6-24,0,1,0,0,0,0,1,0,0,0,0,1,1
0,2017,1,Away,TEN,W,26-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,NYJ,W,20-45,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,WAS,L,10-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,DEN,L,10-16,1,1,64,64,64,1,0,0,0,0,0,0,0
4,2017,5,Home,BAL,L,30-17,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Home,LAC,L,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,KC,W,30-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,BUF,L,14-34,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,9,Away,MIA,W,27-24,1,1,44,44,44,1,0,0,0,0,0,0,0
9,2017,11,Home,NE,L,33-8,0,2,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,DEN,W,14-21,2,2,53,26.5,47,0,0,0,0,0,0,0,0
11,2017,13,Home,NYG,W,17-24,3,7,39,13,16,1,0,0,0,0,0,1,1
12,2017,14,Away,KC,L,15-26,2,4,18,9,10,0,0,0,0,0,0,1,1
13,2017,15,Home,DAL,L,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,PHI,L,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,LAC,L,10-30,0,1,0,0,0,0,0,0,0,0,0,1,0
0,2018,1,Away,OAK,L,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,DEN,L,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,MIA,L,20-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,OAK,W,42-45,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,LAC,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,OAK,L,27-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,OAK,L,42-28,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,SF,L,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,OAK,L,20-6,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,ARI,W,23-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,BAL,L,17-34,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,OAK,L,40-33,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,OAK,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,CIN,L,16-30,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,OAK,W,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,KC,L,3-35,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,NE,L,3-33,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,L,28-26,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,SF,L,20-24,0,0,0,0,0,0,1,9,9,9,0,0,0
3,2019,4,Home,CIN,W,3-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,BAL,L,26-23,0,1,4,0,4,0,0,0,0,0,0,0,0
5,2019,6,Away,LAC,W,24-17,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2019,8,Home,MIA,W,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,IND,W,24-26,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,LAR,W,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,CLE,L,7-21,1,7,18,18,18,0,0,0,0,0,0,0,0
10,2019,12,Away,CIN,W,16-10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,CLE,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,ARI,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,BUF,L,17-10,2,2,-1,-0.5,1,0,0,0,0,0,0,0,0
14,2019,16,Away,NYJ,L,10-16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,BAL,L,10-28,0,0,0,0,0,0,0,0,0,0,0,0,0
