,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Home,JAC,W,17-34,2,4,37,18.5,30,0,0,0,0,0,0,0,0
1,2014,2,Away,IND,W,30-27,1,4,17,17,17,0,0,0,0,0,0,0,0
2,2014,3,Home,WAS,W,34-37,8,9,59,7.4,13,2,0,0,0,0,0,0,0
3,2014,4,Away,SF,L,21-26,4,7,28,7,11,0,0,0,0,0,0,0,0
4,2014,5,Home,STL,W,28-34,4,7,35,8.8,12,0,0,0,0,0,0,0,0
5,2014,6,Home,NYG,W,0-27,4,6,50,12.5,26,0,0,0,0,0,0,0,0
6,2014,8,Away,ARI,L,20-24,6,11,47,7.8,23,0,0,0,0,0,0,0,0
7,2014,9,Away,HOU,W,31-21,3,4,40,13.3,24,1,0,0,0,0,0,0,0
8,2014,10,Home,CAR,W,21-45,7,9,138,19.7,33,2,0,0,0,0,0,0,0
9,2014,11,Away,GB,L,20-53,5,8,107,21.4,40,1,0,0,0,0,0,0,0
10,2014,12,Home,TEN,W,24-43,6,8,77,12.8,24,0,0,0,0,0,0,0,0
11,2014,13,Away,DAL,W,33-10,4,5,51,12.8,27,1,0,0,0,0,0,0,0
12,2014,14,Home,SEA,L,24-14,2,5,23,11.5,17,0,0,0,0,0,0,0,0
13,2014,15,Home,DAL,L,38-27,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,WAS,L,24-27,3,5,58,19.3,26,0,0,0,0,0,0,0,0
15,2014,17,Away,NYG,W,34-26,8,10,105,13.1,44,1,0,0,0,0,0,0,0
0,2015,1,Away,ATL,L,24-26,10,13,102,10.2,25,0,0,0,0,0,0,0,0
1,2015,2,Home,DAL,L,20-10,6,9,80,13.3,32,1,0,0,0,0,0,0,0
2,2015,3,Away,NYJ,W,24-17,6,8,49,8.2,17,0,0,0,0,0,0,0,0
3,2015,4,Away,WAS,L,20-23,3,8,50,16.7,30,0,0,0,0,0,0,0,0
4,2015,5,Home,NO,W,17-39,5,7,44,8.8,18,0,0,0,0,0,0,0,0
5,2015,6,Home,NYG,W,7-27,6,11,59,9.8,19,0,0,0,0,0,0,1,1
6,2015,7,Away,CAR,L,16-27,3,7,14,4.7,7,0,0,0,0,0,0,0,0
7,2015,9,Away,DAL,W,33-27,9,12,133,14.8,41,1,0,0,0,0,0,0,0
8,2015,10,Home,MIA,L,20-19,3,5,21,7,9,0,0,0,0,0,0,0,0
9,2015,11,Home,TB,L,45-17,4,4,13,3.3,5,0,0,0,0,0,0,0,0
10,2015,12,Away,DET,L,14-45,3,5,60,20,24,1,0,0,0,0,0,0,0
11,2015,13,Away,NE,W,35-28,3,6,36,12,20,1,0,0,0,0,0,1,0
