,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,BUF,W,23-21,7,9,79,11.3,35,2,0,0,0,0,0,0,0
1,2013,2,Home,NYJ,W,10-13,13,18,78,6,10,0,1,4,4,4,0,1,0
2,2013,3,Home,TB,W,3-23,7,7,44,6.3,12,0,0,0,0,0,0,0,0
3,2013,4,Away,ATL,W,30-23,7,9,118,16.9,44,0,0,0,0,0,0,0,0
4,2013,5,Away,CIN,L,6-13,2,7,35,17.5,18,0,1,7,7,7,0,1,0
5,2013,6,Home,NO,W,27-30,5,11,57,11.4,23,0,0,0,0,0,0,1,0
6,2013,7,Away,NYJ,L,27-30,5,7,44,8.8,19,0,0,0,0,0,0,0,0
7,2013,8,Home,MIA,W,17-27,2,2,7,3.5,7,0,0,0,0,0,0,0,0
8,2013,9,Home,PIT,W,31-55,1,4,11,11,11,0,0,0,0,0,0,0,0
9,2013,11,Away,CAR,L,20-24,3,4,27,9,14,0,0,0,0,0,0,0,0
10,2013,12,Home,DEN,W,31-34,9,11,110,12.2,43,2,0,0,0,0,0,2,0
11,2013,13,Away,HOU,W,34-31,9,12,101,11.2,25,0,0,0,0,0,0,0,0
12,2013,14,Home,CLE,W,26-27,6,9,64,10.7,23,1,0,0,0,0,0,0,0
13,2013,15,Away,MIA,L,20-24,13,19,139,10.7,24,1,0,0,0,0,0,0,0
14,2013,16,Away,BAL,W,41-7,7,11,77,11,19,0,0,0,0,0,0,0,0
15,2013,17,Home,BUF,W,20-34,9,11,65,7.2,14,0,0,0,0,0,0,1,0
0,2014,1,Away,MIA,L,20-33,6,8,95,15.8,44,0,2,21,10.5,17,0,1,0
1,2014,2,Away,MIN,W,30-7,6,7,81,13.5,44,1,1,9,9,9,0,1,0
2,2014,3,Home,OAK,W,9-16,10,13,84,8.4,15,0,1,5,5,5,0,0,0
3,2014,4,Away,KC,L,14-41,4,8,23,5.8,7,0,0,0,0,0,0,0,0
4,2014,5,Home,CIN,W,17-43,5,8,35,7,14,0,0,0,0,0,0,0,0
5,2014,6,Away,BUF,W,37-22,9,12,91,10.1,20,0,1,10,10,10,0,0,0
6,2014,7,Home,NYJ,W,25-27,4,9,44,11,16,0,1,8,8,8,0,0,0
7,2014,8,Home,CHI,W,23-51,1,4,14,14,14,0,0,0,0,0,0,0,0
8,2014,9,Home,DEN,W,21-43,9,10,89,9.9,26,1,0,0,0,0,0,0,0
9,2014,11,Away,IND,W,42-20,5,8,50,10,14,0,2,31,15.5,25,0,0,0
10,2014,12,Home,DET,W,9-34,11,15,89,8.1,16,0,0,0,0,0,0,0,0
11,2014,13,Away,GB,L,21-26,7,10,48,6.9,17,0,0,0,0,0,0,0,0
12,2014,14,Away,SD,W,23-14,8,12,141,17.6,69,1,1,4,4,4,0,0,0
13,2014,15,Home,MIA,W,13-41,7,10,88,12.6,31,1,1,6,6,6,0,1,0
14,2014,16,Away,NYJ,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2014,17,Home,BUF,L,17-9,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Home,PIT,W,21-28,11,12,97,8.8,14,0,1,9,9,9,0,0,0
1,2015,2,Away,BUF,W,40-32,11,19,97,8.8,22,2,1,12,12,12,0,0,0
