,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,ATL,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,NYG,W,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,DAL,W,39-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,ATL,W,21-48,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,ATL,W,19-25,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2015,6,Away,NO,L,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2015,7,Away,TEN,W,10-7,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2015,8,Home,TB,L,23-20,2,4,21,10.5,12,0,0,0,0,0,0,0,0
8,2015,9,Away,SF,L,16-17,4,4,17,4.3,8,0,0,0,0,0,0,0,0
9,2015,11,Home,IND,L,24-21,1,2,7,7,7,0,0,0,0,0,0,0,0
10,2015,12,Home,MIN,L,20-10,2,2,21,10.5,11,0,0,0,0,0,0,0,0
11,2015,13,Away,TB,L,19-23,2,3,34,17,23,0,0,0,0,0,0,0,0
12,2015,14,Away,CAR,L,0-38,1,7,9,9,9,0,0,0,0,0,0,0,0
13,2015,15,Away,JAC,W,23-17,3,5,36,12,20,0,0,0,0,0,0,0,0
14,2015,16,Home,CAR,W,13-20,2,3,15,7.5,8,0,0,0,0,0,0,0,0
15,2015,17,Home,NO,L,20-17,4,6,34,8.5,16,0,0,0,0,0,0,0,0
0,2016,1,Home,TB,L,31-24,1,2,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Away,OAK,W,35-28,1,3,8,8,8,1,0,0,0,0,0,0,0
2,2016,3,Away,NO,W,45-32,2,2,26,13,22,1,0,0,0,0,0,0,0
3,2016,4,Home,CAR,W,33-48,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Away,DEN,W,23-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,SEA,L,24-26,3,3,30,10,11,0,0,0,0,0,0,0,0
6,2016,7,Home,SD,L,33-30,2,2,6,3,4,0,0,0,0,0,0,0,0
7,2016,8,Home,GB,W,32-33,1,1,13,13,13,0,0,0,0,0,0,0,0
8,2016,9,Away,TB,W,43-28,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,10,Away,PHI,L,15-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Home,ARI,W,19-38,3,4,47,15.7,27,0,0,0,0,0,0,0,0
11,2016,13,Home,KC,L,29-28,1,3,5,5,5,0,0,0,0,0,0,0,0
12,2016,14,Away,LAR,W,42-14,2,2,9,4.5,6,1,0,0,0,0,0,0,0
13,2016,15,Home,SF,W,13-41,1,2,16,16,16,0,0,0,0,0,0,0,0
14,2016,16,Away,CAR,W,33-16,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,NO,W,32-38,4,7,43,10.8,17,1,0,0,0,0,0,0,0
0,2017,1,Away,CHI,W,23-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,GB,W,23-34,1,2,19,19,19,0,0,0,0,0,0,0,0
2,2017,3,Away,DET,W,30-26,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,BUF,L,23-17,2,6,12,6,9,1,0,0,0,0,0,0,0
4,2017,6,Home,MIA,L,20-17,3,3,34,11.3,22,0,0,0,0,0,0,0,0
5,2017,7,Away,NE,L,7-23,2,2,21,10.5,22,0,0,0,0,0,0,0,0
6,2017,8,Away,NYJ,W,25-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,CAR,L,17-20,2,2,26,13,19,0,0,0,0,0,0,0,0
8,2017,10,Home,DAL,W,7-27,2,2,7,3.5,4,1,0,0,0,0,0,0,0
9,2017,11,Away,SEA,W,34-31,3,4,27,9,11,0,0,0,0,0,0,0,0
10,2017,12,Home,TB,W,20-34,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,MIN,L,14-9,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,NO,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,TB,W,24-21,2,4,33,16.5,27,1,0,0,0,0,0,0,0
14,2017,16,Away,NO,L,13-23,1,1,10,10,10,0,0,0,0,0,0,0,0
15,2017,17,Home,CAR,W,10-22,2,3,32,16,17,0,0,0,0,0,0,1,0
0,2018,1,Away,PHI,L,12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,CAR,W,24-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,NO,L,43-37,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,CIN,L,37-36,1,1,4,4,4,0,0,0,0,0,0,0,0
4,2018,5,Away,PIT,L,17-41,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Home,TB,W,29-34,3,7,33,11,17,0,0,0,0,0,0,1,0
6,2018,7,Home,NYG,W,20-23,2,2,24,12,15,0,0,0,0,0,0,0,0
7,2018,9,Away,WAS,W,38-14,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,CLE,L,16-28,1,1,7,7,7,0,0,0,0,0,0,0,0
9,2018,11,Home,DAL,L,22-19,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,NO,L,17-31,1,2,6,6,6,0,0,0,0,0,0,0,0
11,2018,13,Home,BAL,L,26-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,GB,L,20-34,3,4,30,10,19,1,0,0,0,0,0,0,0
13,2018,15,Home,ARI,W,14-40,3,3,29,9.7,18,1,0,0,0,0,0,0,0
14,2018,16,Away,CAR,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,TB,W,34-32,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,MIN,L,12-28,4,5,41,10.3,23,0,0,0,0,0,0,0,0
1,2019,2,Home,PHI,W,20-24,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,IND,L,24-27,1,1,6,6,6,0,0,0,0,0,0,0,0
3,2019,4,Home,TEN,L,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,HOU,L,32-53,1,1,5,5,5,0,0,0,0,0,0,0,0
5,2019,6,Away,ARI,L,33-34,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Home,LAR,L,37-10,2,2,19,9.5,15,0,0,0,0,0,0,0,0
7,2019,8,Home,SEA,L,27-20,2,4,23,11.5,15,0,0,0,0,0,0,0,0
8,2019,10,Away,NO,W,26-9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,CAR,W,29-3,2,4,14,7,13,0,0,0,0,0,0,0,0
10,2019,12,Home,TB,L,35-22,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,NO,L,26-18,3,3,28,9.3,13,0,0,0,0,0,0,0,0
12,2019,14,Home,CAR,W,20-40,1,1,19,19,19,0,0,0,0,0,0,0,0
13,2019,15,Away,SF,W,29-22,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,JAC,W,12-24,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,TB,W,28-22,3,3,40,13.3,21,0,0,0,0,0,0,0,0
