,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,DEN,W,20-21,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,DEN,W,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,CIN,W,29-17,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,TB,W,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,DEN,L,23-16,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,SD,L,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,DEN,W,9-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,DEN,W,19-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,OAK,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,10,Away,NO,W,25-23,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,DEN,L,30-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,JAC,W,20-10,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Away,TEN,L,10-13,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,DEN,L,16-3,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,KC,L,10-33,0,1,0,0,0,0,0,0,0,0,0,2,1
15,2016,17,Home,OAK,W,6-24,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,BUF,W,12-21,0,0,0,0,0,0,0,0,0,0,0,2,0
1,2017,2,Away,OAK,W,20-45,0,0,0,0,0,0,0,0,0,0,0,1,1
2,2017,11,Home,KC,W,9-12,1,1,12,12,12,0,1,-1,-1,-1,0,1,0
3,2017,12,Away,WAS,W,10-20,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,13,Away,OAK,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,14,Home,DAL,W,30-10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,15,Home,PHI,W,34-29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,17,Home,WAS,W,10-18,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2019,1,Away,CLE,W,43-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,IND,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,JAC,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,ATL,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,BUF,L,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,DEN,L,0-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,LAC,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,TB,W,23-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Away,CAR,L,20-30,2,3,19,9.5,14,0,0,0,0,0,0,0,0
9,2019,10,Home,KC,W,32-35,1,1,52,52,52,0,0,0,0,0,0,0,0
10,2019,12,Home,JAC,W,20-42,1,1,14,14,14,0,1,-5,-5,-5,0,0,0
11,2019,13,Away,IND,W,31-17,1,1,40,40,40,1,0,0,0,0,0,0,0
12,2019,14,Away,OAK,W,42-21,1,2,11,11,11,0,0,0,0,0,0,0,0
13,2019,15,Home,HOU,L,24-21,1,2,2,2,2,0,0,0,0,0,0,0,0
14,2019,16,Home,NO,L,38-28,2,2,32,16,23,0,0,0,0,0,0,1,1
15,2019,17,Away,HOU,W,35-14,-,-,-,-,-,-,-,-,-,-,-,-,-
