,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,DET,T,27-27,5,10,46,9.2,15,0,0,0,0,0,0,0,0
1,2019,2,Away,BAL,L,17-23,1,2,31,31,31,0,0,0,0,0,0,0,0
2,2019,3,Home,CAR,L,38-20,3,4,13,4.3,5,0,0,0,0,0,0,0,0
3,2019,4,Home,SEA,L,27-10,2,3,19,9.5,11,0,0,0,0,0,0,0,0
4,2019,5,Away,CIN,W,26-23,3,7,22,7.3,9,0,1,3,3,3,0,0,0
5,2019,6,Home,ATL,W,33-34,2,5,14,7,7,0,0,0,0,0,0,0,0
6,2019,7,Away,NYG,W,27-21,1,2,6,6,6,0,0,0,0,0,0,0,0
7,2019,8,Away,NO,L,9-31,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,SF,L,28-25,2,3,22,11,13,1,0,0,0,0,0,0,0
9,2019,10,Away,TB,L,27-30,0,4,0,0,0,0,0,0,0,0,0,0,0
10,2019,11,Away,SF,L,26-36,2,2,14,7,9,0,0,0,0,0,0,1,1
11,2019,13,Home,LAR,L,34-7,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,PIT,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,CLE,W,24-38,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,SEA,W,27-13,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,LAR,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-
