,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,HOU,W,29-7,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,TEN,L,37-16,2,3,13,6.5,11,0,0,0,0,0,0,1,0
2,2017,3,Home,BAL,W,7-44,1,4,13,13,13,0,0,0,0,0,0,0,0
3,2017,4,Away,NYJ,L,20-23,1,6,10,10,10,0,0,0,0,0,0,0,0
4,2017,5,Away,PIT,W,30-9,1,1,4,4,4,0,0,0,0,0,0,0,0
5,2017,6,Home,LAR,L,27-17,1,2,7,7,7,0,0,0,0,0,0,0,0
6,2017,7,Away,IND,W,27-0,2,3,64,32,52,0,0,0,0,0,0,0,0
7,2017,9,Home,CIN,W,7-23,3,5,47,15.7,28,0,0,0,0,0,0,0,0
8,2017,10,Home,LAC,W,17-20,3,8,61,20.3,36,0,0,0,0,0,0,0,0
9,2017,11,Away,CLE,W,19-7,3,6,24,8,11,0,0,0,0,0,0,0,0
10,2017,12,Away,ARI,L,24-27,2,7,30,15,24,0,0,0,0,0,0,0,0
11,2017,13,Home,IND,W,10-30,3,3,49,16.3,32,1,0,0,0,0,0,0,0
12,2017,14,Home,SEA,W,24-30,3,3,99,33,75,1,0,0,0,0,0,0,0
13,2017,15,Home,HOU,W,7-45,7,9,186,26.6,73,1,0,0,0,0,0,0,0
14,2017,16,Away,SF,L,33-44,6,13,108,18,32,0,0,0,0,0,0,0,0
15,2017,17,Away,TEN,L,10-15,4,8,33,8.3,15,0,0,0,0,0,0,1,1
0,2018,1,Away,NYG,W,20-15,3,4,54,18,31,0,0,0,0,0,0,0,0
1,2018,2,Home,NE,W,20-31,7,8,116,16.6,24,1,0,0,0,0,0,0,0
2,2018,3,Home,TEN,L,9-6,5,9,40,8,11,0,0,0,0,0,0,0,0
3,2018,4,Home,NYJ,W,12-31,2,3,15,7.5,9,0,0,0,0,0,0,0,0
4,2018,5,Away,KC,L,14-30,4,10,70,17.5,32,0,0,0,0,0,0,0,0
5,2018,6,Away,DAL,L,7-40,4,5,41,10.3,17,0,0,0,0,0,0,1,1
6,2018,7,Home,HOU,L,20-7,2,7,21,10.5,13,0,0,0,0,0,0,0,0
7,2018,8,Home,PHI,L,24-18,2,3,18,9,13,0,0,0,0,0,0,1,1
8,2018,10,Away,IND,L,26-29,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2018,11,Home,PIT,L,20-16,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Away,BUF,L,21-24,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,IND,W,0-6,2,2,16,8,11,0,0,0,0,0,0,0,0
12,2018,14,Away,TEN,L,9-30,3,7,55,18.3,35,0,0,0,0,0,0,0,0
13,2018,15,Home,WAS,L,16-13,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Away,MIA,W,17-7,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,HOU,L,3-20,4,8,45,11.3,19,0,0,0,0,0,0,0,0
0,2019,1,Home,KC,L,40-26,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,HOU,L,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,TEN,W,7-20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,DEN,W,26-24,1,1,19,19,19,0,0,0,0,0,0,0,0
4,2019,5,Away,CAR,L,27-34,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,NO,L,13-6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,CIN,W,27-17,1,2,2,2,2,1,0,0,0,0,0,0,0
7,2019,8,Home,NYJ,W,15-29,2,2,12,6,6,1,0,0,0,0,0,0,0
8,2019,9,Home,HOU,L,26-3,5,6,80,16,31,0,0,0,0,0,0,0,0
9,2019,11,Away,IND,L,13-33,4,5,41,10.3,14,0,0,0,0,0,0,0,0
10,2019,12,Away,TEN,L,20-42,2,2,18,9,14,0,0,0,0,0,0,0,0
11,2019,13,Home,TB,L,28-11,1,2,11,11,11,0,0,0,0,0,0,0,0
12,2019,14,Home,LAC,L,45-10,1,3,12,12,12,0,0,0,0,0,0,0,0
13,2019,15,Away,OAK,W,20-16,3,6,76,25.3,55,0,0,0,0,0,0,0,0
14,2019,16,Away,ATL,L,12-24,1,2,23,23,23,0,1,6,6,6,0,0,0
15,2019,17,Home,IND,W,20-38,3,4,67,22.3,45,1,0,0,0,0,0,0,0
