,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,DEN,L,21-24,5,10,35,7,9,1,0,0,0,0,0,0,0
1,2017,2,Home,MIA,L,19-17,9,10,100,11.1,24,0,0,0,0,0,0,0,0
2,2017,3,Home,KC,L,24-10,5,9,61,12.2,17,0,0,0,0,0,0,0,0
3,2017,4,Home,PHI,L,26-24,5,11,138,27.6,50,0,0,0,0,0,0,0,0
4,2017,5,Away,NYG,W,27-22,4,12,67,16.8,18,0,0,0,0,0,0,0,0
5,2017,6,Away,OAK,W,17-16,5,9,45,9,28,0,0,0,0,0,0,0,0
6,2017,7,Home,DEN,W,0-21,3,7,41,13.7,19,0,0,0,0,0,0,0,0
7,2017,8,Away,NE,L,13-21,4,5,61,15.3,18,0,0,0,0,0,0,0,0
8,2017,10,Away,JAC,L,17-20,4,7,48,12,19,0,1,6,6,6,0,0,0
9,2017,11,Home,BUF,W,24-54,12,13,159,13.3,29,2,1,3,3,3,0,0,0
10,2017,12,Away,DAL,W,28-6,11,14,172,15.6,42,1,0,0,0,0,0,0,0
11,2017,13,Home,CLE,W,10-19,10,14,105,10.5,26,1,0,0,0,0,0,1,0
12,2017,14,Home,WAS,W,13-30,6,8,111,18.5,51,0,0,0,0,0,0,0,0
13,2017,15,Away,KC,L,13-30,5,8,54,10.8,15,0,0,0,0,0,0,0,0
14,2017,16,Away,NYJ,W,14-7,5,10,63,12.6,20,0,0,0,0,0,0,0,0
15,2017,17,Home,OAK,W,10-30,9,12,133,14.8,28,1,0,0,0,0,0,0,0
0,2018,1,Home,KC,L,38-28,8,11,108,13.5,23,1,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,6,8,67,11.2,16,0,0,0,0,0,0,0,0
2,2018,3,Away,LAR,L,23-35,3,7,44,14.7,25,0,0,0,0,0,0,1,1
3,2018,4,Home,SF,W,27-29,7,10,63,9,18,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,8,9,90,11.3,19,0,1,5,5,5,0,0,0
5,2018,6,Away,CLE,W,38-14,4,6,62,15.5,20,0,4,41,10.3,20,0,2,0
6,2018,7,Home,TEN,W,19-20,5,5,72,14.4,24,0,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,6,10,124,20.7,54,0,2,28,14,28,0,0,0
8,2018,10,Away,OAK,W,20-6,6,9,57,9.5,18,1,0,0,0,0,0,0,0
9,2018,11,Home,DEN,L,23-22,9,12,89,9.9,27,1,1,1,1,1,0,0,0
10,2018,12,Home,ARI,W,10-45,7,7,72,10.3,20,1,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,14,19,148,10.6,21,1,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,5,9,78,15.6,37,1,1,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,BAL,L,22-10,5,8,58,11.6,17,0,0,0,0,0,0,0,0
15,2018,17,Away,DEN,W,23-9,4,7,64,16,21,0,0,0,0,0,0,0,0
0,2019,1,Home,IND,W,24-30,8,10,123,15.4,28,1,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,8,15,98,12.3,23,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,L,27-20,13,17,183,14.1,34,2,1,3,3,3,0,0,0
3,2019,4,Away,MIA,W,30-10,5,5,48,9.6,20,0,0,0,0,0,0,0,0
4,2019,5,Home,DEN,L,20-13,4,6,18,4.5,10,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,2,6,33,16.5,19,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,4,11,61,15.3,17,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,7,10,53,7.6,17,0,0,0,0,0,0,0,0
8,2019,9,Home,GB,W,11-26,3,4,40,13.3,20,0,0,0,0,0,0,0,0
9,2019,10,Away,OAK,L,24-26,8,11,68,8.5,26,0,1,18,18,18,0,0,0
10,2019,11,Home,KC,L,24-17,8,12,71,8.9,30,1,0,0,0,0,0,0,0
11,2019,13,Away,DEN,L,20-23,6,6,68,11.3,36,1,0,0,0,0,0,0,0
12,2019,14,Away,JAC,W,45-10,5,6,83,16.6,45,0,0,0,0,0,0,0,0
13,2019,15,Home,MIN,L,39-10,9,10,99,11,19,0,0,0,0,0,0,0,0
14,2019,16,Home,OAK,L,24-17,5,10,71,14.2,20,0,1,-5,-5,-5,0,0,0
15,2019,17,Away,KC,L,21-31,9,10,82,9.1,13,1,0,0,0,0,0,0,0
