,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,PHI,L,27-32,2,2,31,15.5,21,0,0,0,0,0,0,0,0
1,2019,2,Home,DAL,L,31-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,CHI,L,31-15,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,NYG,L,3-24,2,2,14,7,9,0,0,0,0,0,0,0,0
4,2019,5,Home,NE,L,33-7,1,1,4,4,4,0,0,0,0,0,0,0,0
5,2019,6,Away,MIA,W,17-16,1,1,8,8,8,0,0,0,0,0,0,0,0
6,2019,7,Home,SF,L,9-0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,MIN,L,9-19,1,1,12,12,12,0,0,0,0,0,0,0,0
8,2019,9,Away,BUF,L,9-24,1,2,6,6,6,0,0,0,0,0,0,0,0
9,2019,11,Home,NYJ,L,34-17,5,6,53,10.6,24,0,0,0,0,0,0,0,0
10,2019,12,Home,DET,W,16-19,3,6,43,14.3,26,0,0,0,0,0,0,0,0
11,2019,13,Away,CAR,W,29-21,3,5,51,17,26,0,0,0,0,0,0,0,0
12,2019,14,Away,GB,L,15-20,1,4,30,30,30,0,0,0,0,0,0,0,0
13,2019,15,Home,PHI,L,37-27,2,3,22,11,17,0,0,0,0,0,0,0,0
14,2019,16,Home,NYG,L,41-35,5,6,58,11.6,22,0,0,0,0,0,0,0,0
15,2019,17,Away,DAL,L,16-47,3,5,33,11,25,0,0,0,0,0,0,0,0
