,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,ARI,W,23-35,4,7,69,17.3,45,2,0,0,0,0,0,0,0
1,2017,2,Away,NYG,W,24-10,1,3,8,8,8,0,0,0,0,0,0,0,0
2,2017,3,Home,ATL,L,30-26,2,5,25,12.5,13,0,0,0,0,0,0,0,0
3,2017,4,Away,MIN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Home,CAR,L,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,NO,L,38-52,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Home,PIT,L,20-15,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,GB,W,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,CLE,W,24-38,2,3,64,32,50,0,0,0,0,0,0,0,0
9,2017,11,Away,CHI,W,27-24,2,3,52,26,40,0,0,0,0,0,0,0,0
10,2017,12,Home,MIN,L,30-23,2,4,61,30.5,41,0,0,0,0,0,0,0,0
11,2017,13,Away,BAL,L,20-44,2,3,44,22,31,0,0,0,0,0,0,0,0
12,2017,14,Away,TB,W,24-21,3,4,17,5.7,7,0,1,9,9,9,0,0,0
13,2017,15,Home,CHI,W,10-20,4,5,29,7.3,14,0,0,0,0,0,0,0,0
14,2017,16,Away,CIN,L,17-26,4,8,28,7,14,0,0,0,0,0,0,0,0
15,2017,17,Home,GB,W,11-35,2,3,80,40,54,1,0,0,0,0,0,0,0
0,2018,1,Home,NYJ,L,48-17,7,12,114,16.3,26,0,0,0,0,0,0,0,0
1,2018,2,Away,SF,L,27-30,6,9,89,14.8,30,1,0,0,0,0,0,0,0
2,2018,3,Home,NE,W,10-26,6,7,53,8.8,16,1,0,0,0,0,0,0,0
3,2018,4,Away,DAL,L,24-26,4,4,74,18.5,22,0,0,0,0,0,0,0,0
4,2018,5,Home,GB,W,23-31,4,9,98,24.5,60,1,0,0,0,0,0,0,0
5,2018,7,Away,MIA,W,32-21,2,2,37,18.5,22,0,0,0,0,0,0,0,0
6,2018,8,Home,SEA,L,28-14,1,1,12,12,12,0,0,0,0,0,0,0,0
7,2018,9,Away,MIN,L,9-24,3,4,46,15.3,18,0,1,8,8,8,0,0,0
8,2018,10,Away,CHI,L,22-34,6,13,78,13,25,1,0,0,0,0,0,1,0
9,2018,11,Home,CAR,W,19-20,8,14,113,14.1,36,1,0,0,0,0,0,0,0
10,2018,12,Home,CHI,L,23-16,5,8,90,18,43,0,0,0,0,0,0,0,0
11,2018,13,Home,LAR,L,30-16,3,8,50,16.7,24,0,0,0,0,0,0,0,0
12,2018,14,Away,ARI,W,17-3,2,4,5,2.5,3,0,0,0,0,0,0,0,0
13,2018,15,Away,BUF,L,13-14,7,8,146,20.9,40,0,0,0,0,0,0,0,0
14,2018,16,Home,MIN,L,27-9,6,15,58,9.7,21,0,0,0,0,0,0,0,0
15,2018,17,Away,GB,W,31-0,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,ARI,T,27-27,4,9,42,10.5,13,1,0,0,0,0,0,0,0
1,2019,2,Home,LAC,W,10-13,8,10,117,14.6,31,1,0,0,0,0,0,0,0
2,2019,3,Away,PHI,W,27-24,2,8,17,8.5,10,0,0,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,5,9,67,13.4,33,2,0,0,0,0,0,0,0
4,2019,6,Away,GB,L,22-23,5,9,121,24.2,66,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,1,2,21,21,21,0,0,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,6,8,123,20.5,41,2,0,0,0,0,0,1,1
7,2019,9,Away,OAK,L,24-31,4,7,132,33,59,1,0,0,0,0,0,0,0
8,2019,10,Away,CHI,L,13-20,3,9,57,19,47,1,0,0,0,0,0,0,0
9,2019,11,Home,DAL,L,35-27,1,5,34,34,34,0,0,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,4,4,61,15.3,34,0,0,0,0,0,0,0,0
11,2019,13,Home,CHI,L,24-20,4,5,158,39.5,75,1,0,0,0,0,0,0,0
12,2019,14,Away,MIN,L,7-20,6,8,58,9.7,18,1,0,0,0,0,0,0,0
13,2019,15,Home,TB,L,38-17,3,7,44,14.7,26,0,0,0,0,0,0,0,0
14,2019,16,Away,DEN,L,17-27,6,12,66,11,35,1,0,0,0,0,0,0,0
15,2019,17,Home,GB,L,23-20,3,4,72,24,42,0,0,0,0,0,0,0,0
