,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,ATL,W,17-23,2,5,86,43,67,0,0,0,0,0,0,0,0
1,2013,2,Away,TB,W,16-14,1,1,10,10,10,0,0,0,0,0,0,0,0
2,2013,3,Home,ARI,W,7-31,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Home,MIA,W,17-38,4,6,38,9.5,18,0,0,0,0,0,0,0,0
4,2013,5,Away,CHI,W,26-18,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Away,NE,L,27-30,3,3,64,21.3,34,1,0,0,0,0,0,0,0
6,2013,8,Home,BUF,W,17-35,3,4,129,43,69,2,1,4,4,4,0,0,0
7,2013,9,Away,NYJ,L,20-26,3,5,35,11.7,19,0,0,0,0,0,0,0,0
8,2013,10,Home,DAL,W,17-49,3,4,75,25,52,1,0,0,0,0,0,0,0
9,2013,11,Home,SF,W,20-23,1,2,11,11,11,0,0,0,0,0,0,0,0
10,2013,12,Away,ATL,W,17-13,2,3,22,11,16,0,0,0,0,0,0,0,0
11,2013,13,Away,SEA,L,7-34,1,2,3,3,3,0,0,0,0,0,0,0,0
12,2013,14,Home,CAR,W,13-31,2,2,22,11,14,0,0,0,0,0,0,0,0
13,2013,15,Away,STL,L,16-27,4,4,47,11.8,20,0,1,3,3,3,0,0,0
14,2013,16,Away,CAR,L,13-17,2,4,23,11.5,19,0,1,3,3,3,0,0,0
15,2013,17,Home,TB,W,17-42,1,1,76,76,76,1,0,0,0,0,0,0,0
0,2014,1,Away,ATL,L,34-37,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,CLE,L,24-26,3,4,25,8.3,14,0,0,0,0,0,0,0,0
2,2014,3,Home,MIN,W,9-20,4,5,38,9.5,15,0,0,0,0,0,0,0,0
3,2014,4,Away,DAL,L,17-38,2,3,62,31,46,0,0,0,0,0,0,0,0
4,2014,5,Home,TB,W,31-37,1,3,16,16,16,0,0,0,0,0,0,0,0
5,2014,7,Away,DET,L,23-24,5,5,103,20.6,46,1,0,0,0,0,0,0,0
6,2014,8,Home,GB,W,23-44,4,4,57,14.3,45,0,0,0,0,0,0,0,0
7,2014,9,Away,CAR,W,28-10,5,8,72,14.4,18,0,0,0,0,0,0,1,0
8,2014,10,Home,SF,L,27-24,3,6,26,8.7,16,0,0,0,0,0,0,0,0
9,2014,11,Home,CIN,L,27-10,4,4,32,8,16,1,0,0,0,0,0,0,0
10,2014,12,Home,BAL,L,34-27,8,9,98,12.3,33,0,1,-2,-2,-2,0,0,0
11,2014,13,Away,PIT,W,35-32,5,6,162,32.4,69,1,0,0,0,0,0,0,0
12,2014,14,Home,CAR,L,41-10,3,4,23,7.7,14,0,0,0,0,0,0,0,0
13,2014,15,Away,CHI,W,31-15,5,7,67,13.4,21,0,0,0,0,0,0,0,0
14,2014,16,Home,ATL,L,30-14,6,8,68,11.3,22,0,0,0,0,0,0,0,0
15,2014,17,Away,TB,W,23-20,5,8,82,16.4,44,0,0,0,0,0,0,0,0
0,2015,1,Away,WAS,W,17-10,1,3,12,12,12,0,0,0,0,0,0,0,0
1,2015,2,Away,JAC,L,20-23,2,4,8,4,8,0,0,0,0,0,0,0,0
2,2015,3,Home,BUF,L,41-14,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Home,NYJ,L,27-14,5,8,81,16.2,42,1,0,0,0,0,0,0,0
4,2015,6,Away,TEN,W,38-10,2,2,46,23,38,0,0,0,0,0,0,0,0
5,2015,7,Home,HOU,W,26-44,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,8,Away,NE,L,7-36,3,7,58,19.3,25,0,0,0,0,0,0,0,0
7,2015,9,Away,BUF,L,17-33,3,5,74,24.7,46,0,0,0,0,0,0,0,0
8,2015,10,Away,PHI,W,20-19,0,4,0,0,0,0,0,0,0,0,0,0,0
9,2015,11,Home,DAL,L,24-14,2,2,52,26,29,1,0,0,0,0,0,0,0
10,2015,12,Away,NYJ,L,20-38,2,10,12,6,7,0,0,0,0,0,0,0,0
11,2015,13,Home,BAL,W,13-15,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,NYG,L,31-24,2,3,49,24.5,47,1,0,0,0,0,0,0,0
13,2015,15,Away,SD,L,14-30,1,6,23,23,23,0,0,0,0,0,0,0,0
14,2015,16,Home,IND,L,18-12,3,3,14,4.7,9,0,0,0,0,0,0,0,0
15,2015,17,Home,NE,W,10-20,1,4,11,11,11,0,0,0,0,0,0,0,0
