,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,STL,L,24-27,8,14,80,10,24,2,0,0,0,0,0,0,0
1,2013,2,Home,DET,W,21-25,2,5,33,16.5,22,0,0,0,0,0,0,0,0
2,2013,3,Away,NO,L,7-31,5,6,64,12.8,26,0,0,0,0,0,0,0,0
3,2013,4,Away,TB,W,13-10,6,9,68,11.3,21,1,0,0,0,0,0,0,0
4,2013,5,Home,CAR,W,6-22,3,6,43,14.3,19,0,0,0,0,0,0,0,0
5,2013,6,Away,SF,L,20-32,6,12,117,19.5,75,1,1,4,4,4,0,1,1
6,2013,7,Home,SEA,L,34-22,2,5,17,8.5,12,0,0,0,0,0,0,0,0
7,2013,8,Home,ATL,W,13-27,4,7,48,12,20,1,0,0,0,0,0,0,0
8,2013,10,Home,HOU,W,24-27,3,5,23,7.7,11,0,0,0,0,0,0,0,0
9,2013,11,Away,JAC,W,27-14,6,9,61,10.2,17,1,0,0,0,0,0,0,0
10,2013,12,Home,IND,W,11-40,5,11,52,10.4,26,2,1,4,4,4,0,0,0
11,2013,13,Away,PHI,L,21-24,5,8,72,14.4,43,1,0,0,0,0,0,0,0
12,2013,14,Home,STL,W,10-30,12,12,96,8,19,1,0,0,0,0,0,0,0
13,2013,15,Away,TEN,W,37-34,6,9,49,8.2,18,0,0,0,0,0,0,0,0
14,2013,16,Away,SEA,W,17-10,3,5,18,6,8,0,0,0,0,0,0,0,0
15,2013,17,Home,SF,L,23-20,6,11,113,18.8,49,0,0,0,0,0,0,0,0
0,2014,1,Home,SD,W,17-18,1,4,22,22,22,0,0,0,0,0,0,0,0
1,2014,2,Away,NYG,W,25-14,6,10,51,8.5,17,0,0,0,0,0,0,0,0
2,2014,3,Home,SF,W,14-23,3,7,34,11.3,24,0,0,0,0,0,0,1,1
3,2014,5,Away,DEN,L,20-41,3,7,57,19,33,0,0,0,0,0,0,0,0
4,2014,6,Home,WAS,W,20-30,6,6,98,16.3,24,1,0,0,0,0,0,0,0
5,2014,7,Away,OAK,W,24-13,4,5,21,5.3,7,0,0,0,0,0,0,0,0
