,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,WAS,W,30-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,KC,L,20-27,3,3,32,10.7,13,0,0,0,0,0,0,0,0
2,2017,3,Home,NYG,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,LAC,W,26-24,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,ARI,W,7-34,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,CAR,W,28-23,2,2,38,19,20,0,0,0,0,0,0,0,0
6,2017,7,Home,WAS,W,24-34,1,1,64,64,64,1,0,0,0,0,0,0,0
7,2017,8,Home,SF,W,10-33,2,3,30,15,24,0,0,0,0,0,0,0,0
8,2017,9,Home,DEN,W,23-51,1,1,8,8,8,0,0,0,0,0,0,0,0
9,2017,11,Away,DAL,W,37-9,1,1,7,7,7,0,0,0,0,0,0,0,0
10,2017,12,Home,CHI,W,3-31,2,2,12,6,8,0,0,0,0,0,0,0,0
11,2017,13,Away,SEA,L,10-24,1,1,10,10,10,0,0,0,0,0,0,0,0
12,2017,14,Away,LAR,W,43-35,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,NYG,W,34-29,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,OAK,W,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,DAL,L,6-0,3,5,25,8.3,12,0,0,0,0,0,0,0,0
0,2019,1,Home,WAS,W,27-32,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,ATL,W,20-24,5,8,50,10,17,0,0,0,0,0,0,0,0
2,2019,3,Home,DET,W,27-24,4,7,62,15.5,20,0,0,0,0,0,0,0,0
3,2019,4,Away,GB,W,34-27,1,2,13,13,13,0,0,0,0,0,0,0,0
4,2019,5,Home,NYJ,W,6-31,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,MIN,W,20-38,0,2,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,DAL,W,10-37,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2019,8,Away,BUF,W,31-13,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Home,CHI,W,14-22,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,NE,W,17-10,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,SEA,W,17-9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,MIA,W,31-37,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,NYJ,W,21-22,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,NYG,W,20-36,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,CIN,W,35-38,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,NE,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
