,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,OAK,L,33-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,DEN,L,19-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,MIA,L,20-28,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,OAK,W,42-45,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,LAC,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,OAK,L,27-3,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,8,Away,OAK,L,42-28,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,SF,L,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,OAK,L,20-6,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,ARI,W,23-21,4,5,50,12.5,32,0,0,0,0,0,0,0,0
10,2018,12,Away,BAL,L,17-34,3,10,16,5.3,11,0,0,0,0,0,0,0,0
11,2018,13,Home,KC,L,40-33,2,4,16,8,9,1,0,0,0,0,0,0,0
12,2018,14,Home,PIT,W,21-24,3,4,45,15,28,0,0,0,0,0,0,0,0
13,2018,15,Away,CIN,L,16-30,2,5,20,10,12,0,0,0,0,0,0,0,0
14,2018,16,Home,DEN,W,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,KC,L,3-35,1,3,7,7,7,0,0,0,0,0,0,0,0
0,2019,1,Home,DEN,W,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,OAK,L,28-10,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,MIN,L,14-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,IND,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,OAK,W,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,GB,L,24-42,1,1,36,36,36,0,0,0,0,0,0,0,0
6,2019,8,Away,HOU,L,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Home,DET,W,24-31,1,1,34,34,34,0,0,0,0,0,0,0,0
8,2019,10,Home,LAC,W,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,CIN,W,10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,NYJ,L,3-34,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,KC,L,9-40,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,TEN,L,42-21,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,JAC,L,20-16,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,LAC,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,DEN,L,15-16,3,7,46,15.3,20,0,0,0,0,0,0,1,1
