,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,WAS,W,30-17,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,KC,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,NYG,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Away,LAC,W,26-24,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,ARI,W,7-34,1,1,6,6,6,0,0,0,0,0,0,0,0
5,2017,6,Away,CAR,W,28-23,1,1,16,16,16,0,0,0,0,0,0,0,0
6,2017,7,Home,WAS,W,24-34,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,SF,W,10-33,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,9,Home,DEN,W,23-51,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,DAL,W,37-9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,PHI,W,3-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,SEA,L,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,LAR,W,43-35,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,NYG,W,34-29,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,PHI,W,10-19,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Home,DAL,L,6-0,3,3,23,7.7,16,0,0,0,0,0,0,1,1
0,2018,1,Away,IND,L,34-23,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,WAS,W,21-9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Away,PHI,L,16-20,0,0,0,0,0,0,1,-2,-2,-2,0,0,0
3,2018,4,Home,HOU,L,37-34,2,3,24,12,16,0,0,0,0,0,0,0,0
4,2018,5,Away,NE,L,24-38,2,2,26,13,17,0,0,0,0,0,0,0,0
5,2018,6,Away,NYJ,L,34-42,2,3,52,26,34,1,0,0,0,0,0,0,0
6,2018,7,Away,IND,W,5-37,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,OAK,W,42-28,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,IND,W,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,IND,W,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,IND,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,JAC,L,0-6,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,HOU,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,IND,W,0-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,IND,W,27-28,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,TEN,W,33-17,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,LAC,L,24-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,TEN,W,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,IND,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,IND,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,KC,W,19-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Away,IND,W,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,IND,W,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,PIT,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Home,MIA,L,16-12,1,3,9,9,9,0,0,0,0,0,0,0,0
9,2019,11,Home,JAC,W,13-33,4,4,38,9.5,17,1,0,0,0,0,0,0,0
10,2019,12,Away,HOU,L,17-20,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,TEN,L,31-17,4,6,55,13.8,19,0,0,0,0,0,0,0,0
12,2019,14,Away,TB,L,35-38,3,7,105,35,50,1,0,0,0,0,0,0,0
13,2019,15,Away,NO,L,7-34,2,4,37,18.5,20,0,0,0,0,0,0,0,0
14,2019,16,Home,CAR,W,6-38,1,4,2,2,2,0,0,0,0,0,0,0,0
15,2019,17,Away,JAC,L,20-38,2,4,31,15.5,16,0,0,0,0,0,0,0,0
