,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,CHI,W,23-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,MIN,T,29-29,1,1,3,3,3,0,0,0,0,0,0,0,0
2,2018,3,Away,WAS,L,17-31,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,BUF,W,0-22,1,3,38,38,38,0,0,0,0,0,0,0,0
4,2018,5,Away,DET,L,23-31,7,10,68,9.7,14,1,0,0,0,0,0,0,0
5,2018,6,Home,SF,W,30-33,3,6,103,34.3,60,0,0,0,0,0,0,0,0
6,2018,8,Away,LAR,L,27-29,2,5,45,22.5,40,1,0,0,0,0,0,0,0
7,2018,9,Away,NE,L,17-31,3,6,101,33.7,51,0,0,0,0,0,0,0,0
8,2018,10,Home,MIA,W,12-31,6,7,44,7.3,11,0,0,0,0,0,0,0,0
9,2018,11,Away,SEA,L,24-27,1,3,8,8,8,0,0,0,0,0,0,0,0
10,2018,12,Away,MIN,L,17-24,1,2,3,3,3,0,0,0,0,0,0,0,0
11,2018,13,Home,ARI,L,20-17,2,7,19,9.5,11,0,2,29,14.5,21,0,0,0
12,2018,14,Home,ATL,W,20-34,2,2,19,9.5,14,0,0,0,0,0,0,0,0
13,2018,15,Away,CHI,L,17-24,1,2,12,12,12,0,0,0,0,0,0,0,0
14,2018,16,Away,NYJ,W,44-38,5,9,75,15,42,0,0,0,0,0,0,0,0
15,2018,17,Home,DET,L,31-0,3,8,43,14.3,19,0,0,0,0,0,0,0,0
0,2019,1,Away,CHI,W,10-3,4,6,52,13,47,0,1,0,0,0,0,0,0
1,2019,2,Home,MIN,W,16-21,3,5,19,6.3,14,0,0,0,0,0,0,0,0
2,2019,3,Home,DEN,W,16-27,6,10,99,16.5,40,1,0,0,0,0,0,0,0
3,2019,4,Home,PHI,L,34-27,3,7,47,15.7,26,0,0,0,0,0,0,0,0
4,2019,5,Away,DAL,W,34-24,1,4,18,18,18,0,0,0,0,0,0,0,0
5,2019,6,Home,DET,W,22-23,2,2,48,24,46,0,1,9,9,9,0,0,0
6,2019,7,Home,OAK,W,24-42,2,3,133,66.5,74,1,0,0,0,0,0,0,0
7,2019,8,Away,KC,W,31-24,1,2,4,4,4,0,0,0,0,0,0,0,0
8,2019,9,Away,LAC,L,11-26,0,2,0,0,0,0,0,0,0,0,0,0,0
9,2019,10,Home,CAR,W,16-24,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,SF,L,8-37,1,3,7,7,7,0,0,0,0,0,0,0,0
11,2019,13,Away,NYG,W,31-13,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,WAS,W,15-20,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,CHI,W,13-21,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,MIN,W,23-10,1,1,6,6,6,0,0,0,0,0,0,0,0
15,2019,17,Away,DET,W,23-20,2,7,19,9.5,11,0,0,0,0,0,0,0,0
