,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,NE,L,23-21,1,1,0,0,0,0,0,0,0,0,0,1,1
1,2013,2,Away,BUF,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,NYJ,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,BUF,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,CLE,L,24-37,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Home,CIN,L,27-24,2,3,51,25.5,40,1,1,-1,-1,-1,0,0,0
6,2013,7,Away,MIA,W,23-21,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Away,NO,L,17-35,3,5,56,18.7,26,0,0,0,0,0,0,0,0
8,2013,9,Home,KC,L,23-13,2,4,64,32,59,1,0,0,0,0,0,0,0
9,2013,10,Away,PIT,L,10-23,2,4,9,4.5,7,0,0,0,0,0,0,0,0
10,2013,11,Home,NYJ,W,14-37,6,9,81,13.5,43,1,1,17,17,17,0,0,0
11,2013,13,Home,ATL,L,34-31,0,4,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Away,TB,L,6-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Away,JAC,W,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Home,MIA,W,0-19,0,1,0,0,0,0,1,-3,-3,-3,0,0,0
15,2013,17,Away,NE,L,20-34,1,1,22,22,22,0,0,0,0,0,0,0,0
0,2014,1,Away,CHI,W,23-20,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,MIA,W,10-29,0,0,0,0,0,0,1,4,4,4,0,0,0
2,2014,3,Home,SD,L,22-10,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,HOU,L,17-23,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Away,DET,W,17-14,1,1,42,42,42,0,1,-8,-8,-8,0,1,0
5,2014,6,Home,NE,L,37-22,0,3,0,0,0,0,0,0,0,0,0,0,0
6,2014,7,Away,BUF,W,16-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2014,8,Away,NYJ,W,43-23,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2014,10,Home,KC,L,17-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Away,MIA,L,9-22,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2014,12,Away,BUF,W,3-38,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2014,13,Home,CLE,W,10-26,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,DEN,L,17-24,0,2,0,0,0,0,1,12,12,12,0,0,0
13,2014,15,Home,GB,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2014,16,Away,OAK,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,NE,W,17-9,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2015,1,Away,BUF,W,14-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,BUF,L,40-32,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,MIA,W,41-14,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,BUF,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2015,5,Away,TEN,W,14-13,2,2,24,12,14,0,0,0,0,0,0,0,0
5,2015,6,Home,CIN,L,34-21,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2015,7,Away,JAC,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
