,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,CHI,W,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,ATL,W,23-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,ATL,W,30-26,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,ATL,L,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,6,Home,MIA,L,20-17,1,2,40,40,40,1,0,0,0,0,0,0,0
5,2017,7,Away,NE,L,7-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,NYJ,W,25-20,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,CAR,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Home,DAL,W,7-27,0,2,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Away,SEA,W,34-31,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,ATL,W,20-34,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Home,MIN,L,14-9,1,2,20,20,20,0,0,0,0,0,0,0,0
12,2017,14,Home,NO,W,17-20,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,TB,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,NO,L,13-23,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,ATL,W,10-22,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,PHI,L,12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,CAR,W,24-31,1,1,30,30,30,0,0,0,0,0,0,0,0
2,2018,3,Home,NO,L,43-37,1,1,7,7,7,0,0,0,0,0,0,0,0
3,2018,4,Home,CIN,L,37-36,1,1,2,2,2,0,0,0,0,0,0,0,0
4,2018,5,Away,PIT,L,17-41,2,3,25,12.5,16,0,0,0,0,0,0,0,0
5,2018,6,Home,TB,W,29-34,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Home,NYG,W,20-23,3,3,63,21,47,1,0,0,0,0,0,0,0
7,2018,9,Away,WAS,W,38-14,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2018,10,Away,CLE,L,16-28,1,1,12,12,12,0,0,0,0,0,0,0,0
9,2018,11,Home,DAL,L,22-19,0,0,0,0,0,0,1,3,3,3,0,0,0
10,2018,12,Away,NO,L,17-31,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Home,BAL,L,26-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,GB,L,20-34,0,1,0,0,0,0,1,-3,-3,-3,0,1,0
13,2018,15,Home,ARI,W,14-40,1,3,10,10,10,0,0,0,0,0,0,0,0
14,2018,16,Away,CAR,W,24-10,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2018,17,Away,TB,W,34-32,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,ARI,T,27-27,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,LAC,W,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,PHI,W,27-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,KC,L,34-30,2,3,47,23.5,34,0,0,0,0,0,0,0,0
4,2019,6,Away,GB,L,22-23,1,1,58,58,58,0,0,0,0,0,0,0,0
5,2019,7,Home,MIN,L,42-30,1,2,47,47,47,0,0,0,0,0,0,0,0
6,2019,8,Home,NYG,W,26-31,1,1,49,49,49,1,0,0,0,0,0,0,0
7,2019,9,Away,OAK,L,24-31,0,1,0,0,0,0,1,7,7,7,0,0,0
8,2019,10,Away,CHI,L,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,DAL,L,35-27,1,1,39,39,39,0,0,0,0,0,0,0,0
10,2019,12,Away,WAS,L,16-19,1,2,21,21,21,0,0,0,0,0,0,0,0
11,2019,13,Home,CHI,L,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,MIN,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,TB,L,38-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,DEN,L,17-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,GB,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
