,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,SF,W,28-34,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2013,2,Away,SEA,L,3-29,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2013,3,Away,SF,L,27-7,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2013,4,Away,STL,W,35-11,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2013,5,Away,SF,W,3-34,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2013,6,Away,SF,W,20-32,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2013,7,Away,TEN,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2013,8,Away,JAC,W,42-10,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2013,10,Away,SF,L,10-9,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,NO,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,WAS,W,27-6,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Home,STL,W,13-23,2,4,68,34,60,0,0,0,0,0,0,0,0
12,2013,14,Home,SEA,W,17-19,4,8,40,10,17,0,0,0,0,0,0,0,0
13,2013,15,Away,TB,W,33-14,5,6,45,9,14,1,0,0,0,0,0,0,0
14,2013,16,Home,ATL,W,24-34,5,7,102,20.4,47,0,0,0,0,0,0,0,0
15,2013,17,Away,ARI,W,23-20,3,8,29,9.7,13,0,0,0,0,0,0,0,0
0,2014,1,Away,DAL,W,28-17,2,4,25,12.5,13,0,0,0,0,0,0,0,0
1,2014,2,Home,CHI,L,28-20,7,9,82,11.7,24,1,0,0,0,0,0,0,0
2,2014,3,Away,ARI,L,14-23,10,11,80,8,20,1,1,4,4,4,0,0,0
3,2014,4,Home,PHI,W,21-26,5,8,43,8.6,25,0,0,0,0,0,0,0,0
4,2014,5,Home,KC,W,17-22,1,4,16,16,16,0,0,0,0,0,0,0,0
5,2014,6,Away,STL,W,31-17,3,8,49,16.3,32,1,0,0,0,0,0,0,0
6,2014,7,Away,DEN,L,17-42,4,7,27,6.8,11,0,0,0,0,0,0,0,0
7,2014,9,Home,STL,L,13-10,5,9,40,8,15,0,0,0,0,0,0,0,0
8,2014,10,Away,NO,W,27-24,3,8,62,20.7,51,0,0,0,0,0,0,0,0
9,2014,11,Away,NYG,W,16-10,3,8,85,28.3,48,1,0,0,0,0,0,0,0
10,2014,12,Home,WAS,W,13-17,5,7,58,11.6,25,0,0,0,0,0,0,0,0
11,2014,13,Home,SEA,L,19-3,3,3,10,3.3,5,0,0,0,0,0,0,0,0
12,2014,14,Away,OAK,L,13-24,9,14,56,6.2,18,0,0,0,0,0,0,0,0
13,2014,15,Away,SEA,L,7-17,3,3,19,6.3,10,0,0,0,0,0,0,0,0
14,2014,16,Home,SD,L,38-35,1,1,5,5,5,0,0,0,0,0,0,0,0
15,2014,17,Home,ARI,W,17-20,4,4,41,10.3,20,0,0,0,0,0,0,0,0
0,2015,1,Home,CIN,L,33-13,5,8,37,7.4,11,0,0,0,0,0,0,0,0
1,2015,2,Home,BAL,W,33-37,9,16,111,12.3,37,1,0,0,0,0,0,0,0
2,2015,3,Away,CLE,W,27-20,4,9,36,9,14,0,0,0,0,0,0,0,0
3,2015,4,Away,CHI,L,20-22,5,6,80,16,25,0,0,0,0,0,0,0,0
4,2015,5,Home,DEN,L,16-10,4,9,54,13.5,25,0,0,0,0,0,0,0,0
5,2015,7,Away,SD,W,37-29,6,8,63,10.5,25,1,0,0,0,0,0,0,0
6,2015,8,Home,NYJ,W,20-34,7,12,102,14.6,36,1,0,0,0,0,0,0,0
7,2015,9,Away,PIT,L,35-38,7,12,108,15.4,38,2,0,0,0,0,0,0,0
8,2015,10,Home,MIN,L,30-14,4,5,55,13.8,22,0,0,0,0,0,0,0,0
9,2015,11,Away,DET,L,13-18,6,11,50,8.3,15,0,0,0,0,0,0,1,0
10,2015,12,Away,TEN,W,24-21,4,8,19,4.8,7,1,0,0,0,0,0,0,0
11,2015,13,Home,KC,L,34-20,5,11,45,9,25,1,0,0,0,0,0,0,0
12,2015,14,Away,DEN,W,15-12,4,5,19,4.8,8,0,0,0,0,0,0,0,0
13,2015,15,Home,GB,L,30-20,6,11,70,11.7,23,0,0,0,0,0,0,0,0
14,2015,16,Home,SD,W,20-23,6,8,39,6.5,11,1,0,0,0,0,0,0,0
15,2015,17,Away,KC,L,17-23,3,7,34,11.3,31,1,0,0,0,0,0,0,0
0,2016,1,Away,NO,W,35-34,7,9,87,12.4,25,0,0,0,0,0,0,0,0
1,2016,2,Home,ATL,L,35-28,4,5,31,7.8,10,1,0,0,0,0,0,0,0
