,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,CAR,L,8-16,1,1,9,9,9,0,0,0,0,0,0,0,0
1,2018,2,Home,NYG,W,13-20,1,2,5,5,5,0,0,0,0,0,0,0,0
2,2018,3,Away,SEA,L,13-24,1,4,17,17,17,0,0,0,0,0,0,0,0
3,2018,4,Home,DET,W,24-26,2,5,45,22.5,37,0,0,0,0,0,0,0,0
4,2018,5,Away,HOU,L,16-19,1,3,6,6,6,0,0,0,0,0,0,0,0
5,2018,6,Home,JAC,W,7-40,1,2,27,27,27,0,0,0,0,0,0,0,0
6,2018,7,Away,WAS,L,17-20,3,5,81,27,49,1,0,0,0,0,0,0,0
7,2018,9,Home,TEN,L,28-14,3,6,51,17,21,0,0,0,0,0,0,0,0
8,2018,10,Away,PHI,W,27-20,2,3,34,17,25,0,0,0,0,0,0,0,0
9,2018,11,Away,ATL,W,22-19,1,5,10,10,10,0,0,0,0,0,0,0,0
10,2018,12,Home,WAS,W,23-31,2,6,19,9.5,12,0,0,0,0,0,0,0,0
11,2018,13,Home,NO,W,10-13,5,7,76,15.2,40,0,0,0,0,0,0,0,0
12,2018,14,Home,PHI,W,23-29,4,9,24,6,10,0,0,0,0,0,0,0,0
13,2018,15,Away,IND,L,0-23,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2018,16,Home,TB,W,20-27,3,4,53,17.7,31,1,0,0,0,0,0,0,0
15,2018,17,Away,NYG,W,36-35,3,6,50,16.7,24,0,0,0,0,0,0,0,0
0,2019,1,Home,NYG,W,17-35,7,7,158,22.6,62,0,0,0,0,0,0,0,0
1,2019,2,Away,WAS,W,31-21,6,8,68,11.3,16,0,0,0,0,0,0,0,0
2,2019,3,Home,MIA,W,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,NO,L,10-12,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,GB,L,34-24,7,14,113,16.1,40,1,0,0,0,0,0,0,0
5,2019,6,Away,NYJ,L,22-24,4,7,48,12,17,0,0,0,0,0,0,0,0
6,2019,7,Home,PHI,W,10-37,3,4,34,11.3,14,0,0,0,0,0,0,0,0
7,2019,9,Away,NYG,W,37-18,2,6,33,16.5,18,1,0,0,0,0,0,0,0
8,2019,10,Home,MIN,L,28-24,4,10,76,19,25,1,0,0,0,0,0,0,0
9,2019,11,Away,DET,W,35-27,9,13,148,16.4,41,0,0,0,0,0,0,0,0
10,2019,12,Away,NE,L,9-13,4,6,55,13.8,22,0,0,0,0,0,0,0,0
11,2019,13,Home,BUF,L,26-15,3,7,63,21,35,0,0,0,0,0,0,0,0
12,2019,14,Away,CHI,L,24-31,6,10,109,18.2,24,0,0,0,0,0,0,0,0
13,2019,15,Home,LAR,W,21-44,1,3,6,6,6,0,0,0,0,0,0,0,0
14,2019,16,Away,PHI,L,9-17,5,11,98,19.6,41,0,0,0,0,0,0,0,0
15,2019,17,Home,WAS,W,16-47,5,7,98,19.6,45,3,0,0,0,0,0,0,0
