,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Home,OAK,L,35-34,6,6,58,9.7,25,0,0,0,0,0,0,0,0
1,2016,2,Away,NYG,L,13-16,4,5,56,14,23,0,0,0,0,0,0,0,0
2,2016,3,Home,ATL,L,45-32,7,11,71,10.1,25,1,0,0,0,0,0,0,0
3,2016,4,Away,SD,W,35-34,4,9,44,11,15,1,0,0,0,0,0,0,0
4,2016,6,Home,CAR,W,38-41,5,5,78,15.6,28,1,0,0,0,0,0,0,0
5,2016,7,Away,KC,L,21-27,10,13,130,13,23,0,0,0,0,0,0,0,0
6,2016,8,Home,SEA,W,20-25,6,6,63,10.5,17,0,0,0,0,0,0,0,0
7,2016,9,Away,SF,W,41-23,5,8,73,14.6,32,2,0,0,0,0,0,0,0
8,2016,10,Home,DEN,L,25-23,4,6,40,10,16,0,0,0,0,0,0,2,2
9,2016,11,Away,CAR,L,20-23,5,5,68,13.6,21,0,0,0,0,0,0,0,0
10,2016,12,Home,LAR,W,21-49,9,10,108,12,35,2,0,0,0,0,0,0,0
11,2016,13,Home,DET,L,28-13,4,5,42,10.5,16,0,0,0,0,0,0,0,0
12,2016,14,Away,TB,L,11-16,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,ARI,W,48-41,7,10,52,7.4,12,1,0,0,0,0,0,0,0
14,2016,16,Home,TB,W,24-31,6,8,98,16.3,46,0,0,0,0,0,0,0,0
15,2016,17,Away,ATL,L,32-38,10,14,156,15.6,29,1,0,0,0,0,0,0,0
0,2017,1,Away,MIN,L,19-29,5,8,45,9,14,0,0,0,0,0,0,0,0
1,2017,2,Home,NE,L,36-20,5,10,89,17.8,33,0,0,0,0,0,0,0,0
2,2017,3,Away,CAR,W,34-13,7,8,87,12.4,26,1,0,0,0,0,0,0,0
3,2017,4,Away,MIA,W,20-0,8,11,89,11.1,30,1,0,0,0,0,0,0,0
