,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Home,CAR,L,20-14,5,9,37,7.4,11,0,0,0,0,0,0,0,0
1,2014,2,Home,STL,L,19-17,4,4,49,12.3,29,0,0,0,0,0,0,0,0
2,2014,3,Away,ATL,L,14-56,4,7,52,13,36,0,0,0,0,0,0,0,0
3,2014,4,Away,PIT,W,27-24,4,7,65,16.3,40,1,0,0,0,0,0,0,0
4,2014,5,Away,NO,L,31-37,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2014,6,Home,BAL,L,48-17,4,8,55,13.8,25,1,0,0,0,0,0,0,0
6,2014,8,Home,MIN,L,19-13,4,7,78,19.5,40,0,0,0,0,0,0,0,0
7,2014,9,Away,CLE,L,17-22,7,11,124,17.7,31,2,0,0,0,0,0,0,0
8,2014,10,Home,ATL,L,27-17,7,9,125,17.9,34,1,0,0,0,0,0,0,0
9,2014,11,Away,WAS,W,27-7,7,9,209,29.9,56,2,0,0,0,0,0,0,0
10,2014,12,Away,CHI,L,13-21,3,11,47,15.7,19,1,0,0,0,0,0,0,0
11,2014,13,Home,CIN,L,14-13,4,9,49,12.3,23,0,0,0,0,0,0,0,0
12,2014,14,Away,DET,L,17-34,4,11,45,11.3,26,2,0,0,0,0,0,0,0
13,2014,15,Away,CAR,L,17-19,2,8,13,6.5,8,1,0,0,0,0,0,0,0
14,2014,16,Home,GB,L,20-3,4,7,49,12.3,22,0,0,0,0,0,0,0,0
15,2014,17,Home,NO,L,23-20,5,6,54,10.8,18,1,0,0,0,0,0,0,0
0,2015,1,Home,TEN,L,42-14,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,NO,W,26-19,0,3,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,HOU,L,9-19,7,17,101,14.4,20,0,0,0,0,0,0,0,0
3,2015,4,Home,CAR,L,37-23,3,8,32,10.7,21,0,0,0,0,0,0,0,0
4,2015,5,Home,JAC,W,31-38,3,5,41,13.7,17,0,0,0,0,0,0,0,0
5,2015,7,Away,WAS,L,30-31,8,12,164,20.5,40,1,0,0,0,0,0,0,0
6,2015,8,Away,ATL,W,23-20,3,9,48,16,21,0,0,0,0,0,0,0,0
7,2015,9,Home,NYG,L,32-18,8,19,150,18.8,68,0,0,0,0,0,0,1,1
8,2015,10,Home,DAL,W,6-10,8,13,126,15.8,26,0,0,0,0,0,0,0,0
9,2015,11,Away,PHI,W,45-17,4,7,63,15.8,25,1,0,0,0,0,0,0,0
10,2015,12,Away,IND,L,12-25,5,10,64,12.8,17,0,0,0,0,0,0,0,0
11,2015,13,Home,ATL,W,19-23,5,7,61,12.2,16,1,0,0,0,0,0,0,0
12,2015,14,Home,NO,L,24-17,3,4,39,13,22,0,0,0,0,0,0,0,0
13,2015,15,Away,STL,L,23-31,9,17,157,17.4,30,0,0,0,0,0,0,0,0
14,2015,16,Home,CHI,L,26-21,4,8,61,15.3,16,0,0,0,0,0,0,0,0
15,2015,17,Away,CAR,L,10-38,4,9,99,24.8,30,0,0,0,0,0,0,0,0
0,2016,1,Away,ATL,W,31-24,5,7,99,19.8,45,1,0,0,0,0,0,0,0
1,2016,2,Away,ARI,L,7-40,6,18,70,11.7,19,1,0,0,0,0,0,0,0
2,2016,3,Home,LAR,L,37-32,10,14,132,13.2,19,1,0,0,0,0,0,0,0
3,2016,4,Home,DEN,L,27-7,5,11,59,11.8,25,0,0,0,0,0,0,0,0
4,2016,5,Away,CAR,W,17-14,6,12,89,14.8,26,1,0,0,0,0,0,0,0
5,2016,7,Away,SF,W,34-17,8,13,96,12,31,2,0,0,0,0,0,0,0
6,2016,8,Home,OAK,L,30-24,4,11,50,12.5,18,0,0,0,0,0,0,0,0
7,2016,9,Home,ATL,L,43-28,11,17,150,13.6,28,2,0,0,0,0,0,0,0
8,2016,10,Home,CHI,W,10-36,4,5,66,16.5,39,0,0,0,0,0,0,0,0
9,2016,11,Away,KC,W,19-17,6,13,105,17.5,31,0,0,0,0,0,0,0,0
10,2016,12,Home,SEA,W,5-14,8,11,104,13,26,2,0,0,0,0,0,0,0
