,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,SF,L,0-28,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,SEA,W,3-9,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,TB,W,37-32,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,ARI,W,17-13,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,BUF,L,30-19,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,DET,L,28-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2016,7,Home,NYG,L,17-10,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2016,9,Home,CAR,L,13-10,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2016,10,Away,NYJ,W,9-6,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,11,Home,MIA,L,14-10,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,12,Away,NO,L,21-49,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,NE,L,10-26,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2016,14,Home,ATL,L,42-14,1,1,16,16,16,0,0,0,0,0,0,1,1
13,2016,15,Away,SEA,L,3-24,1,4,6,6,6,0,0,0,0,0,0,0,0
14,2016,16,Away,LAR,L,22-21,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2016,17,Home,ARI,L,44-6,1,1,15,15,15,0,0,0,0,0,0,0,0
0,2017,1,Away,LAR,W,9-46,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,LAR,L,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,SF,W,41-39,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,DAL,W,35-30,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,LAR,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,JAC,W,27-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Away,LAR,W,0-33,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,NYG,W,51-17,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,LAR,W,7-33,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,MIN,L,7-24,1,1,12,12,12,0,0,0,0,0,0,0,0
10,2017,12,Home,NO,W,20-26,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,ARI,W,32-16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,PHI,L,43-35,1,1,6,6,6,0,0,0,0,0,0,0,0
13,2017,15,Away,SEA,W,42-7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,TEN,W,27-23,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,SF,L,34-13,3,4,75,25,50,0,0,0,0,0,0,1,0
0,2018,1,Away,OAK,W,33-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Away,LAR,W,0-34,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,LAR,W,23-35,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Away,LAR,W,31-38,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2018,5,Away,SEA,W,33-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,DEN,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,SF,W,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,LAR,W,27-29,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Away,NO,L,35-45,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,10,Away,LAR,W,31-36,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,11,Away,LAR,W,51-54,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,DET,W,30-16,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,CHI,L,6-15,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,LAR,L,30-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,ARI,W,31-9,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,LAR,W,32-48,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Away,CAR,W,30-27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,NO,W,9-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Away,CLE,W,20-13,0,0,0,0,0,0,0,0,0,0,0,0,0
