,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,DEN,L,21-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Home,MIA,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Home,KC,L,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Home,PHI,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,5,Away,NYG,W,27-22,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,6,Away,OAK,W,17-16,1,1,15,15,15,0,0,0,0,0,0,0,0
6,2017,7,Home,DEN,W,0-21,0,2,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Away,NE,L,13-21,1,2,7,7,7,0,0,0,0,0,0,0,0
8,2017,10,Away,JAC,L,17-20,2,2,24,12,20,0,0,0,0,0,0,0,0
9,2017,11,Home,BUF,W,24-54,5,8,38,7.6,13,0,0,0,0,0,0,0,0
10,2017,12,Away,DAL,W,28-6,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Home,CLE,W,10-19,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Home,WAS,W,13-30,1,3,3,3,3,0,0,0,0,0,0,0,0
13,2017,15,Away,KC,L,13-30,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,NYJ,W,14-7,0,3,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,OAK,W,10-30,1,1,8,8,8,0,0,0,0,0,0,0,0
0,2018,1,Home,KC,L,38-28,5,6,81,16.2,25,0,0,0,0,0,0,0,0
1,2018,2,Away,BUF,W,31-20,2,2,27,13.5,17,1,0,0,0,0,0,0,0
2,2018,3,Away,LAR,L,23-35,4,7,81,20.3,42,2,0,0,0,0,0,0,0
3,2018,4,Home,SF,W,27-29,1,3,15,15,15,0,0,0,0,0,0,0,0
4,2018,5,Home,OAK,W,10-26,3,4,45,15,26,0,1,3,3,3,0,0,0
5,2018,6,Away,CLE,W,38-14,1,4,4,4,4,0,1,10,10,10,0,0,0
6,2018,7,Home,TEN,W,19-20,1,3,55,55,55,1,1,3,3,3,0,0,0
7,2018,9,Away,SEA,W,25-17,1,3,30,30,30,1,0,0,0,0,0,0,0
8,2018,10,Away,OAK,W,20-6,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2018,11,Home,DEN,L,23-22,2,3,56,28,29,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,4,4,25,6.3,10,2,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,3,3,52,17.3,20,0,0,0,0,0,0,0,0
12,2018,14,Home,CIN,W,21-26,3,6,45,15,19,0,0,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,7,9,76,10.9,38,2,1,19,19,19,1,0,0
14,2018,16,Home,BAL,L,22-10,1,3,7,7,7,0,1,4,4,4,0,0,0
15,2018,17,Away,DEN,W,23-9,5,6,65,13,18,1,1,-11,-11,-11,0,0,0
0,2019,1,Home,IND,W,24-30,2,3,29,14.5,17,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,3,5,83,27.7,47,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,L,27-20,3,7,45,15,20,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,DEN,L,20-13,6,13,74,12.3,20,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,5,10,72,14.4,20,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,4,6,47,11.8,21,0,0,0,0,0,0,0,0
7,2019,8,Away,CHI,W,17-16,3,6,69,23,43,0,0,0,0,0,0,0,0
8,2019,9,Home,GB,W,11-26,3,3,111,37,56,0,1,2,2,2,0,0,0
9,2019,10,Away,OAK,L,24-26,2,3,55,27.5,45,0,0,0,0,0,0,0,0
10,2019,11,Home,KC,L,24-17,2,6,76,38,50,0,0,0,0,0,0,0,0
11,2019,13,Away,DEN,L,20-23,5,7,117,23.4,52,0,0,0,0,0,0,0,0
12,2019,14,Away,JAC,W,45-10,2,3,63,31.5,44,1,0,0,0,0,0,0,0
13,2019,15,Home,MIN,L,39-10,4,9,71,17.8,39,1,0,0,0,0,0,0,0
14,2019,16,Home,OAK,L,24-17,3,4,51,17,23,0,0,0,0,0,0,0,0
15,2019,17,Away,KC,L,21-31,2,5,38,19,22,0,0,0,0,0,0,0,0
