,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,MIA,W,59-10,1,1,5,5,5,1,0,0,0,0,0,0,0
1,2019,2,Home,ARI,W,17-23,1,3,11,11,11,0,0,0,0,0,0,0,0
2,2019,3,Away,KC,L,28-33,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CLE,L,40-25,3,3,32,10.7,18,1,0,0,0,0,0,0,0
4,2019,5,Away,PIT,W,26-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Home,CIN,W,17-23,2,3,28,14,18,0,0,0,0,0,0,0,0
6,2019,7,Away,SEA,W,30-16,2,2,55,27.5,50,0,0,0,0,0,0,0,0
7,2019,9,Home,NE,W,20-37,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,CIN,W,49-13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Home,HOU,W,7-41,0,2,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,LAR,W,45-6,2,2,54,27,39,0,0,0,0,0,0,0,0
11,2019,13,Home,SF,W,17-20,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,BUF,W,24-17,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Home,NYJ,W,21-42,1,1,5,5,5,1,0,0,0,0,0,0,0
14,2019,16,Away,CLE,W,31-15,1,1,8,8,8,0,0,0,0,0,0,0,0
15,2019,17,Home,PIT,W,10-28,0,2,0,0,0,0,0,0,0,0,0,0,0
