,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,DET,L,14-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2014,2,Away,NYG,L,25-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2014,3,Away,NYG,W,17-30,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2014,4,Away,WAS,W,45-14,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2014,5,Home,ATL,W,20-30,4,5,44,11,15,1,0,0,0,0,0,0,0
5,2014,6,Away,PHI,L,0-27,2,4,28,14,18,0,0,0,0,0,0,0,0
6,2014,7,Away,DAL,L,21-31,4,6,34,8.5,11,2,1,13,13,13,0,0,0
7,2014,9,Home,IND,L,40-24,8,11,156,19.5,59,0,0,0,0,0,0,0,0
8,2014,10,Away,SEA,L,17-38,7,9,108,15.4,44,0,1,11,11,11,0,0,0
9,2014,11,Home,SF,L,16-10,6,13,93,15.5,37,0,0,0,0,0,0,0,0
10,2014,12,Home,DAL,L,31-28,10,11,146,14.6,43,2,1,-2,-2,-2,0,0,0
11,2014,13,Away,JAC,L,24-25,7,8,90,12.9,29,0,1,4,4,4,0,0,0
12,2014,14,Away,TEN,W,36-7,11,15,130,11.8,50,1,1,9,9,9,0,0,0
13,2014,15,Home,WAS,W,13-24,12,15,143,11.9,35,3,1,0,0,0,0,1,1
14,2014,16,Away,STL,W,37-27,8,12,148,18.5,80,2,1,0,0,0,0,0,0
15,2014,17,Home,PHI,L,34-26,12,21,185,15.4,63,1,0,0,0,0,0,0,0
0,2015,1,Away,DAL,L,26-27,5,8,44,8.8,16,0,0,0,0,0,0,0,0
1,2015,2,Home,ATL,L,24-20,7,12,146,20.9,67,1,0,0,0,0,0,0,0
2,2015,3,Home,WAS,W,21-32,7,9,79,11.3,30,1,0,0,0,0,0,0,0
3,2015,4,Away,BUF,W,24-10,5,12,38,7.6,9,0,0,0,0,0,0,0,0
4,2015,5,Home,SF,W,27-30,7,11,121,17.3,49,1,1,3,3,3,0,0,0
5,2015,6,Away,PHI,L,7-27,7,8,61,8.7,17,1,0,0,0,0,0,0,0
6,2015,7,Home,DAL,W,20-27,4,6,35,8.8,10,0,0,0,0,0,0,0,0
7,2015,8,Away,NO,L,49-52,8,9,130,16.3,50,3,0,0,0,0,0,0,0
8,2015,9,Away,TB,W,32-18,9,17,105,11.7,24,0,0,0,0,0,0,1,0
9,2015,10,Home,NE,L,27-26,4,12,104,26,87,1,0,0,0,0,0,0,0
10,2015,12,Away,WAS,L,14-20,9,18,142,15.8,31,1,0,0,0,0,0,0,0
11,2015,13,Home,NYJ,L,23-20,6,11,149,24.8,72,1,0,0,0,0,0,0,0
12,2015,14,Away,MIA,W,31-24,7,9,166,23.7,84,2,0,0,0,0,0,0,0
13,2015,15,Home,CAR,L,38-35,6,9,76,12.7,40,1,0,0,0,0,0,1,0
14,2015,16,Away,MIN,L,17-49,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2015,17,Home,PHI,L,35-30,5,7,54,10.8,24,0,0,0,0,0,0,0,0
0,2016,1,Away,DAL,W,20-19,4,8,73,18.3,45,0,0,0,0,0,0,0,0
1,2016,2,Home,NO,W,13-16,8,11,86,10.8,17,0,0,0,0,0,0,0,0
2,2016,3,Home,WAS,L,29-27,7,11,121,17.3,26,0,0,0,0,0,0,0,0
3,2016,4,Away,MIN,L,10-24,3,9,23,7.7,10,0,0,0,0,0,0,0,0
4,2016,5,Away,GB,L,16-23,5,12,56,11.2,16,1,0,0,0,0,0,0,0
