,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,SF,L,0-28,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,LAR,W,3-9,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,TB,W,37-32,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,ARI,W,17-13,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Home,BUF,L,30-19,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,DET,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,LAR,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,9,Home,CAR,L,13-10,1,1,3,3,3,0,0,0,0,0,0,0,0
8,2016,10,Away,NYJ,W,9-6,1,1,6,6,6,0,0,0,0,0,0,0,0
9,2016,11,Home,MIA,L,14-10,1,1,10,10,10,0,0,0,0,0,0,0,0
10,2016,12,Away,NO,L,21-49,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2016,13,Away,NE,L,10-26,1,4,8,8,8,0,0,0,0,0,0,0,0
12,2016,14,Home,ATL,L,42-14,3,3,22,7.3,19,0,0,0,0,0,0,0,0
13,2016,15,Away,SEA,L,3-24,3,3,21,7,13,0,0,0,0,0,0,0,0
14,2016,16,Home,SF,L,22-21,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Home,ARI,L,44-6,4,6,36,9,23,0,0,0,0,0,0,0,0
0,2017,1,Home,IND,W,9-46,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Home,WAS,L,27-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,SF,W,41-39,1,1,4,4,4,0,0,0,0,0,0,1,1
3,2017,4,Away,DAL,W,35-30,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,SEA,L,16-10,2,4,22,11,19,0,0,0,0,0,0,0,0
5,2017,6,Away,JAC,W,27-17,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2017,7,Home,ARI,W,0-33,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,9,Away,NYG,W,51-17,1,1,9,9,9,0,0,0,0,0,0,0,0
8,2017,10,Home,HOU,W,7-33,2,2,12,6,6,0,0,0,0,0,0,0,0
9,2017,11,Away,MIN,L,7-24,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,NO,W,20-26,1,2,9,9,9,0,0,0,0,0,0,1,0
11,2017,13,Away,ARI,W,32-16,1,1,-3,-3,-3,0,1,6,6,6,0,0,0
12,2017,14,Home,PHI,L,43-35,1,2,1,1,1,0,0,0,0,0,0,0,0
13,2017,15,Away,SEA,W,42-7,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Away,TEN,W,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,SF,L,34-13,2,4,30,15,26,0,0,0,0,0,0,0,0
0,2018,1,Away,OAK,W,33-13,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2018,11,Home,KC,W,51-54,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,13,Away,DET,W,30-16,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2018,14,Away,CHI,W,6-15,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,15,Home,PHI,W,30-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,16,Home,LAR,W,31-9,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,17,Away,SEA,W,24-27,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2019,1,Away,SEA,W,20-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,5,Away,CIN,W,26-23,2,2,33,16.5,28,0,0,0,0,0,0,0,0
2,2019,6,Home,ATL,W,33-34,3,4,16,5.3,7,0,1,2,2,2,0,0,0
3,2019,7,Away,NYG,W,27-21,4,4,29,7.3,10,0,0,0,0,0,0,0,0
4,2019,8,Away,NO,W,9-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,9,Home,SF,W,28-25,2,2,15,7.5,9,0,0,0,0,0,0,0,0
6,2019,10,Away,TB,W,27-30,2,5,29,14.5,26,0,0,0,0,0,0,0,0
7,2019,11,Away,SF,W,26-36,3,4,35,11.7,23,1,0,0,0,0,0,0,0
8,2019,13,Home,LAR,W,34-7,4,6,26,6.5,9,0,0,0,0,0,0,0,0
9,2019,14,Home,PIT,W,23-17,1,1,5,5,5,0,0,0,0,0,0,0,0
10,2019,15,Home,CLE,W,24-38,1,1,17,17,17,0,0,0,0,0,0,0,0
11,2019,16,Away,SEA,W,27-13,2,2,14,7,14,0,0,0,0,0,0,0,0
12,2019,17,Away,LAR,W,24-31,1,2,24,24,24,0,0,0,0,0,0,0,0
