,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,BUF,L,14-27,2,3,45,22.5,29,0,0,0,0,0,0,2,1
1,2015,2,Home,NYJ,L,20-7,1,6,25,25,25,0,0,0,0,0,0,0,0
2,2015,3,Away,TEN,W,35-33,2,3,43,21.5,35,1,0,0,0,0,0,0,0
3,2015,4,Home,JAC,W,13-16,2,3,7,3.5,6,0,1,4,4,4,0,0,0
4,2015,5,Away,HOU,W,27-20,1,2,9,9,9,0,0,0,0,0,0,0,0
5,2015,6,Home,NE,L,34-27,2,4,30,15,17,0,0,0,0,0,0,0,0
6,2015,7,Home,NO,L,27-21,1,2,8,8,8,0,0,0,0,0,0,0,0
7,2015,8,Away,CAR,L,26-29,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,9,Away,IND,W,24-27,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,ATL,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,IND,W,12-25,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,PIT,L,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,JAC,L,16-51,0,2,0,0,0,0,0,0,0,0,0,0,0
13,2015,15,Home,HOU,L,16-10,1,2,1,1,1,0,0,0,0,0,0,0,0
14,2015,16,Away,MIA,W,18-12,2,3,29,14.5,22,0,1,2,2,2,0,0,0
15,2015,17,Home,TEN,W,24-30,4,9,28,7,11,0,1,11,11,11,0,0,0
0,2016,1,Home,DET,L,39-35,4,6,94,23.5,51,0,0,0,0,0,0,0,0
1,2016,2,Away,DEN,L,20-34,1,5,30,30,30,0,0,0,0,0,0,0,0
2,2016,3,Home,SD,W,22-26,3,4,27,9,18,0,0,0,0,0,0,0,0
3,2016,4,Away,JAC,L,27-30,1,3,64,64,64,1,1,3,3,3,0,0,0
4,2016,5,Home,CHI,W,23-29,2,3,26,13,21,0,0,0,0,0,0,0,0
5,2016,6,Away,HOU,L,23-26,2,5,12,6,6,0,0,0,0,0,0,0,0
6,2016,7,Away,TEN,W,34-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Home,KC,L,30-14,5,5,33,6.6,13,0,0,0,0,0,0,1,0
8,2016,9,Away,GB,W,31-26,2,4,28,14,15,0,0,0,0,0,0,0,0
9,2016,11,Home,TEN,W,17-24,1,3,50,50,50,0,0,0,0,0,0,0,0
10,2016,12,Home,PIT,L,28-7,3,6,31,10.3,16,0,0,0,0,0,0,0,0
11,2016,13,Away,NYJ,W,41-10,0,1,0,0,0,0,1,7,7,7,0,0,0
12,2016,14,Home,HOU,L,22-17,3,8,19,6.3,8,0,0,0,0,0,0,0,0
13,2016,15,Away,MIN,W,34-6,1,1,50,50,50,1,0,0,0,0,0,0,0
14,2016,16,Away,OAK,L,25-33,1,1,8,8,8,0,0,0,0,0,0,0,0
15,2016,17,Home,JAC,W,20-24,4,4,56,14,21,0,0,0,0,0,0,0,0
0,2017,1,Home,KC,L,42-27,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,NO,W,36-20,3,3,68,22.7,38,0,1,7,7,7,0,0,0
2,2017,3,Home,HOU,W,33-36,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2017,4,Home,CAR,L,33-30,1,1,17,17,17,0,0,0,0,0,0,0,0
4,2017,5,Away,TB,W,19-14,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,6,Away,NYJ,W,24-17,0,3,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,ATL,W,7-23,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2017,8,Home,LAC,W,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,DEN,W,41-16,2,2,16,8,11,0,0,0,0,0,0,0,0
9,2017,11,Away,OAK,W,33-8,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,MIA,W,17-35,1,1,39,39,39,0,0,0,0,0,0,0,0
11,2017,13,Away,BUF,W,23-3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,MIA,L,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,PIT,W,27-24,1,1,4,4,4,0,0,0,0,0,0,0,0
14,2017,16,Home,BUF,W,16-37,1,1,24,24,24,0,0,0,0,0,0,0,0
15,2017,17,Home,NYJ,W,6-26,3,5,26,8.7,11,0,0,0,0,0,0,0,0
0,2018,1,Home,HOU,W,20-27,7,7,66,9.4,14,1,0,0,0,0,0,0,0
1,2018,2,Away,JAC,L,20-31,5,7,44,8.8,19,0,0,0,0,0,0,0,0
2,2018,3,Away,DET,L,10-26,0,5,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,MIA,W,7-38,4,7,55,13.8,20,1,0,0,0,0,0,0,0
4,2018,5,Home,IND,W,24-38,3,3,25,8.3,16,0,0,0,0,0,0,0,0
5,2018,6,Home,KC,W,40-43,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,CHI,W,38-31,1,1,8,8,8,0,0,0,0,0,0,0,0
7,2018,8,Away,BUF,W,25-6,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2018,9,Home,GB,W,17-31,3,3,30,10,17,0,0,0,0,0,0,0,0
