,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,BAL,L,59-10,3,5,24,8,11,1,0,0,0,0,0,0,0
1,2019,2,Home,NE,L,43-0,4,6,63,15.8,17,0,0,0,0,0,0,0,0
2,2019,3,Away,DAL,L,6-31,4,12,68,17,25,0,0,0,0,0,0,0,0
3,2019,4,Home,LAC,L,30-10,4,7,46,11.5,25,0,0,0,0,0,0,1,0
4,2019,6,Home,WAS,L,17-16,2,6,31,15.5,21,0,0,0,0,0,0,0,0
5,2019,7,Away,BUF,L,21-31,6,8,82,13.7,35,0,0,0,0,0,0,1,1
6,2019,8,Away,PIT,L,14-27,4,7,42,10.5,14,0,0,0,0,0,0,0,0
7,2019,9,Home,NYJ,W,18-26,5,9,72,14.4,26,2,0,0,0,0,0,1,0
8,2019,10,Away,IND,W,16-12,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Home,BUF,L,37-20,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CLE,L,24-41,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,PHI,W,31-37,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,NYJ,L,21-22,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,NYG,L,20-36,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,CIN,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,NE,W,27-24,-,-,-,-,-,-,-,-,-,-,-,-,-
