,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,CLE,W,43-13,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Home,IND,L,19-17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,JAC,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,ATL,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,BUF,L,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,DEN,L,0-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,LAC,W,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,TB,W,23-27,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,CAR,L,20-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Home,KC,W,32-35,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,JAC,W,20-42,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,IND,W,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,OAK,W,42-21,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,HOU,L,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Home,NO,L,38-28,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,HOU,W,35-14,1,1,16,16,16,0,0,0,0,0,0,0,0
