,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,PHI,L,10-29,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2016,2,Home,BAL,L,25-20,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2016,3,Away,MIA,L,24-30,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2016,4,Away,WAS,L,20-31,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2016,5,Home,NE,L,33-13,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,TEN,L,26-28,1,1,14,14,14,0,0,0,0,0,0,0,0
6,2016,7,Away,CIN,L,17-31,2,2,19,9.5,17,0,0,0,0,0,0,0,0
7,2016,8,Home,NYJ,L,31-28,1,1,10,10,10,0,0,0,0,0,0,0,0
8,2016,9,Home,DAL,L,35-10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2016,10,Away,BAL,L,7-28,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2016,11,Home,PIT,L,24-9,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2016,12,Home,NYG,L,27-13,2,2,34,17,19,0,0,0,0,0,0,0,0
12,2016,14,Home,CIN,L,23-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2016,15,Away,BUF,L,13-33,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2016,16,Home,SD,W,17-20,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,PIT,L,24-27,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2017,1,Away,CLE,L,21-18,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,BAL,L,10-24,7,11,95,13.6,35,0,1,4,4,4,0,0,0
2,2017,3,Away,IND,L,28-31,2,6,10,5,9,0,0,0,0,0,0,0,0
3,2017,4,Home,CIN,L,31-7,0,4,0,0,0,0,0,0,0,0,0,0,0
4,2017,5,Home,NYJ,L,17-14,2,4,7,3.5,5,0,0,0,0,0,0,0,0
5,2017,6,Away,HOU,L,17-33,1,2,13,13,13,0,0,0,0,0,0,0,0
6,2017,7,Home,TEN,L,12-9,1,3,11,11,11,0,0,0,0,0,0,0,0
7,2017,8,Home,MIN,L,33-16,1,1,14,14,14,0,0,0,0,0,0,0,0
8,2017,10,Away,DET,L,24-38,4,4,34,8.5,18,0,0,0,0,0,0,0,0
9,2017,11,Home,JAC,L,19-7,0,2,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Away,CIN,L,16-30,2,3,30,15,22,0,0,0,0,0,0,0,0
11,2017,13,Away,LAC,L,10-19,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Home,GB,L,27-21,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Home,BAL,L,27-10,2,2,10,5,5,0,0,0,0,0,0,0,0
14,2017,16,Away,CHI,L,3-20,2,3,20,10,17,0,0,0,0,0,0,1,1
15,2017,17,Away,PIT,L,24-28,3,4,68,22.7,56,2,0,0,0,0,0,0,0
0,2018,1,Home,PIT,T,21-21,1,3,38,38,38,0,0,0,0,0,0,0,0
1,2018,2,Away,NO,L,18-21,5,7,47,9.4,23,0,0,0,0,0,0,1,0
2,2018,3,Home,NYJ,W,17-21,3,3,32,10.7,19,0,0,0,0,0,0,0,0
3,2018,4,Away,OAK,L,42-45,4,5,61,15.3,23,0,0,0,0,0,0,0,0
4,2018,5,Home,BAL,W,9-12,3,4,66,22,26,1,0,0,0,0,0,0,0
5,2018,6,Away,CLE,L,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Away,TB,L,23-26,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,8,Away,PIT,L,18-33,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,9,Home,KC,L,37-21,3,4,19,6.3,8,0,0,0,0,0,0,0,0
9,2018,10,Home,ATL,W,16-28,1,1,28,28,28,1,0,0,0,0,0,0,0
10,2018,12,Away,CIN,W,35-20,1,3,24,24,24,0,0,0,0,0,0,0,0
11,2018,13,Away,HOU,L,13-29,4,4,62,15.5,21,1,0,0,0,0,0,0,0
12,2018,14,Home,CAR,W,20-26,2,3,19,9.5,15,0,0,0,0,0,0,1,1
13,2018,15,Away,DEN,W,17-16,2,3,30,15,19,0,0,0,0,0,0,0,0
14,2018,16,Home,CIN,W,18-26,6,7,60,10,17,1,0,0,0,0,0,0,0
15,2018,17,Away,BAL,L,24-26,4,6,86,21.5,40,0,0,0,0,0,0,0,0
0,2019,1,Home,TEN,L,43-13,2,3,46,23,35,0,0,0,0,0,0,0,0
1,2019,2,Away,NYJ,W,23-3,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,CLE,L,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,BAL,W,40-25,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,SF,L,3-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,CLE,L,32-28,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,NE,L,13-27,1,2,2,2,2,0,0,0,0,0,0,0,0
7,2019,9,Away,DEN,L,19-24,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,BUF,W,16-19,1,1,7,7,7,1,0,0,0,0,0,0,0
9,2019,11,Home,PIT,W,7-21,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,MIA,W,24-41,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Away,PIT,L,13-20,0,3,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Home,CIN,W,19-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,ARI,L,24-38,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Home,BAL,L,31-15,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Away,CIN,L,23-33,-,-,-,-,-,-,-,-,-,-,-,-,-
