,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Away,WAS,L,30-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,LAR,W,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,WAS,W,10-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,KC,L,20-29,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,6,Away,WAS,W,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Home,WAS,L,24-34,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,WAS,L,33-19,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,SEA,W,17-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,WAS,L,38-30,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2017,11,Away,NO,L,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,WAS,W,10-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,DAL,L,14-38,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,LAC,L,13-30,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,WAS,W,15-20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Home,DEN,W,11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,NYG,L,10-18,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,2,Home,DAL,W,31-21,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,3,Home,CHI,W,31-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,4,Away,NYG,W,3-24,1,2,11,11,11,0,0,0,0,0,0,0,0
3,2019,15,Away,WAS,W,37-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,16,Home,DAL,W,9-17,1,1,6,6,6,0,0,0,0,0,0,0,0
5,2019,17,Away,NYG,W,34-17,0,2,0,0,0,0,0,0,0,0,0,0,0
