,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Away,BAL,W,3-47,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,LAC,W,31-20,2,3,30,15,19,0,0,0,0,0,0,0,0
2,2018,3,Away,MIN,W,27-6,0,2,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Away,GB,W,0-22,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,TEN,W,12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,6,Away,HOU,W,13-20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,10,Away,NYJ,W,41-10,3,4,105,35,47,0,0,0,0,0,0,0,0
7,2018,12,Home,JAC,W,21-24,2,3,94,47,75,1,0,0,0,0,0,0,0
8,2018,13,Away,MIA,W,17-21,1,4,27,27,27,0,0,0,0,0,0,0,0
9,2018,14,Home,NYJ,W,27-23,7,8,104,14.9,38,0,0,0,0,0,0,0,0
10,2018,15,Home,DET,W,13-14,4,5,108,27,42,1,0,0,0,0,0,0,0
11,2018,16,Away,NE,W,12-24,4,7,52,13,25,0,0,0,0,0,0,0,0
12,2018,17,Home,MIA,W,17-42,4,5,21,5.3,8,1,0,0,0,0,0,0,0
0,2019,1,Away,NYJ,W,17-16,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,NYG,W,28-14,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,CIN,W,17-21,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,NE,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,TEN,W,14-7,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,7,Home,MIA,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Home,PHI,L,31-13,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,WAS,W,9-24,0,1,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Away,CLE,L,16-19,1,1,20,20,20,0,0,0,0,0,0,0,0
9,2019,11,Away,MIA,W,37-20,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Home,DEN,W,3-20,1,1,24,24,24,0,1,22,22,22,0,0,0
11,2019,13,Away,DAL,W,26-15,1,2,20,20,20,0,1,7,7,7,0,0,0
12,2019,14,Home,BAL,L,24-17,0,4,0,0,0,0,0,0,0,0,0,0,0
13,2019,15,Away,PIT,W,17-10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2019,16,Away,NE,L,17-24,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2019,17,Home,NYJ,L,13-6,0,4,0,0,0,0,0,0,0,0,0,0,0
