,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Away,NYJ,L,17-18,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2013,2,Home,NO,L,16-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2013,3,Away,NE,L,3-23,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2013,4,Home,ARI,L,13-10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2013,6,Home,PHI,L,31-20,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2013,7,Away,ATL,L,23-31,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2013,8,Home,CAR,L,31-13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,9,Away,SEA,L,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,10,Home,MIA,W,19-22,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2013,11,Home,ATL,W,28-41,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2013,12,Away,DET,W,24-21,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2013,13,Away,CAR,L,6-27,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2013,14,Home,BUF,W,6-27,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2013,15,Home,SF,L,33-14,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,16,Away,STL,L,13-23,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,NO,L,17-42,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Home,CAR,L,20-14,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2014,2,Home,STL,L,19-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Away,ATL,L,14-56,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2014,4,Away,PIT,W,27-24,2,2,30,15,22,0,0,0,0,0,0,0,0
4,2014,5,Away,NO,L,31-37,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2014,6,Home,BAL,L,48-17,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2014,8,Home,MIN,L,19-13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2014,9,Away,CLE,L,17-22,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2014,10,Home,ATL,L,27-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2014,11,Away,WAS,W,27-7,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2014,12,Away,CHI,L,13-21,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Home,CIN,L,14-13,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Away,DET,L,17-34,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2014,15,Away,CAR,L,17-19,1,3,23,23,23,0,0,0,0,0,0,0,0
14,2014,16,Home,GB,L,20-3,0,1,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Home,NO,L,23-20,1,2,10,10,10,0,0,0,0,0,0,0,0
0,2015,1,Home,TEN,L,42-14,1,1,6,6,6,0,0,0,0,0,0,0,0
1,2015,2,Away,NO,W,26-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2015,3,Away,HOU,L,9-19,0,1,0,0,0,0,0,0,0,0,0,0,0
