,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2017,1,Home,NYG,W,3-19,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2017,2,Away,DEN,L,17-42,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,ARI,W,28-17,0,0,0,0,0,0,1,3,3,3,0,0,0
3,2017,4,Home,LAR,L,35-30,0,0,0,0,0,0,1,3,3,3,0,1,1
4,2017,5,Home,GB,L,35-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017,7,Away,SF,W,40-10,1,1,2,2,2,0,1,3,3,3,0,0,0
6,2017,8,Away,WAS,W,33-19,1,1,7,7,7,0,0,0,0,0,0,0,0
7,2017,9,Home,KC,W,17-28,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2017,10,Away,ATL,L,7-27,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2017,11,Home,PHI,L,37-9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,LAC,L,28-6,0,0,0,0,0,0,1,-4,-4,-4,0,0,0
11,2017,13,Home,WAS,W,14-38,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,NYG,W,30-10,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2017,15,Away,OAK,W,20-17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2017,16,Home,SEA,L,21-12,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Away,PHI,W,6-0,4,5,32,8,12,0,0,0,0,0,0,0,0
0,2018,1,Away,CLE,T,21-21,0,1,0,0,0,0,1,8,8,8,0,0,0
1,2018,2,Home,KC,L,42-37,1,2,14,14,14,0,2,5,2.5,6,0,0,0
2,2018,3,Away,TB,W,30-27,3,3,9,3,5,1,0,0,0,0,0,0,0
3,2018,4,Home,BAL,L,26-14,7,7,32,4.6,11,0,1,1,1,1,0,0,0
4,2018,5,Home,ATL,W,17-41,1,1,5,5,5,0,0,0,0,0,0,0,0
5,2018,6,Away,CIN,W,28-21,1,1,7,7,7,0,0,0,0,0,0,0,0
6,2018,8,Home,CLE,W,18-33,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2018,9,Away,BAL,W,23-16,3,4,21,7,13,0,0,0,0,0,0,0,0
8,2018,10,Home,CAR,W,21-52,2,2,31,15.5,18,0,0,0,0,0,0,0,0
9,2018,11,Away,JAC,W,20-16,3,3,28,9.3,12,0,0,0,0,0,0,0,0
10,2018,12,Away,DEN,L,17-24,6,8,67,11.2,24,0,1,4,4,4,0,2,0
11,2018,13,Home,LAC,L,33-30,2,2,9,4.5,6,0,0,0,0,0,0,0,0
12,2018,14,Away,OAK,L,21-24,1,1,1,1,1,0,0,0,0,0,0,0,0
13,2018,15,Home,NE,W,10-17,2,2,9,4.5,8,0,1,3,3,3,0,0,0
14,2018,16,Away,NO,L,28-31,3,3,18,6,13,0,0,0,0,0,0,0,0
15,2018,17,Home,CIN,W,13-16,1,3,2,2,2,0,0,0,0,0,0,0,0
0,2019,1,Away,NE,L,3-33,6,6,29,4.8,8,0,0,0,0,0,0,0,0
1,2019,2,Home,SEA,L,28-26,1,4,0,0,0,0,0,0,0,0,0,1,0
2,2019,3,Away,SF,L,20-24,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Home,CIN,W,3-27,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Home,BAL,L,26-23,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2019,6,Away,LAC,W,24-17,1,1,-2,-2,-2,0,0,0,0,0,0,0,0
6,2019,8,Home,MIA,W,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Home,IND,W,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,LAR,W,12-17,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,CLE,L,7-21,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Away,CIN,W,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,CLE,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,ARI,W,23-17,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Home,BUF,L,17-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,NYJ,L,10-16,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,BAL,L,10-28,-,-,-,-,-,-,-,-,-,-,-,-,-
