,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Home,SF,L,31-17,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2019,2,Away,CAR,W,20-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Home,NYG,L,32-31,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2019,4,Away,LAR,W,55-40,0,1,0,0,0,0,0,0,0,0,0,0,0
4,2019,5,Away,NO,L,24-31,0,2,0,0,0,0,1,18,18,18,0,0,0
5,2019,6,Home,CAR,L,37-26,3,7,39,13,19,0,0,0,0,0,0,0,0
6,2019,8,Away,TEN,L,23-27,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2019,9,Away,SEA,L,34-40,0,2,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,ARI,W,27-30,2,3,33,16.5,28,0,0,0,0,0,0,0,0
9,2019,11,Home,NO,L,34-17,4,6,71,17.8,48,0,0,0,0,0,0,0,0
10,2019,12,Away,ATL,W,35-22,1,1,8,8,8,0,1,-2,-2,-2,0,0,0
11,2019,13,Away,JAC,W,28-11,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,IND,W,35-38,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,DET,W,38-17,3,3,49,16.3,33,1,0,0,0,0,0,0,0
14,2019,16,Home,HOU,L,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,ATL,L,28-22,-,-,-,-,-,-,-,-,-,-,-,-,-
