,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Home,CIN,L,33-13,3,6,12,4,7,0,0,0,0,0,0,0,0
1,2015,2,Home,BAL,W,33-37,1,1,12,12,12,1,0,0,0,0,0,0,0
2,2015,3,Away,CLE,W,27-20,3,5,56,18.7,36,1,0,0,0,0,0,0,0
3,2015,4,Away,CHI,L,20-22,0,2,0,0,0,0,0,0,0,0,0,0,0
4,2015,5,Home,DEN,L,16-10,0,2,0,0,0,0,0,0,0,0,0,0,0
5,2015,7,Away,SD,W,37-29,1,2,6,6,6,0,0,0,0,0,0,0,0
6,2015,8,Home,NYJ,W,20-34,1,1,21,21,21,0,0,0,0,0,0,0,0
7,2015,9,Away,PIT,L,35-38,3,4,73,24.3,36,0,0,0,0,0,0,0,0
8,2015,10,Home,MIN,L,30-14,1,4,5,5,5,0,0,0,0,0,0,0,0
9,2015,11,Away,DET,L,13-18,2,2,54,27,43,0,0,0,0,0,0,0,0
10,2015,12,Away,TEN,W,24-21,6,7,113,18.8,38,2,0,0,0,0,0,0,0
11,2015,13,Home,KC,L,34-20,4,5,51,12.8,17,0,0,0,0,0,0,0,0
12,2015,14,Away,DEN,W,15-12,2,4,20,10,11,1,0,0,0,0,0,0,0
13,2015,15,Home,GB,L,30-20,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2015,16,Home,SD,W,20-23,2,6,37,18.5,33,0,0,0,0,0,0,0,0
15,2015,17,Away,KC,L,17-23,3,3,20,6.7,19,0,0,0,0,0,0,0,0
0,2016,1,Away,NO,W,35-34,2,4,19,9.5,10,1,0,0,0,0,0,0,0
1,2016,2,Home,ATL,L,35-28,3,6,25,8.3,14,0,0,0,0,0,0,0,0
2,2016,3,Away,TEN,W,17-10,2,6,27,13.5,19,1,0,0,0,0,0,0,0
3,2016,4,Away,BAL,W,28-27,3,3,12,4,7,1,0,0,0,0,0,0,0
4,2016,5,Home,SD,W,31-34,2,3,22,11,16,0,0,0,0,0,0,0,0
5,2016,6,Home,KC,L,26-10,3,6,29,9.7,19,0,0,0,0,0,0,0,0
6,2016,7,Away,JAC,W,33-16,4,9,42,10.5,26,0,0,0,0,0,0,0,0
7,2016,8,Away,TB,W,30-24,3,7,69,23,41,1,0,0,0,0,0,0,0
8,2016,9,Home,DEN,W,20-30,3,3,32,10.7,21,0,0,0,0,0,0,0,0
9,2016,11,Home,HOU,W,20-27,1,3,6,6,6,0,0,0,0,0,0,0,0
10,2016,12,Home,CAR,W,32-35,3,4,31,10.3,24,1,0,0,0,0,0,0,0
11,2016,13,Home,BUF,W,24-38,2,5,18,9,14,0,0,0,0,0,0,0,0
12,2016,14,Away,KC,L,13-21,2,9,12,6,13,0,0,0,0,0,0,0,0
13,2016,15,Away,SD,W,19-16,2,3,27,13.5,22,0,0,0,0,0,0,0,0
14,2016,16,Home,IND,W,25-33,0,3,0,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,DEN,L,6-24,3,3,26,8.7,12,0,0,0,0,0,0,0,0
0,2017,1,Away,TEN,W,26-16,1,1,19,19,19,1,0,0,0,0,0,0,0
1,2017,2,Home,NYJ,W,20-45,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Away,WAS,L,10-27,4,5,20,5,9,0,0,0,0,0,0,1,1
3,2017,4,Away,DEN,L,10-16,4,5,49,12.3,22,0,0,0,0,0,0,0,0
4,2017,5,Home,BAL,L,30-17,2,4,34,17,22,0,0,0,0,0,0,0,0
5,2017,6,Home,LAC,L,17-16,3,3,35,11.7,15,0,0,0,0,0,0,0,0
6,2017,7,Home,KC,W,30-31,1,6,15,15,15,0,0,0,0,0,0,0,0
7,2017,8,Away,BUF,L,14-34,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,9,Away,MIA,W,27-24,2,2,28,14,29,0,0,0,0,0,0,0,0
9,2017,11,Home,NE,L,33-8,5,9,36,7.2,9,0,0,0,0,0,0,1,1
10,2017,12,Home,DEN,W,14-21,2,3,26,13,20,0,0,0,0,0,0,0,0
11,2017,13,Home,NYG,W,17-24,5,6,46,9.2,18,0,0,0,0,0,0,0,0
12,2017,14,Away,KC,L,15-26,3,3,24,8,11,0,0,0,0,0,0,0,0
13,2017,15,Home,DAL,L,20-17,3,5,52,17.3,28,0,0,0,0,0,0,0,0
14,2017,16,Away,PHI,L,10-19,3,6,23,7.7,11,0,0,0,0,0,0,0,0
15,2017,17,Away,LAC,L,10-30,5,6,48,9.6,26,0,0,0,0,0,0,0,0
0,2018,1,Home,LAR,L,33-13,1,1,11,11,11,0,0,0,0,0,0,0,0
1,2018,2,Away,DEN,L,19-20,3,3,43,14.3,20,1,0,0,0,0,0,0,0
2,2018,3,Away,MIA,L,20-28,-,-,-,-,-,-,-,-,-,-,-,-,-
