,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,SF,L,3-20,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,MIN,W,16-26,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Away,MIN,W,14-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2015,4,Away,DEN,L,20-23,6,10,87,14.5,25,0,0,0,0,0,0,2,0
4,2015,6,Home,KC,W,10-16,7,9,129,18.4,31,0,0,0,0,0,0,0,0
5,2015,7,Away,DET,W,28-19,6,9,108,18,36,1,1,9,9,9,0,0,0
6,2015,8,Away,CHI,W,23-20,6,12,95,15.8,40,1,0,0,0,0,0,0,0
7,2015,9,Home,STL,W,18-21,3,5,42,14,30,0,0,0,0,0,0,0,0
8,2015,10,Away,OAK,W,30-14,2,2,46,23,37,0,1,10,10,10,0,0,0
9,2015,11,Home,GB,L,30-13,6,9,66,11,17,0,0,0,0,0,0,0,0
10,2015,12,Away,ATL,W,20-10,4,4,31,7.8,16,0,0,0,0,0,0,0,0
11,2015,13,Home,SEA,L,38-7,2,6,22,11,14,0,1,-6,-6,-6,0,0,0
12,2015,14,Away,ARI,L,20-23,2,7,12,6,7,0,0,0,0,0,0,0,0
13,2015,15,Home,CHI,W,17-38,3,4,55,18.3,33,2,0,0,0,0,0,0,0
14,2015,16,Home,NYG,W,17-49,4,5,19,4.8,10,0,0,0,0,0,0,0,0
15,2015,17,Away,GB,W,20-13,1,2,8,8,8,0,0,0,0,0,0,0,0
0,2016,1,Away,TEN,W,25-16,7,9,103,14.7,33,0,1,-1,-1,-1,0,0,0
1,2016,2,Home,GB,W,14-17,9,11,182,20.2,46,1,0,0,0,0,0,0,0
2,2016,3,Away,CAR,W,22-10,4,7,40,10,16,0,0,0,0,0,0,0,0
3,2016,4,Home,NYG,W,10-24,5,7,47,9.4,21,0,1,-1,-1,-1,0,0,0
4,2016,5,Away,MIN,W,13-31,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,7,Away,PHI,L,10-21,2,5,18,9,14,0,0,0,0,0,0,0,0
6,2016,8,Away,CHI,L,10-20,8,13,76,9.5,25,1,0,0,0,0,0,0,0
7,2016,9,Home,DET,L,22-16,13,14,80,6.2,12,0,1,12,12,12,0,0,0
8,2016,10,Away,WAS,L,20-26,13,15,164,12.6,36,0,0,0,0,0,0,0,0
9,2016,11,Home,ARI,W,24-30,6,7,37,6.2,13,0,0,0,0,0,0,0,0
10,2016,12,Away,DET,L,13-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Home,DAL,L,17-15,8,8,59,7.4,15,0,0,0,0,0,0,0,0
12,2016,14,Away,JAC,W,25-16,3,5,55,18.3,45,0,0,0,0,0,0,0,0
13,2016,15,Home,IND,L,34-6,2,5,13,6.5,11,0,0,0,0,0,0,0,0
14,2016,16,Away,GB,L,25-38,4,6,29,7.3,13,1,0,0,0,0,0,0,0
15,2016,17,Away,MIN,W,10-38,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Home,NO,W,19-29,7,8,93,13.3,30,2,1,-6,-6,-6,0,0,0
1,2017,2,Away,PIT,L,9-26,2,6,27,13.5,21,0,1,4,4,4,0,0,0
2,2017,3,Home,TB,W,17-34,8,11,173,21.6,59,2,0,0,0,0,0,0,0
3,2017,4,Home,DET,L,14-7,5,7,98,19.6,33,0,0,0,0,0,0,0,0
4,2017,5,Away,CHI,W,20-17,1,4,4,4,4,0,0,0,0,0,0,0,0
5,2017,6,Away,MIN,W,10-23,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,7,Away,MIN,W,16-24,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,8,Away,CLE,W,33-16,4,6,27,6.8,10,0,1,-1,-1,-1,0,0,0
8,2017,10,Away,WAS,W,38-30,4,5,78,19.5,51,1,0,0,0,0,0,0,0
9,2017,11,Home,LAR,W,7-24,4,6,32,8,10,0,0,0,0,0,0,0,0
10,2017,12,Away,DET,W,30-23,5,7,66,13.2,37,0,1,9,9,9,0,0,0
11,2017,13,Away,ATL,W,14-9,2,5,32,16,19,0,1,5,5,5,0,0,0
12,2017,14,Away,CAR,L,24-31,6,10,64,10.7,22,0,0,0,0,0,0,0,0
13,2017,15,Home,CIN,W,7-34,5,6,30,6,20,1,1,7,7,7,0,0,0
14,2017,16,Away,GB,W,16-0,5,8,60,12,20,1,1,3,3,3,0,0,0
15,2017,17,Home,CHI,W,10-23,6,6,65,10.8,26,1,1,-8,-8,-8,0,0,0
0,2018,1,Home,SF,W,16-24,3,6,43,14.3,22,1,1,8,8,8,0,0,0
1,2018,2,Away,GB,T,29-29,9,13,128,14.2,75,2,1,1,1,1,0,0,0
2,2018,3,Home,BUF,L,27-6,4,10,17,4.3,7,0,0,0,0,0,0,0,0
3,2018,4,Away,LAR,L,31-38,11,15,123,11.2,34,0,0,0,0,0,0,0,0
4,2018,5,Away,PHI,W,23-21,10,11,91,9.1,25,0,2,25,12.5,20,0,0,0
5,2018,6,Home,ARI,W,17-27,3,4,33,11,16,0,1,9,9,9,0,0,0
6,2018,7,Away,NYJ,W,37-17,8,15,33,4.1,10,0,2,-7,-3.5,-1,0,0,0
7,2018,8,Home,NO,L,30-20,10,11,119,11.9,31,1,0,0,0,0,0,0,0
8,2018,9,Away,MIN,W,9-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,CHI,L,20-25,13,18,126,9.7,25,1,0,0,0,0,0,0,0
10,2018,12,Home,GB,W,17-24,8,11,77,9.6,30,1,1,12,12,12,0,0,0
11,2018,13,Away,NE,L,10-24,5,5,49,9.8,24,0,0,0,0,0,0,0,0
12,2018,14,Away,SEA,L,7-21,4,6,76,19,48,0,1,5,5,5,0,0,0
13,2018,15,Home,MIA,W,17-41,4,7,49,12.3,17,1,1,9,9,9,0,0,0
14,2018,16,Away,DET,W,27-9,2,6,10,5,8,1,0,0,0,0,0,0,0
15,2018,17,Home,CHI,L,24-10,8,10,47,5.9,18,1,0,0,0,0,0,0,0
0,2019,1,Home,ATL,W,12-28,2,2,37,18.5,31,0,0,0,0,0,0,0,0
1,2019,2,Away,GB,L,16-21,1,7,49,49,45,1,0,0,0,0,0,1,1
2,2019,3,Home,OAK,W,14-34,3,3,15,5,5,0,0,0,0,0,0,0,0
3,2019,4,Away,CHI,L,6-16,7,7,108,15.4,39,0,0,0,0,0,0,1,1
4,2019,5,Away,NYG,W,28-10,3,4,44,14.7,20,0,0,0,0,0,0,0,0
5,2019,6,Home,PHI,W,20-38,7,11,167,23.9,62,3,2,18,9,10,0,0,0
6,2019,7,Away,DET,W,42-30,7,8,143,20.4,66,0,0,0,0,0,0,1,0
7,2019,8,Home,WAS,W,9-19,7,7,143,20.4,39,0,0,0,0,0,0,1,1
8,2019,9,Away,KC,L,23-26,1,5,4,4,4,0,1,12,12,12,0,0,0
9,2019,10,Away,DAL,W,28-24,3,6,49,16.3,27,0,0,0,0,0,0,0,0
