,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,17,Home,JAC,W,3-20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2019,1,Away,NO,L,28-30,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,JAC,W,12-13,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,LAC,W,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,CAR,L,16-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,ATL,W,32-53,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Away,KC,W,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Away,IND,L,23-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Home,OAK,W,24-27,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,9,Away,JAC,W,26-3,0,1,0,0,0,0,0,0,0,0,0,0,0
9,2019,11,Away,BAL,L,7-41,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,12,Home,IND,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,NE,W,22-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Home,DEN,L,38-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,TEN,W,24-21,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,TB,W,23-20,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Home,TEN,L,35-14,2,5,37,18.5,21,0,0,0,0,0,0,0,0
