,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2015,1,Away,SD,L,28-33,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2015,2,Away,MIN,L,16-26,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2015,3,Home,DEN,L,24-12,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2015,4,Away,SEA,L,10-13,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2015,5,Home,ARI,L,42-17,1,3,11,11,11,0,0,0,0,0,0,0,0
5,2015,6,Home,CHI,W,34-37,0,0,0,0,0,0,1,-3,-3,-3,0,1,1
6,2015,7,Home,MIN,L,28-19,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2015,8,Away,KC,L,10-45,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2015,10,Away,GB,W,18-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2015,11,Away,DET,W,13-18,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2015,12,Away,DET,W,14-45,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Home,GB,L,27-23,2,3,37,18.5,29,0,0,0,0,0,0,0,0
12,2015,14,Away,STL,L,14-21,4,8,33,8.3,15,0,0,0,0,0,0,0,0
13,2015,15,Away,NO,W,35-27,2,2,22,11,20,0,0,0,0,0,0,0,0
14,2015,16,Home,SF,W,17-32,1,1,29,29,29,1,0,0,0,0,0,0,0
15,2015,17,Away,CHI,W,24-20,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Away,IND,W,39-35,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,DET,L,16-15,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2016,3,Away,GB,L,27-34,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2016,4,Away,CHI,L,14-17,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2016,5,Away,DET,W,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2016,6,Away,DET,W,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2016,7,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Away,HOU,L,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2016,9,Away,MIN,W,22-16,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2016,11,Away,DET,W,19-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2016,12,Away,DET,W,13-16,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2016,13,Away,NO,W,28-13,3,4,49,16.3,36,0,0,0,0,0,0,0,0
12,2016,14,Away,DET,W,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,NYG,L,6-17,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Away,DAL,L,21-42,1,6,9,9,9,0,0,0,0,0,0,0,0
15,2016,17,Home,GB,L,31-24,1,4,35,35,35,0,0,0,0,0,0,0,0
0,2017,1,Home,ARI,W,23-35,2,4,32,16,16,0,0,0,0,0,0,0,0
1,2017,2,Away,NYG,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017,3,Home,ATL,L,30-26,3,3,63,21,29,0,0,0,0,0,0,0,0
3,2017,4,Away,MIN,W,14-7,3,5,33,11,16,0,0,0,0,0,0,0,0
4,2017,5,Home,CAR,L,27-24,2,4,12,6,8,0,0,0,0,0,0,0,0
5,2017,6,Away,NO,L,38-52,3,9,33,11,24,0,0,0,0,0,0,0,0
6,2017,8,Home,PIT,L,20-15,4,8,88,22,34,0,0,0,0,0,0,0,0
7,2017,9,Away,GB,W,30-17,2,2,29,14.5,17,0,0,0,0,0,0,0,0
8,2017,10,Home,CLE,W,24-38,1,3,2,2,2,0,0,0,0,0,0,0,0
9,2017,11,Away,CHI,W,27-24,4,5,55,13.8,17,0,0,0,0,0,0,0,0
10,2017,12,Home,MIN,L,30-23,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2017,13,Away,BAL,L,20-44,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2017,14,Away,TB,W,24-21,3,3,26,8.7,11,0,0,0,0,0,0,1,0
13,2017,15,Home,CHI,W,10-20,3,3,26,8.7,12,1,0,0,0,0,0,0,0
14,2017,16,Away,CIN,L,17-26,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,DET,W,11-35,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Home,NYJ,L,48-17,1,3,6,6,6,0,0,0,0,0,0,0,0
1,2018,2,Away,SF,L,27-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2018,3,Home,NE,W,10-26,1,2,4,4,4,0,0,0,0,0,0,0,0
3,2018,4,Away,DAL,L,24-26,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Home,GB,W,23-31,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018,7,Away,MIA,W,32-21,1,1,26,26,26,0,0,0,0,0,0,0,0
6,2018,8,Away,DET,L,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,MIN,L,9-24,2,2,13,6.5,8,0,0,0,0,0,0,0,0
8,2018,10,Away,CHI,L,22-34,1,2,12,12,12,0,0,0,0,0,0,0,0
9,2018,11,Home,CAR,W,19-20,1,1,2,2,2,0,0,0,0,0,0,0,0
10,2018,12,Home,CHI,L,23-16,1,1,15,15,15,0,0,0,0,0,0,0,0
11,2018,13,Home,LAR,L,30-16,1,1,25,25,25,0,0,0,0,0,0,0,0
12,2018,14,Away,ARI,W,17-3,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2018,15,Away,BUF,L,13-14,1,3,5,5,5,0,0,0,0,0,0,0,0
14,2018,16,Home,MIN,L,27-9,6,6,42,7,12,0,0,0,0,0,0,0,0
