,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2016,1,Away,SF,L,0-28,4,12,13,3.3,5,0,1,2,2,2,0,0,0
1,2016,2,Home,SEA,W,3-9,5,9,50,10,27,0,2,6,3,8,0,0,0
2,2016,3,Away,TB,W,37-32,5,8,82,16.4,43,1,2,22,11,14,0,0,0
3,2016,4,Away,ARI,W,17-13,2,6,14,7,8,0,1,-6,-6,-6,0,0,0
4,2016,5,Home,BUF,L,30-19,7,10,59,8.4,31,0,3,26,8.7,9,0,0,0
5,2016,6,Away,DET,L,28-31,3,4,24,8,15,0,3,2,0.7,8,0,0,0
6,2016,7,Home,NYG,L,17-10,10,15,57,5.7,10,1,1,10,10,10,0,2,0
7,2016,9,Home,CAR,L,13-10,1,2,17,17,17,0,1,1,1,1,0,0,0
8,2016,10,Away,NYJ,W,9-6,2,7,19,9.5,20,0,2,10,5,6,0,0,0
9,2016,11,Home,MIA,L,14-10,1,2,21,21,21,0,2,8,4,7,0,0,0
10,2016,12,Away,NO,L,21-49,4,4,45,11.3,24,1,1,10,10,10,0,0,0
11,2016,13,Away,NE,L,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Home,ATL,L,42-14,7,11,62,8.9,17,0,2,27,13.5,23,0,0,0
13,2016,15,Away,SEA,L,3-24,3,5,14,4.7,8,0,2,13,6.5,8,0,0,0
14,2016,16,Home,SF,L,22-21,2,7,14,7,15,0,3,26,8.7,30,1,1,0
15,2016,17,Home,ARI,L,44-6,2,4,18,9,10,0,2,2,1,3,0,2,1
0,2017,1,Home,IND,W,9-46,1,1,7,7,7,0,2,11,5.5,9,0,1,1
1,2017,2,Home,WAS,L,27-20,0,2,0,0,0,0,3,8,2.7,5,0,0,0
2,2017,3,Away,SF,W,41-39,0,0,0,0,0,0,3,14,4.7,8,0,1,1
3,2017,4,Away,DAL,W,35-30,1,2,-2,-2,-2,0,6,48,8,14,0,0,0
4,2017,5,Home,SEA,L,16-10,3,5,14,4.7,9,0,6,27,4.5,27,1,2,1
5,2017,6,Away,JAC,W,27-17,0,0,0,0,0,0,2,0,0,6,0,0,0
6,2017,7,Home,ARI,W,0-33,2,2,15,7.5,13,0,3,27,9,17,0,0,0
7,2017,9,Away,NYG,W,51-17,0,0,9,0,9,0,6,34,5.7,21,0,0,0
8,2017,10,Home,HOU,W,7-33,0,0,0,0,0,0,5,2,0.4,7,0,0,0
9,2017,11,Away,MIN,L,7-24,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2017,12,Home,NO,W,20-26,3,4,-1,-0.3,4,0,5,17,3.4,10,0,0,0
11,2017,13,Away,ARI,W,32-16,0,1,0,0,0,0,3,8,2.7,4,0,0,0
12,2017,14,Home,PHI,L,43-35,0,0,-9,0,-9,0,1,6,6,6,0,1,1
13,2017,15,Away,SEA,W,42-7,0,0,0,0,0,0,10,44,4.4,18,0,0,0
14,2017,16,Away,TEN,W,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2017,17,Home,SF,L,34-13,3,5,14,4.7,9,0,4,24,6,8,0,0,0
0,2018,1,Away,CAR,L,8-16,0,0,0,0,0,0,1,1,1,1,0,0,0
1,2018,2,Home,NYG,W,13-20,2,2,79,39.5,64,1,1,15,15,15,0,0,0
2,2018,3,Away,SEA,L,13-24,3,3,2,0.7,3,1,1,18,18,18,0,0,0
3,2018,4,Home,DET,W,24-26,0,1,0,0,0,0,1,7,7,7,0,0,0
4,2018,5,Away,HOU,L,16-19,1,3,44,44,44,0,0,0,0,0,0,0,0
5,2018,6,Home,JAC,W,7-40,1,1,5,5,5,0,2,14,7,11,0,0,0
6,2018,7,Away,WAS,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,DAL,L,28-14,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2018,10,Away,PHI,W,27-20,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,ATL,W,22-19,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DAL,W,23-31,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2018,13,Away,DAL,W,10-13,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2018,14,Away,DAL,W,23-29,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,IND,L,0-23,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,DAL,W,20-27,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,NYG,W,36-35,1,3,10,10,10,0,0,0,0,0,0,0,0
0,2019,1,Home,NYG,W,17-35,1,1,8,8,8,0,0,0,0,0,0,0,0
1,2019,2,Away,WAS,W,31-21,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,DAL,W,6-31,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Away,NO,L,10-12,1,1,5,5,5,0,1,3,3,3,0,0,0
4,2019,5,Home,GB,L,34-24,1,1,13,13,13,0,1,14,14,14,0,1,0
5,2019,6,Away,NYJ,L,22-24,5,6,64,12.8,23,0,0,0,0,0,0,0,0
6,2019,7,Home,PHI,W,10-37,0,1,0,0,0,0,1,20,20,20,1,0,0
7,2019,9,Away,NYG,W,37-18,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2019,10,Home,MIN,L,28-24,0,0,0,0,0,0,1,7,7,7,0,0,0
9,2019,11,Away,DET,W,35-27,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2019,12,Away,NE,L,9-13,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2019,13,Home,BUF,L,26-15,2,5,22,11,12,0,0,0,0,0,0,0,0
