,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2014,1,Away,PIT,L,27-30,1,5,5,5,5,0,1,8,8,8,0,0,0
1,2014,2,Home,NO,W,24-26,3,4,13,4.3,7,0,0,0,0,0,0,0,0
2,2014,3,Home,BAL,L,23-21,2,2,81,40.5,70,0,2,-2,-1,8,0,0,0
3,2014,5,Away,TEN,W,29-28,4,6,95,23.8,49,0,0,0,0,0,0,0,0
4,2014,6,Home,PIT,W,10-31,1,4,24,24,24,0,0,0,0,0,0,0,0
5,2014,7,Away,JAC,L,6-24,3,7,39,13,16,0,0,0,0,0,0,0,0
6,2014,8,Home,OAK,W,13-23,2,3,60,30,48,0,0,0,0,0,0,0,0
7,2014,9,Home,TB,W,17-22,5,6,87,17.4,34,1,0,0,0,0,0,0,0
8,2014,10,Away,CIN,W,24-3,3,5,31,10.3,18,0,0,0,0,0,0,0,0
9,2014,11,Home,HOU,L,23-7,5,13,92,18.4,35,0,0,0,0,0,0,0,0
10,2014,12,Away,ATL,W,26-24,1,2,13,13,13,0,0,0,0,0,0,0,0
11,2014,13,Away,BUF,L,10-26,0,1,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,IND,L,25-24,1,3,12,12,12,0,1,4,4,4,0,0,0
13,2014,15,Home,CIN,L,30-0,1,2,2,2,2,0,0,0,0,0,0,0,0
14,2014,16,Away,CAR,L,13-17,1,2,1,1,1,0,0,0,0,0,0,0,0
15,2014,17,Away,BAL,L,10-20,3,7,66,22,49,0,0,0,0,0,0,0,0
0,2015,1,Away,NYJ,L,10-31,2,4,20,10,11,0,0,0,0,0,0,0,0
1,2015,2,Home,TEN,W,14-28,1,1,-3,-3,-3,0,0,0,0,0,0,0,0
2,2015,3,Home,OAK,L,27-20,3,5,28,9.3,11,0,0,0,0,0,0,0,0
3,2015,4,Away,SD,L,27-30,4,5,22,5.5,10,0,0,0,0,0,0,0,0
4,2015,5,Away,BAL,W,33-30,4,5,75,18.8,56,0,0,0,0,0,0,0,0
5,2015,6,Home,DEN,L,26-23,1,2,5,5,5,0,0,0,0,0,0,0,0
6,2015,7,Away,STL,L,6-24,4,4,15,3.8,6,0,0,0,0,0,0,1,1
7,2015,8,Home,ARI,L,34-20,4,7,32,8,9,0,0,0,0,0,0,0,0
8,2015,9,Away,CIN,L,10-31,1,6,3,3,3,0,0,0,0,0,0,0,0
9,2015,10,Away,PIT,L,9-30,2,3,26,13,20,0,0,0,0,0,0,0,0
10,2015,12,Away,CLE,L,33-27,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2015,13,Away,CLE,L,37-3,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2015,14,Away,CLE,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2015,15,Away,SEA,L,13-30,2,4,18,9,14,0,0,0,0,0,0,0,0
14,2015,16,Away,KC,L,13-17,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2015,17,Home,PIT,L,28-12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2016,1,Away,ATL,L,31-24,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2016,2,Away,OAK,W,35-28,2,2,19,9.5,11,0,0,0,0,0,0,0,0
2,2016,3,Away,NO,W,45-32,2,3,33,16.5,19,0,0,0,0,0,0,0,0
3,2016,4,Home,CAR,W,33-48,3,3,49,16.3,19,0,0,0,0,0,0,0,0
4,2016,5,Away,DEN,W,23-16,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2016,6,Away,SEA,L,24-26,1,2,6,6,6,0,0,0,0,0,0,0,0
6,2016,7,Away,ATL,L,33-30,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2016,8,Home,GB,W,32-33,3,3,68,22.7,47,1,0,0,0,0,0,0,0
8,2016,9,Away,TB,W,43-28,5,5,52,10.4,26,0,2,24,12,15,1,0,0
9,2016,10,Away,PHI,L,15-24,1,5,76,76,76,1,0,0,0,0,0,0,0
10,2016,12,Home,ARI,W,19-38,4,5,75,18.8,35,2,1,27,27,27,0,0,0
11,2016,13,Home,KC,L,29-28,5,6,44,8.8,14,0,0,0,0,0,0,0,0
12,2016,14,Away,LAR,W,42-14,3,6,82,27.3,64,1,1,0,0,0,0,0,0
13,2016,15,Home,SF,W,13-41,3,6,60,20,31,1,0,0,0,0,0,0,0
14,2016,16,Away,CAR,W,33-16,3,4,15,5,7,0,0,0,0,0,0,0,0
15,2016,17,Away,ATL,W,32-38,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,CHI,W,23-17,3,4,36,12,18,0,0,0,0,0,0,0,0
1,2017,2,Home,GB,W,23-34,2,3,14,7,12,0,1,7,7,7,0,0,0
