,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,SEA,L,12-7,1,1,10,10,10,0,0,0,0,0,0,0,0
1,2013,2,Away,BUF,L,23-24,3,8,62,20.7,40,1,0,0,0,0,0,0,0
2,2013,3,Home,NYG,W,0-38,3,4,71,23.7,47,1,1,11,11,11,0,0,0
3,2013,5,Away,ARI,L,6-22,4,5,78,19.5,32,0,0,0,0,0,0,0,0
4,2013,6,Away,MIN,W,35-10,2,3,22,11,17,0,1,-3,-3,-3,0,0,0
5,2013,7,Home,STL,W,15-30,2,2,34,17,22,0,0,0,0,0,0,0,0
6,2013,8,Away,TB,W,31-13,5,6,80,16,35,0,0,0,0,0,0,0,0
7,2013,9,Home,ATL,W,10-34,1,3,10,10,10,0,0,0,0,0,0,0,0
8,2013,10,Away,SF,W,10-9,2,4,19,9.5,11,0,0,0,0,0,0,0,0
9,2013,11,Home,NE,W,20-24,1,3,25,25,25,1,0,0,0,0,0,0,0
10,2013,12,Away,MIA,W,20-16,3,10,11,3.7,8,0,0,0,0,0,0,0,0
11,2013,13,Home,TB,W,6-27,2,4,47,23.5,36,1,0,0,0,0,0,0,0
12,2013,14,Away,NO,L,13-31,2,5,5,2.5,3,0,0,0,0,0,0,0,0
13,2013,15,Home,NYJ,W,20-30,1,1,10,10,10,0,1,14,14,14,0,0,0
14,2013,16,Home,NO,W,13-17,2,4,66,33,37,0,1,7,7,7,0,0,0
15,2013,17,Away,ATL,W,21-20,2,5,6,3,3,1,0,0,0,0,0,0,0
0,2014,1,Home,SD,W,17-18,2,3,29,14.5,25,0,0,0,0,0,0,0,0
1,2014,2,Away,NYG,W,25-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2014,3,Home,SF,W,14-23,1,3,8,8,8,0,1,4,4,4,0,0,0
3,2014,5,Away,DEN,L,20-41,0,2,0,0,0,0,1,-1,-1,-1,0,1,0
4,2014,6,Home,WAS,W,20-30,0,1,0,0,0,0,0,0,0,0,0,0,0
