,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2019,1,Away,PHI,L,27-32,5,7,125,25,69,1,0,0,0,0,0,0,0
1,2019,2,Home,DAL,L,31-21,5,9,62,12.4,27,1,0,0,0,0,0,0,0
2,2019,3,Home,CHI,L,31-15,6,8,70,11.7,17,1,0,0,0,0,0,0,0
3,2019,4,Away,NYG,L,3-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,NE,L,33-7,3,7,51,17,22,0,0,0,0,0,0,0,0
5,2019,6,Away,MIA,W,17-16,4,7,100,25,33,2,0,0,0,0,0,0,0
6,2019,7,Home,SF,L,9-0,1,2,11,11,11,0,0,0,0,0,0,0,0
7,2019,8,Away,MIN,L,9-19,4,6,39,9.8,17,0,0,0,0,0,0,0,0
8,2019,9,Away,BUF,L,9-24,4,6,39,9.8,13,0,0,0,0,0,0,0,0
9,2019,11,Home,NYJ,L,34-17,3,4,69,23,41,0,0,0,0,0,0,0,0
10,2019,12,Home,DET,W,16-19,5,12,72,14.4,26,0,0,0,0,0,0,0,0
11,2019,13,Away,CAR,W,29-21,2,4,8,4,11,0,0,0,0,0,0,0,0
12,2019,14,Away,GB,L,15-20,4,7,57,14.3,21,1,0,0,0,0,0,0,0
13,2019,15,Home,PHI,L,37-27,5,5,130,26,75,1,0,0,0,0,0,0,0
14,2019,16,Home,NYG,L,41-35,7,9,86,12.3,34,0,0,0,0,0,0,0,0
15,2019,17,Away,DAL,L,16-47,-,-,-,-,-,-,-,-,-,-,-,-,-
