,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2018,1,Home,SEA,W,24-27,0,2,0,0,0,0,0,0,0,0,0,0,0
1,2018,2,Home,OAK,W,19-20,1,2,26,26,26,0,0,0,0,0,0,0,0
2,2018,3,Away,BAL,L,14-27,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018,4,Home,KC,L,27-23,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018,5,Away,NYJ,L,16-34,1,1,6,6,6,0,0,0,0,0,0,0,0
5,2018,6,Home,LAR,L,23-20,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,7,Away,ARI,W,45-10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2018,8,Away,KC,L,23-30,1,1,24,24,24,1,1,13,13,13,0,0,0
8,2018,9,Home,HOU,L,19-17,1,4,17,17,17,0,0,0,0,0,0,0,0
9,2018,11,Away,LAC,W,23-22,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,PIT,W,17-24,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018,13,Away,CIN,W,24-10,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018,14,Away,SF,L,14-20,7,10,85,12.1,21,0,1,11,11,11,0,1,0
13,2018,15,Home,CLE,L,17-16,5,8,65,13,24,0,0,0,0,0,0,0,0
14,2018,16,Away,OAK,L,14-27,3,5,44,14.7,26,0,1,-7,-7,-7,0,0,0
15,2018,17,Home,LAC,L,23-9,4,7,48,12,21,0,0,0,0,0,0,1,1
0,2019,1,Away,OAK,L,16-24,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Home,CHI,L,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,GB,L,16-27,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,JAC,L,26-24,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Away,LAC,W,20-13,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2019,6,Home,TEN,W,0-16,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,7,Home,KC,L,30-6,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,IND,L,13-15,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Home,CLE,W,19-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,MIN,L,23-27,4,8,77,19.3,38,0,0,0,0,0,0,0,0
10,2019,12,Away,BUF,L,3-20,1,3,3,3,3,0,0,0,0,0,0,0,0
11,2019,13,Home,LAC,W,20-23,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2019,14,Away,HOU,W,38-24,2,3,50,25,37,0,0,0,0,0,0,0,0
13,2019,15,Away,KC,L,3-23,3,7,26,8.7,12,0,0,0,0,0,0,0,0
14,2019,16,Home,DET,W,17-27,5,6,48,9.6,16,0,0,0,0,0,0,0,0
15,2019,17,Home,OAK,W,15-16,1,2,14,14,14,0,0,0,0,0,0,0,0
