,Year,Week,H/A,Opp,Result,Score,Rec,Tgt,Re-Yds,Re-Y/R,Re-LG,Re-TD,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
0,2013,1,Home,MIA,L,23-10,3,8,44,14.7,20,0,0,0,0,0,0,1,0
1,2013,2,Away,BAL,L,6-14,1,1,22,22,22,0,0,0,0,0,0,0,0
2,2013,3,Away,MIN,W,31-27,0,0,0,0,0,0,0,0,0,0,0,1,1
3,2013,4,Home,CIN,W,6-17,1,1,39,39,39,0,0,0,0,0,0,0,0
4,2013,5,Home,BUF,W,24-37,0,1,0,0,0,0,0,0,0,0,0,0,0
5,2013,6,Home,DET,L,31-17,0,2,0,0,0,0,1,45,45,45,0,0,0
6,2013,7,Away,GB,L,13-31,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2013,8,Away,KC,L,17-23,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2013,9,Away,CLE,W,18-24,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2013,11,Away,CIN,L,20-41,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2013,12,Away,CLE,L,27-11,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2013,13,Away,CLE,L,32-28,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2013,14,Away,NE,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2013,15,Away,CLE,L,38-31,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2013,16,Away,NYJ,L,13-24,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2013,17,Away,PIT,L,7-20,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2014,1,Away,PIT,L,27-30,2,3,20,10,11,1,1,10,10,10,0,0,0
1,2014,2,Home,NO,W,24-26,1,4,6,6,6,0,0,0,0,0,0,0,0
2,2014,3,Home,BAL,L,23-21,1,1,43,43,43,0,1,-2,-2,-2,0,1,0
3,2014,5,Away,TEN,W,29-28,4,4,48,12,21,2,0,0,0,0,0,0,0
4,2014,6,Home,PIT,W,10-31,1,1,31,31,31,0,1,3,3,3,0,0,0
5,2014,7,Away,JAC,L,6-24,0,4,0,0,0,0,0,0,0,0,0,0,0
6,2014,8,Home,OAK,W,13-23,0,2,0,0,0,0,0,0,0,0,0,1,0
7,2014,9,Home,TB,W,17-22,2,4,52,26,31,0,0,0,0,0,0,0,0
8,2014,10,Away,CIN,W,24-3,3,5,46,15.3,22,0,0,0,0,0,0,0,0
9,2014,11,Home,HOU,L,23-7,1,3,23,23,23,0,0,0,0,0,0,0,0
10,2014,12,Away,ATL,W,26-24,0,2,0,0,0,0,0,0,0,0,0,0,0
11,2014,13,Away,BUF,L,10-26,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2014,14,Home,IND,L,25-24,1,5,27,27,27,0,0,0,0,0,0,0,0
13,2014,15,Home,CIN,L,30-0,1,1,9,9,9,0,0,0,0,0,0,0,0
14,2014,16,Away,CAR,L,13-17,0,2,0,0,0,0,0,0,0,0,0,0,0
15,2014,17,Away,BAL,L,10-20,1,3,9,9,9,0,0,0,0,0,0,0,0
0,2015,1,Away,NYJ,L,10-31,3,3,89,29.7,54,1,0,0,0,0,0,0,0
1,2015,2,Home,TEN,W,14-28,3,4,115,38.3,60,2,0,0,0,0,0,0,0
2,2015,3,Home,OAK,L,27-20,4,10,45,11.3,17,1,0,0,0,0,0,1,1
3,2015,4,Away,SD,L,27-30,6,10,79,13.2,18,0,0,0,0,0,0,0,0
4,2015,5,Away,BAL,W,33-30,6,12,83,13.8,25,0,0,0,0,0,0,0,0
5,2015,6,Home,DEN,L,26-23,9,13,117,13,47,0,0,0,0,0,0,0,0
6,2015,7,Away,STL,L,6-24,4,8,47,11.8,21,0,0,0,0,0,0,1,1
7,2015,8,Home,ARI,L,34-20,3,5,26,8.7,17,0,0,0,0,0,0,0,0
8,2015,9,Away,CIN,L,10-31,3,6,22,7.3,9,0,0,0,0,0,0,0,0
9,2015,10,Away,PIT,L,9-30,7,11,113,16.1,61,0,1,-7,-7,-7,0,0,0
10,2015,12,Home,BAL,L,33-27,6,13,90,15,42,1,1,10,10,10,0,0,0
11,2015,13,Home,CIN,L,37-3,0,2,0,0,0,0,0,0,0,0,0,0,0
12,2015,14,Home,SF,W,10-24,4,7,41,10.3,24,0,0,0,0,0,0,1,0
13,2015,15,Away,SEA,L,13-30,3,5,26,8.7,13,0,1,9,9,9,0,0,0
14,2015,16,Away,KC,L,13-17,2,5,20,10,12,0,0,0,0,0,0,0,0
15,2015,17,Home,PIT,L,28-12,5,11,53,10.6,15,0,1,0,0,0,0,0,0
0,2017,1,Away,DEN,L,21-24,3,4,43,14.3,38,1,0,0,0,0,0,0,0
1,2017,2,Home,MIA,L,19-17,1,3,11,11,11,0,0,0,0,0,0,0,0
2,2017,3,Home,KC,L,24-10,5,8,105,21,44,0,1,9,9,9,0,0,0
3,2017,4,Home,PHI,L,26-24,2,5,21,10.5,19,0,0,0,0,0,0,1,0
4,2017,5,Away,NYG,W,27-22,2,3,18,9,12,0,1,14,14,14,0,0,0
5,2017,6,Away,OAK,W,17-16,0,1,0,0,0,0,0,0,0,0,0,0,0
6,2017,7,Home,DEN,W,0-21,1,1,42,42,42,1,1,4,4,4,0,0,0
7,2017,8,Away,NE,L,13-21,5,9,64,12.8,24,1,2,14,7,7,0,1,0
8,2017,10,Away,JAC,L,17-20,0,3,0,0,0,0,1,13,13,13,0,0,0
9,2017,11,Home,BUF,W,24-54,1,1,21,21,21,0,1,7,7,7,0,0,0
10,2017,12,Away,DAL,W,28-6,3,3,50,16.7,46,0,1,6,6,6,0,0,0
11,2017,13,Home,CLE,W,10-19,4,6,68,17,39,0,0,0,0,0,0,0,0
12,2017,14,Home,WAS,W,13-30,2,4,21,10.5,14,0,1,22,22,22,0,0,0
13,2017,15,Away,KC,L,13-30,1,4,7,7,7,0,1,7,7,7,0,0,0
14,2017,16,Away,NYJ,W,14-7,0,5,0,0,0,0,1,-4,-4,-4,0,0,0
15,2017,17,Home,OAK,W,10-30,4,5,96,24,62,1,2,4,2,3,0,0,0
0,2018,1,Home,KC,L,38-28,1,5,1,1,1,0,1,19,19,19,0,0,0
1,2018,2,Away,BUF,W,31-20,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,LAR,L,23-35,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,SF,W,27-29,1,1,2,2,2,0,0,0,0,0,0,0,0
4,2018,5,Away,LAC,W,10-26,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,6,Away,CLE,W,38-14,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2018,7,Home,TEN,W,19-20,1,1,13,13,13,0,0,0,0,0,0,0,0
7,2018,9,Away,SEA,W,25-17,0,1,0,0,0,0,1,-2,-2,-2,0,0,0
8,2018,10,Away,OAK,W,20-6,0,0,0,0,0,0,1,-2,-2,-2,0,0,0
9,2018,11,Home,DEN,L,23-22,0,3,0,0,0,0,0,0,0,0,0,0,0
10,2018,12,Home,ARI,W,10-45,3,3,47,15.7,27,0,0,0,0,0,0,0,0
11,2018,13,Away,PIT,W,33-30,2,2,44,22,46,1,1,1,1,1,0,0,0
12,2018,14,Home,CIN,W,21-26,1,1,11,11,11,0,0,0,0,0,0,0,0
13,2018,15,Away,KC,W,29-28,2,3,57,28.5,31,0,1,8,8,8,0,0,0
14,2018,16,Home,BAL,L,22-10,1,3,11,11,11,0,1,6,6,6,0,0,0
15,2018,17,Away,DEN,W,23-9,0,1,0,0,0,0,1,11,11,11,0,0,0
0,2019,1,Home,IND,W,24-30,2,3,12,6,10,0,0,0,0,0,0,0,0
1,2019,2,Away,DET,L,10-13,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2019,3,Home,HOU,L,27-20,2,5,5,2.5,12,0,0,0,0,0,0,0,0
3,2019,4,Away,MIA,W,30-10,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2019,5,Home,DEN,L,20-13,1,2,13,13,13,0,0,0,0,0,0,0,0
5,2019,6,Home,PIT,L,24-17,1,4,0,0,0,0,0,0,0,0,0,0,0
6,2019,7,Away,TEN,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,8,Away,CHI,W,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,9,Away,LAC,W,11-26,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,10,Away,OAK,L,24-26,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2019,11,Away,LAC,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Away,DEN,L,20-23,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,JAC,W,45-10,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,LAC,L,39-10,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,LAC,L,24-17,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,KC,L,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-
